	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	 4.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	 7.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	10.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	13.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	16.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	19.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	22.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	25.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	28.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	31.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	34.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	37.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	40.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	43.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	46.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	49.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	52.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	55.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	58.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	61.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	64.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	67.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	70.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	73.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	76.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	79.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	82.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	85.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	88.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	91.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	94.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	97.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	100.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	103.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	106.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	109.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	112.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	115.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	118.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	121.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	124.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	127.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	130.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	133.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	136.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	139.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	142.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
	145.3	 0.0	 0.0	10	Plasma_SiO2_Plasma_HfO2	
