	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	 5.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	 8.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	11.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	14.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	17.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	20.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	23.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	26.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	29.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	32.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	35.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	38.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	41.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	44.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	47.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	50.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	53.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	56.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	59.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	62.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	65.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	68.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	71.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	74.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	77.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	80.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	83.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	86.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	89.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	92.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	95.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	98.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	101.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	104.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	107.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	110.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	113.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	116.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	119.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	122.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	125.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	128.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	131.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	134.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	137.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	140.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	143.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	146.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	149.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	152.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	155.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	158.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	161.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	164.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	167.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	170.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	173.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	176.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	179.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	182.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	185.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	188.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	191.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	194.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	197.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	200.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	203.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	206.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	209.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	212.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	215.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	218.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	221.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	224.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	227.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	230.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	233.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	236.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	239.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	242.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	245.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	248.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	251.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	254.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	257.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	260.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	263.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	266.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	269.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	272.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	275.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	278.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	281.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	284.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	287.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	290.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	293.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	296.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	299.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	302.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	305.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	308.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	311.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	314.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	317.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	320.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	323.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	326.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	329.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	332.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
	335.3	 0.0	 0.0	205	Thermal alumina followed by thermal hafnia	
