	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	 4.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	 7.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	10.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	13.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	16.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	19.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	22.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	25.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	28.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	31.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	34.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	37.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	40.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	43.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	46.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	49.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	52.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	55.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	58.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	61.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	64.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	67.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	70.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	73.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	76.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	79.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	82.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	85.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	88.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	91.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	94.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	97.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	100.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	103.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	106.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	109.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	112.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
	115.7	 0.0	 0.0	533	Plasma SiO2 by 3DMAS 2011-08-25	
