	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	 5.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	 8.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	11.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	14.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	17.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	20.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	23.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	26.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	29.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	32.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	35.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	38.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	41.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	44.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	47.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	50.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	53.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	56.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	59.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	62.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	65.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	68.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	71.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	74.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	77.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	80.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	83.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	86.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	89.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	92.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	95.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	98.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	101.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	104.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	107.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	110.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	113.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	116.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	119.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	122.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	125.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	128.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	131.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	134.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	137.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	140.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	143.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	146.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	149.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	152.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	155.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	158.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	161.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	164.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	167.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	170.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	173.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	176.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	179.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	182.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	185.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	188.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	191.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	194.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	197.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	200.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	203.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	206.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	209.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	212.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	215.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	218.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	221.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	224.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	227.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	230.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	233.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	236.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	239.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	242.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	245.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	248.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	251.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	254.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	257.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	260.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	263.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
	266.5	 0.0	 0.0	300	Plasma Pt 270C with end temp change	
