	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	 4.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	 7.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	10.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	13.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	16.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	19.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	22.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	25.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	28.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	31.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	34.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	37.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	40.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	43.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	46.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	49.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	52.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	55.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	58.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	61.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	64.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	67.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	70.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	73.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	76.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	79.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	82.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	85.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	88.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	91.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	94.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	97.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	100.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	103.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	106.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	109.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	112.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	115.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	118.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	121.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	124.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	127.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	130.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	133.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	136.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	139.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	142.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	145.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
	148.2	 0.0	 0.0	505	Plasma_Al2O3_then_Plasma_HfO2_then_Plasma_SiO2	
