	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	 5.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	 8.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	11.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	14.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	17.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	20.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	23.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	26.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	29.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	32.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	35.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	38.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	41.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	44.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	47.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	50.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	53.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	56.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	59.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	62.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	65.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	68.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	71.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	74.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	77.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	80.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	83.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	86.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	89.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	92.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	95.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	98.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	101.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	104.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	107.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	110.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	113.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	116.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	119.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	122.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	125.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	128.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	131.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	134.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	137.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	140.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	143.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	146.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	149.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	152.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	155.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	158.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	161.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	164.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	167.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	170.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	173.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	176.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	179.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	182.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	185.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	188.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	191.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	194.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	197.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	200.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	203.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	206.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	209.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	212.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	215.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	218.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	221.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
	224.3	 0.0	 0.0	40	Plasma_HfO2_250C_PlasmaLong.txt	
