	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	 5.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	 8.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	11.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	14.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	17.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	20.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	23.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	26.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	29.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	32.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	35.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	38.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	41.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	44.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	47.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	50.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	53.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	56.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	59.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	62.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	65.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	68.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	71.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	74.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	77.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	80.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	83.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	86.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	89.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	92.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	95.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	98.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	101.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	104.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	107.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
	110.8	 0.0	 0.0	40	Plasma Al2O3_250C_PlasmaLong.txt	
