	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	 4.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	 7.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	10.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	13.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	16.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	19.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	22.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	25.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	28.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	31.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	34.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	37.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	40.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	43.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	46.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	49.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	52.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	55.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	58.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	61.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	64.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	67.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	70.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	73.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	76.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	79.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	82.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	85.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	88.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	91.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	94.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	97.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	100.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	103.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	106.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	109.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	112.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	115.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	118.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	121.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	124.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	127.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	130.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	133.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	136.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	139.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	142.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	145.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	148.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	151.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	154.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	157.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	160.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	163.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	166.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	169.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	172.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	175.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	178.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	181.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	184.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	187.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	190.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	193.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	196.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	199.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	202.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	205.3	 0.0	 0.0	250	Plasma TiO2 Standard	
	208.3	 0.0	 0.0	250	Plasma TiO2 Standard	
