	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.8	 0.0	 0.0	0	plasma O.txt	
	 3.8	 0.0	 0.0	0	plasma O.txt	
	 6.8	 0.0	 0.0	0	plasma O.txt	
	 9.8	 0.0	 0.0	0	plasma O.txt	
	12.8	 0.0	 0.0	0	plasma O.txt	
	15.8	137.0	16.0	0	plasma O.txt	
	18.8	300.0	 7.0	0	plasma O.txt	
	21.8	300.0	 0.0	0	plasma O.txt	
	24.8	300.0	 0.0	0	plasma O.txt	
	27.8	300.0	 0.0	0	plasma O.txt	
	30.8	300.0	 0.0	0	plasma O.txt	
	33.8	300.0	 0.0	0	plasma O.txt	
	36.8	300.0	 0.0	0	plasma O.txt	
	39.8	300.0	 0.0	0	plasma O.txt	
	42.8	300.0	 0.0	0	plasma O.txt	
	45.8	300.0	 0.0	0	plasma O.txt	
	48.8	300.0	 0.0	0	plasma O.txt	
	51.8	300.0	 0.0	0	plasma O.txt	
	54.8	300.0	 0.0	0	plasma O.txt	
	57.8	300.0	 0.0	0	plasma O.txt	
	60.8	300.0	 0.0	0	plasma O.txt	
	63.8	300.0	 0.0	0	plasma O.txt	
	66.8	300.0	 0.0	0	plasma O.txt	
	69.8	300.0	 0.0	0	plasma O.txt	
	72.8	300.0	 0.0	0	plasma O.txt	
	75.8	300.0	 0.0	0	plasma O.txt	
	78.8	300.0	 0.0	0	plasma O.txt	
	81.8	300.0	 0.0	0	plasma O.txt	
	84.8	300.0	 0.0	0	plasma O.txt	
	87.8	300.0	 0.0	0	plasma O.txt	
	90.8	300.0	 0.0	0	plasma O.txt	
	93.8	300.0	 0.0	0	plasma O.txt	
	96.8	300.0	 0.0	0	plasma O.txt	
	99.8	300.0	 0.0	0	plasma O.txt	
	102.8	300.0	 0.0	0	plasma O.txt	
	105.8	300.0	 0.0	0	plasma O.txt	
	108.8	300.0	 0.0	0	plasma O.txt	
	111.8	300.0	 0.0	0	plasma O.txt	
	114.8	300.0	 0.0	0	plasma O.txt	
	117.8	300.0	 0.0	0	plasma O.txt	
	120.8	300.0	 0.0	0	plasma O.txt	
	123.8	300.0	 0.0	0	plasma O.txt	
	126.8	300.0	 0.0	0	plasma O.txt	
	129.8	300.0	 0.0	0	plasma O.txt	
	132.8	300.0	 0.0	0	plasma O.txt	
	135.8	300.0	 0.0	0	plasma O.txt	
	138.8	300.0	 0.0	0	plasma O.txt	
	141.8	300.0	 0.0	0	plasma O.txt	
	144.8	300.0	 0.0	0	plasma O.txt	
	147.8	300.0	 0.0	0	plasma O.txt	
	150.8	300.0	 0.0	0	plasma O.txt	
	153.8	300.0	 0.0	0	plasma O.txt	
	156.8	300.0	 0.0	0	plasma O.txt	
	159.8	300.0	 0.0	0	plasma O.txt	
	162.8	300.0	 0.0	0	plasma O.txt	
	165.8	300.0	 0.0	0	plasma O.txt	
	168.8	300.0	 0.0	0	plasma O.txt	
	171.8	300.0	 0.0	0	plasma O.txt	
	174.8	300.0	 0.0	0	plasma O.txt	
	177.8	300.0	 0.0	0	plasma O.txt	
	180.8	300.0	 0.0	0	plasma O.txt	
	183.8	300.0	 0.0	0	plasma O.txt	
	186.8	300.0	 0.0	0	plasma O.txt	
	189.8	300.0	 0.0	0	plasma O.txt	
	192.8	300.0	 0.0	0	plasma O.txt	
	195.8	300.0	 0.0	0	plasma O.txt	
	198.8	300.0	 0.0	0	plasma O.txt	
	201.8	300.0	 0.0	0	plasma O.txt	
	204.8	300.0	 0.0	0	plasma O.txt	
	207.8	300.0	 0.0	0	plasma O.txt	
	210.8	300.0	 0.0	0	plasma O.txt	
	213.8	300.0	 0.0	0	plasma O.txt	
	216.8	300.0	 0.0	0	plasma O.txt	
	219.8	300.0	 0.0	0	plasma O.txt	
	222.8	300.0	 0.0	0	plasma O.txt	
	225.8	300.0	 0.0	0	plasma O.txt	
	228.8	300.0	 0.0	0	plasma O.txt	
	231.8	300.0	 0.0	0	plasma O.txt	
	234.8	300.0	 0.0	0	plasma O.txt	
	237.8	300.0	 0.0	0	plasma O.txt	
	240.8	300.0	 0.0	0	plasma O.txt	
	243.8	300.0	 0.0	0	plasma O.txt	
	246.8	300.0	 0.0	0	plasma O.txt	
	249.8	300.0	 0.0	0	plasma O.txt	
	252.8	300.0	 0.0	0	plasma O.txt	
	255.8	300.0	 0.0	0	plasma O.txt	
	258.8	300.0	 0.0	0	plasma O.txt	
	261.8	300.0	 0.0	0	plasma O.txt	
	264.8	300.0	 0.0	0	plasma O.txt	
	267.8	300.0	 0.0	0	plasma O.txt	
	270.8	300.0	 0.0	0	plasma O.txt	
	273.8	300.0	 0.0	0	plasma O.txt	
	276.8	300.0	 0.0	0	plasma O.txt	
	279.8	300.0	 0.0	0	plasma O.txt	
	282.8	300.0	 0.0	0	plasma O.txt	
	285.8	300.0	 0.0	0	plasma O.txt	
	288.8	300.0	 0.0	0	plasma O.txt	
	291.8	300.0	 0.0	0	plasma O.txt	
	294.8	300.0	 0.0	0	plasma O.txt	
	297.8	300.0	 0.0	0	plasma O.txt	
	300.8	300.0	 0.0	0	plasma O.txt	
	303.8	300.0	 0.0	0	plasma O.txt	
	306.8	300.0	 0.0	0	plasma O.txt	
	309.8	300.0	 0.0	0	plasma O.txt	
	312.8	300.0	 0.0	0	plasma O.txt	
	315.8	300.0	 0.0	0	plasma O.txt	
	318.8	300.0	 0.0	0	plasma O.txt	
	321.8	300.0	 0.0	0	plasma O.txt	
	324.8	300.0	 0.0	0	plasma O.txt	
	327.8	300.0	 0.0	0	plasma O.txt	
	330.8	300.0	 0.0	0	plasma O.txt	
	333.8	300.0	 0.0	0	plasma O.txt	
	336.8	300.0	 0.0	0	plasma O.txt	
	339.8	300.0	 0.0	0	plasma O.txt	
	342.8	300.0	 0.0	0	plasma O.txt	
	345.8	300.0	 0.0	0	plasma O.txt	
	348.8	300.0	 0.0	0	plasma O.txt	
	351.8	300.0	 0.0	0	plasma O.txt	
	354.8	300.0	 0.0	0	plasma O.txt	
	357.8	300.0	 0.0	0	plasma O.txt	
	360.8	300.0	 0.0	0	plasma O.txt	
	363.8	300.0	 0.0	0	plasma O.txt	
	366.8	300.0	 0.0	0	plasma O.txt	
	369.8	300.0	 0.0	0	plasma O.txt	
	372.8	300.0	 0.0	0	plasma O.txt	
	375.8	300.0	 0.0	0	plasma O.txt	
	378.8	300.0	 0.0	0	plasma O.txt	
	381.8	300.0	 0.0	0	plasma O.txt	
	384.8	300.0	 0.0	0	plasma O.txt	
	387.8	300.0	 0.0	0	plasma O.txt	
	390.8	300.0	 0.0	0	plasma O.txt	
	393.8	300.0	 0.0	0	plasma O.txt	
	396.8	300.0	 0.0	0	plasma O.txt	
	399.8	300.0	 0.0	0	plasma O.txt	
	402.8	300.0	 0.0	0	plasma O.txt	
	405.8	300.0	 0.0	0	plasma O.txt	
	408.8	300.0	 0.0	0	plasma O.txt	
	411.8	300.0	 0.0	0	plasma O.txt	
	414.8	300.0	 0.0	0	plasma O.txt	
	417.8	300.0	 0.0	0	plasma O.txt	
	420.8	300.0	 0.0	0	plasma O.txt	
	423.8	300.0	 0.0	0	plasma O.txt	
	426.8	300.0	 0.0	0	plasma O.txt	
	429.8	300.0	 0.0	0	plasma O.txt	
	432.8	300.0	 0.0	0	plasma O.txt	
	435.8	300.0	 0.0	0	plasma O.txt	
	438.8	300.0	 0.0	0	plasma O.txt	
	441.8	300.0	 0.0	0	plasma O.txt	
	444.8	300.0	 0.0	0	plasma O.txt	
	447.8	300.0	 0.0	0	plasma O.txt	
	450.8	300.0	 0.0	0	plasma O.txt	
	453.8	300.0	 0.0	0	plasma O.txt	
	456.8	300.0	 0.0	0	plasma O.txt	
	459.8	300.0	 0.0	0	plasma O.txt	
	462.8	300.0	 0.0	0	plasma O.txt	
	465.8	300.0	 0.0	0	plasma O.txt	
	468.8	300.0	 0.0	0	plasma O.txt	
	471.8	300.0	 0.0	0	plasma O.txt	
	474.8	300.0	 0.0	0	plasma O.txt	
	477.8	300.0	 0.0	0	plasma O.txt	
	480.8	300.0	 0.0	0	plasma O.txt	
	483.8	300.0	 0.0	0	plasma O.txt	
	486.8	300.0	 0.0	0	plasma O.txt	
	489.8	300.0	 0.0	0	plasma O.txt	
	492.8	300.0	 0.0	0	plasma O.txt	
	495.8	300.0	 0.0	0	plasma O.txt	
	498.8	300.0	 0.0	0	plasma O.txt	
