	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	 4.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	 7.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	10.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	13.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	16.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	19.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	22.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	25.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	28.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	31.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	34.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	37.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	40.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	43.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	46.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	49.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	52.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	55.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	58.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	61.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	64.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	67.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	70.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	73.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	76.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	79.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	82.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	85.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	88.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	91.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	94.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	97.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	100.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	103.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	106.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	109.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	112.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	115.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	118.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	121.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	124.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	127.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	130.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	133.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	136.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	139.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	142.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	145.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	148.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	151.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	154.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	157.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	160.7	 0.0	 0.0	25	Thermal_Al2O3 STANDARD	
	163.7	 0.0	 0.0	24	Thermal_Al2O3 STANDARD	
	166.7	 0.0	 0.0	24	Thermal_Al2O3 STANDARD	
	169.7	 0.0	 0.0	24	Thermal_Al2O3 STANDARD	
	172.7	 0.0	 0.0	24	Thermal_Al2O3 STANDARD	
	175.7	 0.0	 0.0	24	Thermal_Al2O3 STANDARD	
	178.7	 0.0	 0.0	24	Thermal_Al2O3 STANDARD	
	181.7	 0.0	 0.0	24	Thermal_Al2O3 STANDARD	
	184.7	 0.0	 0.0	23	Thermal_Al2O3 STANDARD	
	187.7	 0.0	 0.0	23	Thermal_Al2O3 STANDARD	
	190.7	 0.0	 0.0	23	Thermal_Al2O3 STANDARD	
	193.7	 0.0	 0.0	23	Thermal_Al2O3 STANDARD	
	196.7	 0.0	 0.0	23	Thermal_Al2O3 STANDARD	
	199.7	 0.0	 0.0	23	Thermal_Al2O3 STANDARD	
	202.7	 0.0	 0.0	23	Thermal_Al2O3 STANDARD	goto;01425
	205.7	 0.0	 0.0	22	Thermal_Al2O3 STANDARD	
	208.7	 0.0	 0.0	22	Thermal_Al2O3 STANDARD	
	211.7	 0.0	 0.0	22	Thermal_Al2O3 STANDARD	
	214.7	 0.0	 0.0	22	Thermal_Al2O3 STANDARD	
	217.7	 0.0	 0.0	22	Thermal_Al2O3 STANDARD	
	220.7	 0.0	 0.0	22	Thermal_Al2O3 STANDARD	
	223.7	 0.0	 0.0	21	Thermal_Al2O3 STANDARD	
	226.7	 0.0	 0.0	21	Thermal_Al2O3 STANDARD	
	229.7	 0.0	 0.0	21	Thermal_Al2O3 STANDARD	
	232.7	 0.0	 0.0	21	Thermal_Al2O3 STANDARD	
	235.7	 0.0	 0.0	21	Thermal_Al2O3 STANDARD	
	238.7	 0.0	 0.0	21	Thermal_Al2O3 STANDARD	
	241.7	 0.0	 0.0	21	Thermal_Al2O3 STANDARD	
	244.7	 0.0	 0.0	20	Thermal_Al2O3 STANDARD	
	247.7	 0.0	 0.0	20	Thermal_Al2O3 STANDARD	
	250.7	 0.0	 0.0	20	Thermal_Al2O3 STANDARD	
	253.7	 0.0	 0.0	20	Thermal_Al2O3 STANDARD	
	256.7	 0.0	 0.0	20	Thermal_Al2O3 STANDARD	
	259.7	 0.0	 0.0	20	Thermal_Al2O3 STANDARD	
	262.7	 0.0	 0.0	20	Thermal_Al2O3 STANDARD	
	265.7	 0.0	 0.0	19	Thermal_Al2O3 STANDARD	
	268.7	 0.0	 0.0	19	Thermal_Al2O3 STANDARD	
	271.7	 0.0	 0.0	19	Thermal_Al2O3 STANDARD	
	274.7	 0.0	 0.0	19	Thermal_Al2O3 STANDARD	
	277.7	 0.0	 0.0	19	Thermal_Al2O3 STANDARD	
	280.7	 0.0	 0.0	19	Thermal_Al2O3 STANDARD	
	283.7	 0.0	 0.0	19	Thermal_Al2O3 STANDARD	
	286.7	 0.0	 0.0	18	Thermal_Al2O3 STANDARD	
	289.7	 0.0	 0.0	18	Thermal_Al2O3 STANDARD	
	292.7	 0.0	 0.0	18	Thermal_Al2O3 STANDARD	
	295.7	 0.0	 0.0	18	Thermal_Al2O3 STANDARD	
	298.7	 0.0	 0.0	18	Thermal_Al2O3 STANDARD	
	301.7	 0.0	 0.0	18	Thermal_Al2O3 STANDARD	
	304.7	 0.0	 0.0	18	Thermal_Al2O3 STANDARD	
	307.7	 0.0	 0.0	17	Thermal_Al2O3 STANDARD	
	310.7	 0.0	 0.0	17	Thermal_Al2O3 STANDARD	
	313.7	 0.0	 0.0	17	Thermal_Al2O3 STANDARD	
	316.7	 0.0	 0.0	17	Thermal_Al2O3 STANDARD	
	319.7	 0.0	 0.0	17	Thermal_Al2O3 STANDARD	
	322.7	 0.0	 0.0	17	Thermal_Al2O3 STANDARD	
	325.7	 0.0	 0.0	16	Thermal_Al2O3 STANDARD	
	328.7	 0.0	 0.0	16	Thermal_Al2O3 STANDARD	
	331.7	 0.0	 0.0	16	Thermal_Al2O3 STANDARD	
	334.7	 0.0	 0.0	16	Thermal_Al2O3 STANDARD	
	337.7	 0.0	 0.0	16	Thermal_Al2O3 STANDARD	
	340.7	 0.0	 0.0	16	Thermal_Al2O3 STANDARD	
	343.7	 0.0	 0.0	16	Thermal_Al2O3 STANDARD	
	346.7	 0.0	 0.0	15	Thermal_Al2O3 STANDARD	
	349.7	 0.0	 0.0	15	Thermal_Al2O3 STANDARD	
	352.7	 0.0	 0.0	15	Thermal_Al2O3 STANDARD	
	355.7	 0.0	 0.0	15	Thermal_Al2O3 STANDARD	
	358.7	 0.0	 0.0	15	Thermal_Al2O3 STANDARD	
	361.7	 0.0	 0.0	15	Thermal_Al2O3 STANDARD	
	364.7	 0.0	 0.0	15	Thermal_Al2O3 STANDARD	
	367.7	 0.0	 0.0	14	Thermal_Al2O3 STANDARD	
	370.7	 0.0	 0.0	14	Thermal_Al2O3 STANDARD	
	373.7	 0.0	 0.0	14	Thermal_Al2O3 STANDARD	
	376.7	 0.0	 0.0	14	Thermal_Al2O3 STANDARD	
	379.7	 0.0	 0.0	14	Thermal_Al2O3 STANDARD	
	382.7	 0.0	 0.0	14	Thermal_Al2O3 STANDARD	
	385.7	 0.0	 0.0	14	Thermal_Al2O3 STANDARD	
	388.7	 0.0	 0.0	13	Thermal_Al2O3 STANDARD	
	391.7	 0.0	 0.0	13	Thermal_Al2O3 STANDARD	
	394.7	 0.0	 0.0	13	Thermal_Al2O3 STANDARD	
	397.7	 0.0	 0.0	13	Thermal_Al2O3 STANDARD	
	400.7	 0.0	 0.0	13	Thermal_Al2O3 STANDARD	
	403.7	 0.0	 0.0	13	Thermal_Al2O3 STANDARD	
	406.7	 0.0	 0.0	13	Thermal_Al2O3 STANDARD	
	409.7	 0.0	 0.0	12	Thermal_Al2O3 STANDARD	
	412.7	 0.0	 0.0	12	Thermal_Al2O3 STANDARD	
	415.7	 0.0	 0.0	12	Thermal_Al2O3 STANDARD	
	418.7	 0.0	 0.0	12	Thermal_Al2O3 STANDARD	
	421.7	 0.0	 0.0	12	Thermal_Al2O3 STANDARD	
	424.7	 0.0	 0.0	12	Thermal_Al2O3 STANDARD	
	427.7	 0.0	 0.0	12	Thermal_Al2O3 STANDARD	
	430.7	 0.0	 0.0	11	Thermal_Al2O3 STANDARD	
	433.7	 0.0	 0.0	11	Thermal_Al2O3 STANDARD	
	436.7	 0.0	 0.0	11	Thermal_Al2O3 STANDARD	
	439.7	 0.0	 0.0	11	Thermal_Al2O3 STANDARD	
	442.7	 0.0	 0.0	11	Thermal_Al2O3 STANDARD	
	445.7	 0.0	 0.0	11	Thermal_Al2O3 STANDARD	
	448.7	 0.0	 0.0	10	Thermal_Al2O3 STANDARD	
	451.7	 0.0	 0.0	10	Thermal_Al2O3 STANDARD	
	454.7	 0.0	 0.0	10	Thermal_Al2O3 STANDARD	
	457.7	 0.0	 0.0	10	Thermal_Al2O3 STANDARD	
	460.7	 0.0	 0.0	10	Thermal_Al2O3 STANDARD	
	463.7	 0.0	 0.0	10	Thermal_Al2O3 STANDARD	
	466.7	 0.0	 0.0	10	Thermal_Al2O3 STANDARD	
	469.7	 0.0	 0.0	9	Thermal_Al2O3 STANDARD	
	472.7	 0.0	 0.0	9	Thermal_Al2O3 STANDARD	
	475.7	 0.0	 0.0	9	Thermal_Al2O3 STANDARD	
	478.7	 0.0	 0.0	9	Thermal_Al2O3 STANDARD	
	481.7	 0.0	 0.0	9	Thermal_Al2O3 STANDARD	
