	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.2	 0.0	 0.0	36	AlN AlO stack O	
	 4.2	 0.0	 0.0	36	AlN AlO stack O	
	 7.2	 0.0	 0.0	36	AlN AlO stack O	
	10.2	 0.0	 0.0	36	AlN AlO stack O	
	13.2	 0.0	 0.0	36	AlN AlO stack O	
	16.2	 0.0	 0.0	36	AlN AlO stack O	
	19.2	300.0	11.0	36	AlN AlO stack O	
	22.2	202.0	50.0	36	AlN AlO stack O	
	25.2	300.0	 6.0	36	AlN AlO stack O	
	28.2	300.0	 2.0	36	AlN AlO stack O	
	31.2	300.0	 2.0	36	AlN AlO stack O	
	34.2	300.0	 2.0	36	AlN AlO stack O	
	37.2	 0.0	 0.0	36	AlN AlO stack O	
	40.2	 0.0	 0.0	36	AlN AlO stack O	
	43.2	 0.0	 0.0	1	AlN AlO stack O	
	46.2	 0.0	 0.0	1	AlN AlO stack O	
	49.2	 0.0	 0.0	1	AlN AlO stack O	
	52.2	 0.0	 0.0	1	AlN AlO stack O	
	55.2	282.0	33.0	1	AlN AlO stack O	
	58.2	300.0	 2.0	1	AlN AlO stack O	
	61.2	300.0	 2.0	1	AlN AlO stack O	
	64.2	300.0	 2.0	1	AlN AlO stack O	
	67.2	300.0	 2.0	1	AlN AlO stack O	
	70.2	300.0	 2.0	1	AlN AlO stack O	
	73.2	300.0	 2.0	1	AlN AlO stack O	
	76.2	 0.0	 0.0	1	AlN AlO stack O	
	79.2	 0.0	 0.0	1	AlN AlO stack O	
	82.2	 0.0	 0.0	0	AlN AlO stack O	
	85.2	 0.0	 0.0	0	AlN AlO stack O	
	88.2	 0.0	 0.0	0	AlN AlO stack O	
	91.2	 0.0	 0.0	0	AlN AlO stack O	
	94.2	 0.0	 0.0	0	AlN AlO stack O	
	97.2	 0.0	 0.0	0	AlN AlO stack O	
	100.2	 0.0	 0.0	0	AlN AlO stack O	
	103.2	 0.0	 0.0	0	AlN AlO stack O	
	106.2	300.0	 0.0	0	AlN AlO stack O	
	109.2	300.0	 0.0	0	AlN AlO stack O	
	112.2	300.0	 0.0	0	AlN AlO stack O	
	115.2	300.0	 0.0	0	AlN AlO stack O	
	118.2	300.0	 0.0	0	AlN AlO stack O	
	121.2	300.0	 0.0	0	AlN AlO stack O	
	124.2	 0.0	 0.0	0	AlN AlO stack O	
	127.2	 0.0	 0.0	0	AlN AlO stack O	
	130.2	 0.0	 0.0	0	AlN AlO stack O	
	133.2	 0.0	 0.0	0	AlN AlO stack O	
	136.2	 0.0	 0.0	14	AlN AlO stack O	
	139.2	 0.0	 0.0	14	AlN AlO stack O	
	142.2	 0.0	 0.0	14	AlN AlO stack O	
	145.2	 0.0	 0.0	14	AlN AlO stack O	
	148.2	 0.0	 0.0	14	AlN AlO stack O	
	151.2	 0.0	 0.0	14	AlN AlO stack O	
	154.2	300.0	 0.0	14	AlN AlO stack O	
	157.2	300.0	 0.0	14	AlN AlO stack O	
	160.2	300.0	 0.0	14	AlN AlO stack O	
	163.2	300.0	 0.0	14	AlN AlO stack O	
	166.2	300.0	 0.0	14	AlN AlO stack O	
	169.2	300.0	 0.0	14	AlN AlO stack O	
	172.2	300.0	 0.0	14	AlN AlO stack O	
	175.2	 0.0	 0.0	14	AlN AlO stack O	
	178.2	 0.0	 0.0	14	AlN AlO stack O	
	181.2	 0.0	 0.0	14	AlN AlO stack O	
	184.2	 0.0	 0.0	13	AlN AlO stack O	
	187.2	 0.0	 0.0	13	AlN AlO stack O	
	190.2	 0.0	 0.0	13	AlN AlO stack O	
	193.2	 0.0	 0.0	13	AlN AlO stack O	
	196.2	 0.0	 0.0	13	AlN AlO stack O	
	199.2	 0.0	 0.0	13	AlN AlO stack O	
	202.2	 0.0	 0.0	13	AlN AlO stack O	
	205.2	300.0	 2.0	13	AlN AlO stack O	
	208.2	300.0	 2.0	13	AlN AlO stack O	
	211.2	300.0	 2.0	13	AlN AlO stack O	
	214.2	300.0	 2.0	13	AlN AlO stack O	
	217.2	300.0	 2.0	13	AlN AlO stack O	
	220.2	300.0	 2.0	13	AlN AlO stack O	
	223.2	 0.0	 0.0	13	AlN AlO stack O	
	226.2	 0.0	 0.0	13	AlN AlO stack O	
	229.2	 0.0	 0.0	13	AlN AlO stack O	
	232.2	 0.0	 0.0	13	AlN AlO stack O	
	235.2	 0.0	 0.0	12	AlN AlO stack O	
	238.2	 0.0	 0.0	12	AlN AlO stack O	
	241.2	 0.0	 0.0	12	AlN AlO stack O	
	244.2	 0.0	 0.0	12	AlN AlO stack O	
	247.2	 0.0	 0.0	12	AlN AlO stack O	
	250.2	 0.0	 0.0	12	AlN AlO stack O	
	253.2	300.0	 0.0	12	AlN AlO stack O	
	256.2	300.0	 0.0	12	AlN AlO stack O	
	259.2	300.0	 0.0	12	AlN AlO stack O	
	262.2	300.0	 0.0	12	AlN AlO stack O	
	265.2	300.0	 0.0	12	AlN AlO stack O	
	268.2	300.0	 0.0	12	AlN AlO stack O	
	271.2	300.0	 0.0	12	AlN AlO stack O	
	274.2	 0.0	 0.0	12	AlN AlO stack O	
	277.2	 0.0	 0.0	12	AlN AlO stack O	
	280.2	 0.0	 0.0	12	AlN AlO stack O	
	283.2	 0.0	 0.0	11	AlN AlO stack O	
	286.2	 0.0	 0.0	11	AlN AlO stack O	
	289.2	 0.0	 0.0	11	AlN AlO stack O	
	292.2	 0.0	 0.0	11	AlN AlO stack O	
	295.2	 0.0	 0.0	11	AlN AlO stack O	
	298.2	 0.0	 0.0	11	AlN AlO stack O	
	301.2	317.0	 4.0	11	AlN AlO stack O	
	304.2	300.0	 2.0	11	AlN AlO stack O	
	307.2	300.0	 2.0	11	AlN AlO stack O	
	310.2	300.0	 2.0	11	AlN AlO stack O	
	313.2	300.0	 2.0	11	AlN AlO stack O	
	316.2	300.0	 2.0	11	AlN AlO stack O	
	319.2	300.0	 2.0	11	AlN AlO stack O	
	322.2	 0.0	 0.0	11	AlN AlO stack O	
	325.2	 0.0	 0.0	11	AlN AlO stack O	
	328.2	 0.0	 0.0	11	AlN AlO stack O	
	331.2	 0.0	 0.0	11	AlN AlO stack O	
	334.2	 0.0	 0.0	10	AlN AlO stack O	
	337.2	 0.0	 0.0	10	AlN AlO stack O	
	340.2	 0.0	 0.0	10	AlN AlO stack O	
	343.2	 0.0	 0.0	10	AlN AlO stack O	
	346.2	 0.0	 0.0	10	AlN AlO stack O	
	349.2	 0.0	 0.0	10	AlN AlO stack O	
	352.2	300.0	 2.0	10	AlN AlO stack O	
	355.2	300.0	 2.0	10	AlN AlO stack O	
	358.2	300.0	 2.0	10	AlN AlO stack O	
	361.2	300.0	 2.0	10	AlN AlO stack O	
	364.2	300.0	 2.0	10	AlN AlO stack O	
	367.2	300.0	 2.0	10	AlN AlO stack O	
	370.2	 0.0	 0.0	10	AlN AlO stack O	
	373.2	 0.0	 0.0	10	AlN AlO stack O	
	376.2	 0.0	 0.0	10	AlN AlO stack O	
	379.2	 0.0	 0.0	10	AlN AlO stack O	
	382.2	 0.0	 0.0	9	AlN AlO stack O	
	385.2	 0.0	 0.0	9	AlN AlO stack O	
	388.2	 0.0	 0.0	9	AlN AlO stack O	
	391.2	 0.0	 0.0	9	AlN AlO stack O	
	394.2	 0.0	 0.0	9	AlN AlO stack O	
	397.2	 0.0	 0.0	9	AlN AlO stack O	
	400.2	300.0	 5.0	9	AlN AlO stack O	
	403.2	300.0	 3.0	9	AlN AlO stack O	
	406.2	300.0	 3.0	9	AlN AlO stack O	
	409.2	300.0	 2.0	9	AlN AlO stack O	
	412.2	300.0	 2.0	9	AlN AlO stack O	
	415.2	300.0	 2.0	9	AlN AlO stack O	
	418.2	300.0	 2.0	9	AlN AlO stack O	
	421.2	 0.0	 0.0	9	AlN AlO stack O	
	424.2	 0.0	 0.0	9	AlN AlO stack O	
	427.2	 0.0	 0.0	9	AlN AlO stack O	
	430.2	 0.0	 0.0	9	AlN AlO stack O	
	433.2	 0.0	 0.0	8	AlN AlO stack O	
	436.2	 0.0	 0.0	8	AlN AlO stack O	
	439.2	 0.0	 0.0	8	AlN AlO stack O	
	442.2	 0.0	 0.0	8	AlN AlO stack O	
	445.2	 0.0	 0.0	8	AlN AlO stack O	
	448.2	 0.0	 0.0	8	AlN AlO stack O	
	451.2	300.0	 2.0	8	AlN AlO stack O	
	454.2	300.0	 2.0	8	AlN AlO stack O	
	457.2	300.0	 2.0	8	AlN AlO stack O	
	460.2	300.0	 2.0	8	AlN AlO stack O	
	463.2	300.0	 2.0	8	AlN AlO stack O	
	466.2	300.0	 2.0	8	AlN AlO stack O	
	469.2	 0.0	 0.0	8	AlN AlO stack O	
	472.2	 0.0	 0.0	8	AlN AlO stack O	
	475.2	 0.0	 0.0	8	AlN AlO stack O	
	478.2	 0.0	 0.0	8	AlN AlO stack O	
	481.2	 0.0	 0.0	7	AlN AlO stack O	
	484.2	 0.0	 0.0	7	AlN AlO stack O	
	487.2	 0.0	 0.0	7	AlN AlO stack O	
	490.2	 0.0	 0.0	7	AlN AlO stack O	
	493.2	 0.0	 0.0	7	AlN AlO stack O	
	496.2	 0.0	 0.0	7	AlN AlO stack O	
	499.2	300.0	 2.0	7	AlN AlO stack O	
	502.2	300.0	 2.0	7	AlN AlO stack O	
	505.2	300.0	 2.0	7	AlN AlO stack O	
	508.2	300.0	 2.0	7	AlN AlO stack O	
	511.2	300.0	 2.0	7	AlN AlO stack O	
	514.2	300.0	 2.0	7	AlN AlO stack O	
	517.2	300.0	 2.0	7	AlN AlO stack O	
	520.2	 0.0	 0.0	7	AlN AlO stack O	
	523.2	 0.0	 0.0	7	AlN AlO stack O	
	526.2	 0.0	 0.0	7	AlN AlO stack O	
	529.2	 0.0	 0.0	6	AlN AlO stack O	
	532.2	 0.0	 0.0	6	AlN AlO stack O	
	535.2	 0.0	 0.0	6	AlN AlO stack O	
	538.2	 0.0	 0.0	6	AlN AlO stack O	
	541.2	 0.0	 0.0	6	AlN AlO stack O	
	544.2	 0.0	 0.0	6	AlN AlO stack O	
	547.2	168.0	17.0	6	AlN AlO stack O	
	550.2	300.0	 0.0	6	AlN AlO stack O	
	553.2	300.0	 0.0	6	AlN AlO stack O	
	556.2	300.0	 0.0	6	AlN AlO stack O	
	559.2	300.0	 0.0	6	AlN AlO stack O	
	562.2	300.0	 0.0	6	AlN AlO stack O	
	565.2	300.0	 0.0	6	AlN AlO stack O	
	568.2	 0.0	 0.0	6	AlN AlO stack O	
	571.2	 0.0	 0.0	6	AlN AlO stack O	
	574.2	 0.0	 0.0	6	AlN AlO stack O	
	577.2	 0.0	 0.0	6	AlN AlO stack O	
	580.2	 0.0	 0.0	5	AlN AlO stack O	
	583.2	 0.0	 0.0	5	AlN AlO stack O	
	586.2	 0.0	 0.0	5	AlN AlO stack O	
	589.2	 0.0	 0.0	5	AlN AlO stack O	
	592.2	 0.0	 0.0	5	AlN AlO stack O	
	595.2	 0.0	 0.0	5	AlN AlO stack O	
	598.2	300.0	 5.0	5	AlN AlO stack O	
	601.2	300.0	 2.0	5	AlN AlO stack O	
	604.2	300.0	 2.0	5	AlN AlO stack O	
	607.2	300.0	 2.0	5	AlN AlO stack O	
	610.2	300.0	 2.0	5	AlN AlO stack O	
	613.2	300.0	 2.0	5	AlN AlO stack O	
	616.2	300.0	 2.0	5	AlN AlO stack O	
	619.2	 0.0	 0.0	5	AlN AlO stack O	
	622.2	 0.0	 0.0	5	AlN AlO stack O	
	625.2	 0.0	 0.0	5	AlN AlO stack O	
	628.2	 0.0	 0.0	4	AlN AlO stack O	
	631.2	 0.0	 0.0	4	AlN AlO stack O	
	634.2	 0.0	 0.0	4	AlN AlO stack O	
	637.2	 0.0	 0.0	4	AlN AlO stack O	
	640.2	 0.0	 0.0	4	AlN AlO stack O	
	643.2	 0.0	 0.0	4	AlN AlO stack O	
	646.2	300.0	 3.0	4	AlN AlO stack O	
	649.2	300.0	 2.0	4	AlN AlO stack O	
	652.2	300.0	 2.0	4	AlN AlO stack O	
	655.2	300.0	 2.0	4	AlN AlO stack O	
	658.2	300.0	 2.0	4	AlN AlO stack O	
	661.2	300.0	 2.0	4	AlN AlO stack O	
	664.2	300.0	 2.0	4	AlN AlO stack O	
	667.2	 0.0	 0.0	4	AlN AlO stack O	
	670.2	 0.0	 0.0	4	AlN AlO stack O	
	673.2	 0.0	 0.0	4	AlN AlO stack O	
	676.2	 0.0	 0.0	4	AlN AlO stack O	
	679.2	 0.0	 0.0	3	AlN AlO stack O	
	682.2	 0.0	 0.0	3	AlN AlO stack O	
	685.2	 0.0	 0.0	3	AlN AlO stack O	
	688.2	 0.0	 0.0	3	AlN AlO stack O	
