	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	1861.3	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	 2.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	 5.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	 8.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	11.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	14.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	17.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	20.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	23.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	26.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	29.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	32.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	35.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	38.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	41.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	44.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	47.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	50.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	53.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	56.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	59.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	62.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	65.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	68.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	71.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	74.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	77.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	80.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	83.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	86.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	89.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	92.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	95.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	98.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	101.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	104.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	107.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	110.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	113.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	116.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	119.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	122.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	125.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	128.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	131.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	134.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	137.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	140.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	143.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	146.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	149.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	152.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	155.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	158.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	161.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	164.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	167.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	170.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	173.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	176.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	179.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	182.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	185.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	188.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	191.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	194.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	197.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	200.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	203.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	206.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	209.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	212.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	215.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	218.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	221.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	224.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	227.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	230.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	233.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	236.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	239.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	242.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	245.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	248.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	251.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	254.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	257.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	260.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	263.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	266.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	269.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	272.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	275.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	278.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	281.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	284.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	287.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	290.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	293.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	296.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	299.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	302.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	305.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	308.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	311.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	314.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	317.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	320.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	323.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	326.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	329.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	332.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	335.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	338.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	341.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	344.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	347.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	350.8	 0.0	 0.0	50	Thermal_HfO2 STANDARD	
	353.8	 0.0	 0.0	49	Thermal_HfO2 STANDARD	
	356.8	 0.0	 0.0	49	Thermal_HfO2 STANDARD	
	359.8	 0.0	 0.0	49	Thermal_HfO2 STANDARD	
	362.8	 0.0	 0.0	49	Thermal_HfO2 STANDARD	
	365.8	 0.0	 0.0	49	Thermal_HfO2 STANDARD	
	368.8	 0.0	 0.0	49	Thermal_HfO2 STANDARD	
	371.8	 0.0	 0.0	49	Thermal_HfO2 STANDARD	
	374.8	 0.0	 0.0	49	Thermal_HfO2 STANDARD	
	377.8	 0.0	 0.0	49	Thermal_HfO2 STANDARD	
	380.8	 0.0	 0.0	49	Thermal_HfO2 STANDARD	
	383.8	 0.0	 0.0	48	Thermal_HfO2 STANDARD	
	386.8	 0.0	 0.0	48	Thermal_HfO2 STANDARD	
	389.8	 0.0	 0.0	48	Thermal_HfO2 STANDARD	
	392.8	 0.0	 0.0	48	Thermal_HfO2 STANDARD	
	395.8	 0.0	 0.0	48	Thermal_HfO2 STANDARD	
	398.8	 0.0	 0.0	48	Thermal_HfO2 STANDARD	
	401.8	 0.0	 0.0	48	Thermal_HfO2 STANDARD	
	404.8	 0.0	 0.0	48	Thermal_HfO2 STANDARD	
	407.8	 0.0	 0.0	48	Thermal_HfO2 STANDARD	
	410.8	 0.0	 0.0	48	Thermal_HfO2 STANDARD	
	413.8	 0.0	 0.0	47	Thermal_HfO2 STANDARD	
	416.8	 0.0	 0.0	47	Thermal_HfO2 STANDARD	
	419.8	 0.0	 0.0	47	Thermal_HfO2 STANDARD	
	422.8	 0.0	 0.0	47	Thermal_HfO2 STANDARD	
	425.8	 0.0	 0.0	47	Thermal_HfO2 STANDARD	
	428.8	 0.0	 0.0	47	Thermal_HfO2 STANDARD	
	431.8	 0.0	 0.0	47	Thermal_HfO2 STANDARD	
	434.8	 0.0	 0.0	47	Thermal_HfO2 STANDARD	
	437.8	 0.0	 0.0	47	Thermal_HfO2 STANDARD	
	440.8	 0.0	 0.0	47	Thermal_HfO2 STANDARD	
	443.8	 0.0	 0.0	46	Thermal_HfO2 STANDARD	
	446.8	 0.0	 0.0	46	Thermal_HfO2 STANDARD	
	449.8	 0.0	 0.0	46	Thermal_HfO2 STANDARD	
	452.8	 0.0	 0.0	46	Thermal_HfO2 STANDARD	
	455.8	 0.0	 0.0	46	Thermal_HfO2 STANDARD	
	458.8	 0.0	 0.0	46	Thermal_HfO2 STANDARD	
	461.8	 0.0	 0.0	46	Thermal_HfO2 STANDARD	
	464.8	 0.0	 0.0	46	Thermal_HfO2 STANDARD	
	467.8	 0.0	 0.0	46	Thermal_HfO2 STANDARD	
	470.8	 0.0	 0.0	46	Thermal_HfO2 STANDARD	
	473.8	 0.0	 0.0	46	Thermal_HfO2 STANDARD	
	476.8	 0.0	 0.0	45	Thermal_HfO2 STANDARD	
	479.8	 0.0	 0.0	45	Thermal_HfO2 STANDARD	
	482.8	 0.0	 0.0	45	Thermal_HfO2 STANDARD	
	485.8	 0.0	 0.0	45	Thermal_HfO2 STANDARD	
	488.8	 0.0	 0.0	45	Thermal_HfO2 STANDARD	
	491.8	 0.0	 0.0	45	Thermal_HfO2 STANDARD	
	494.8	 0.0	 0.0	45	Thermal_HfO2 STANDARD	
	497.8	 0.0	 0.0	45	Thermal_HfO2 STANDARD	
	500.8	 0.0	 0.0	45	Thermal_HfO2 STANDARD	
	503.8	 0.0	 0.0	45	Thermal_HfO2 STANDARD	
	506.8	 0.0	 0.0	44	Thermal_HfO2 STANDARD	
	509.8	 0.0	 0.0	44	Thermal_HfO2 STANDARD	
	512.8	 0.0	 0.0	44	Thermal_HfO2 STANDARD	
