	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.9	 0.0	 0.0	20	ALD1 Purge Headspace.txt	
	 3.9	 0.0	 0.0	20	ALD1 Purge Headspace.txt	
	 6.9	 0.0	 0.0	20	ALD1 Purge Headspace.txt	
	 9.9	 0.0	 0.0	20	ALD1 Purge Headspace.txt	
	12.9	 0.0	 0.0	20	ALD1 Purge Headspace.txt	
	15.9	 0.0	 0.0	20	ALD1 Purge Headspace.txt	
	18.9	 0.0	 0.0	20	ALD1 Purge Headspace.txt	
	21.9	 0.0	 0.0	20	ALD1 Purge Headspace.txt	
	24.9	 0.0	 0.0	19	ALD1 Purge Headspace.txt	
	27.9	 0.0	 0.0	19	ALD1 Purge Headspace.txt	
	30.9	 0.0	 0.0	19	ALD1 Purge Headspace.txt	
	33.9	 0.0	 0.0	18	ALD1 Purge Headspace.txt	
	36.9	 0.0	 0.0	18	ALD1 Purge Headspace.txt	
	39.9	 0.0	 0.0	18	ALD1 Purge Headspace.txt	
	42.9	 0.0	 0.0	17	ALD1 Purge Headspace.txt	
	45.9	 0.0	 0.0	17	ALD1 Purge Headspace.txt	
	48.9	 0.0	 0.0	17	ALD1 Purge Headspace.txt	
	51.9	 0.0	 0.0	16	ALD1 Purge Headspace.txt	
	54.9	 0.0	 0.0	16	ALD1 Purge Headspace.txt	
	57.9	 0.0	 0.0	16	ALD1 Purge Headspace.txt	
	60.9	 0.0	 0.0	16	ALD1 Purge Headspace.txt	
	63.9	 0.0	 0.0	15	ALD1 Purge Headspace.txt	
	66.9	 0.0	 0.0	15	ALD1 Purge Headspace.txt	
	69.9	 0.0	 0.0	15	ALD1 Purge Headspace.txt	
	72.9	 0.0	 0.0	14	ALD1 Purge Headspace.txt	
	75.9	 0.0	 0.0	14	ALD1 Purge Headspace.txt	
	78.9	 0.0	 0.0	14	ALD1 Purge Headspace.txt	
	81.9	 0.0	 0.0	13	ALD1 Purge Headspace.txt	
	84.9	 0.0	 0.0	13	ALD1 Purge Headspace.txt	
	87.9	 0.0	 0.0	13	ALD1 Purge Headspace.txt	
	90.9	 0.0	 0.0	12	ALD1 Purge Headspace.txt	
	93.9	 0.0	 0.0	12	ALD1 Purge Headspace.txt	
	96.9	 0.0	 0.0	12	ALD1 Purge Headspace.txt	
	99.9	 0.0	 0.0	11	ALD1 Purge Headspace.txt	
	102.9	 0.0	 0.0	11	ALD1 Purge Headspace.txt	
	105.9	 0.0	 0.0	11	ALD1 Purge Headspace.txt	
	108.9	 0.0	 0.0	10	ALD1 Purge Headspace.txt	
	111.9	 0.0	 0.0	10	ALD1 Purge Headspace.txt	
	114.9	 0.0	 0.0	10	ALD1 Purge Headspace.txt	
	117.9	 0.0	 0.0	9	ALD1 Purge Headspace.txt	
	120.9	 0.0	 0.0	9	ALD1 Purge Headspace.txt	
	123.9	 0.0	 0.0	9	ALD1 Purge Headspace.txt	
	126.9	 0.0	 0.0	8	ALD1 Purge Headspace.txt	
	129.9	 0.0	 0.0	8	ALD1 Purge Headspace.txt	
	132.9	 0.0	 0.0	8	ALD1 Purge Headspace.txt	
	135.9	 0.0	 0.0	7	ALD1 Purge Headspace.txt	
	138.9	 0.0	 0.0	7	ALD1 Purge Headspace.txt	
	141.9	 0.0	 0.0	7	ALD1 Purge Headspace.txt	
	144.9	 0.0	 0.0	6	ALD1 Purge Headspace.txt	
	147.9	 0.0	 0.0	6	ALD1 Purge Headspace.txt	
	150.9	 0.0	 0.0	6	ALD1 Purge Headspace.txt	
	153.9	 0.0	 0.0	5	ALD1 Purge Headspace.txt	
	156.9	 0.0	 0.0	5	ALD1 Purge Headspace.txt	
	159.9	 0.0	 0.0	5	ALD1 Purge Headspace.txt	
	162.9	 0.0	 0.0	4	ALD1 Purge Headspace.txt	
	165.9	 0.0	 0.0	4	ALD1 Purge Headspace.txt	
	168.9	 0.0	 0.0	4	ALD1 Purge Headspace.txt	
	171.9	 0.0	 0.0	3	ALD1 Purge Headspace.txt	
	174.9	 0.0	 0.0	3	ALD1 Purge Headspace.txt	
	177.9	 0.0	 0.0	3	ALD1 Purge Headspace.txt	
	180.9	 0.0	 0.0	2	ALD1 Purge Headspace.txt	
	183.9	 0.0	 0.0	2	ALD1 Purge Headspace.txt	
	186.9	 0.0	 0.0	2	ALD1 Purge Headspace.txt	
	189.9	 0.0	 0.0	1	ALD1 Purge Headspace.txt	
	192.9	 0.0	 0.0	1	ALD1 Purge Headspace.txt	
	195.9	 0.0	 0.0	1	ALD1 Purge Headspace.txt	
	198.9	 0.0	 0.0	0	ALD1 Purge Headspace.txt	
