	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	 4.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	 7.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	10.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	13.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	16.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	19.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	22.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	25.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	28.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	31.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	34.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	37.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	40.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	43.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	46.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	49.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	52.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	55.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	58.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	61.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	64.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	67.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	70.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	73.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	76.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	79.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	82.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	85.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	88.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	91.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	94.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	97.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	100.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	103.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	106.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	109.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	112.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	115.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	118.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	121.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	124.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	127.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	130.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	133.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	136.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	139.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	142.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	145.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	148.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	151.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	154.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	157.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	160.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	163.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	166.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	169.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	172.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	175.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	178.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	181.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	184.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	187.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	190.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	193.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	196.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	199.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	202.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	205.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	208.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	211.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	214.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	217.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	220.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	223.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	226.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	229.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	232.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	235.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	238.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	241.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	244.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	247.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	250.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	253.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	256.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	259.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	262.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	265.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	268.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	271.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	274.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	277.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	280.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	283.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	286.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	289.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	292.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	295.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	298.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	301.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	304.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	307.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	310.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	313.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	316.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	319.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	322.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	325.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	328.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	331.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	334.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	337.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	340.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	343.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	346.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	349.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	352.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	355.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	358.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	361.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	364.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	367.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	370.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	373.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	376.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	379.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	382.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	385.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	388.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	391.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	394.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	397.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	400.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	403.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	406.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	409.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	412.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	415.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	418.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	421.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	424.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	427.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	430.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	433.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	436.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	439.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	442.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	445.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	448.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	451.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	454.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	457.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	460.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	463.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	466.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	469.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	472.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	475.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	478.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	481.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	484.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	487.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	490.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	493.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	496.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	499.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	502.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	505.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	508.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	511.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	514.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	517.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	520.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	523.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	526.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	529.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	532.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	535.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	538.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	541.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	544.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	547.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	550.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	553.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	556.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	559.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	562.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	565.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	568.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	571.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	574.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	577.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	580.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	583.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	586.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	589.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	592.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	595.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	598.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	601.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	604.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	607.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
	610.2	 0.0	 0.0	60	Plasma TiN_Nikita.txt	
