	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.7	 0.0	 0.0	50	thermal ZrO2	
	 4.7	 0.0	 0.0	50	thermal ZrO2	
	 7.7	 0.0	 0.0	50	thermal ZrO2	
	10.7	 0.0	 0.0	50	thermal ZrO2	
	13.7	 0.0	 0.0	50	thermal ZrO2	
	16.7	 0.0	 0.0	50	thermal ZrO2	
	19.7	 0.0	 0.0	50	thermal ZrO2	
	22.7	 0.0	 0.0	50	thermal ZrO2	
	25.7	 0.0	 0.0	50	thermal ZrO2	
	28.7	 0.0	 0.0	50	thermal ZrO2	
	31.7	 0.0	 0.0	50	thermal ZrO2	
	34.7	 0.0	 0.0	50	thermal ZrO2	
	37.7	 0.0	 0.0	50	thermal ZrO2	
	40.7	 0.0	 0.0	50	thermal ZrO2	
	43.7	 0.0	 0.0	50	thermal ZrO2	
	46.7	 0.0	 0.0	50	thermal ZrO2	
	49.7	 0.0	 0.0	50	thermal ZrO2	
	52.7	 0.0	 0.0	50	thermal ZrO2	
	55.7	 0.0	 0.0	50	thermal ZrO2	
	58.7	 0.0	 0.0	50	thermal ZrO2	
	61.7	 0.0	 0.0	50	thermal ZrO2	
	64.7	 0.0	 0.0	50	thermal ZrO2	
	67.7	 0.0	 0.0	50	thermal ZrO2	
	70.7	 0.0	 0.0	50	thermal ZrO2	
	73.7	 0.0	 0.0	50	thermal ZrO2	
	76.7	 0.0	 0.0	50	thermal ZrO2	
	79.7	 0.0	 0.0	50	thermal ZrO2	
	82.7	 0.0	 0.0	50	thermal ZrO2	
	85.7	 0.0	 0.0	50	thermal ZrO2	
	88.7	 0.0	 0.0	50	thermal ZrO2	
	91.7	 0.0	 0.0	50	thermal ZrO2	
	94.7	 0.0	 0.0	50	thermal ZrO2	
	97.7	 0.0	 0.0	50	thermal ZrO2	
	100.7	 0.0	 0.0	50	thermal ZrO2	
	103.7	 0.0	 0.0	50	thermal ZrO2	
	106.7	 0.0	 0.0	50	thermal ZrO2	
	109.7	 0.0	 0.0	50	thermal ZrO2	
	112.7	 0.0	 0.0	50	thermal ZrO2	
	115.7	 0.0	 0.0	50	thermal ZrO2	
	118.7	 0.0	 0.0	50	thermal ZrO2	
	121.7	 0.0	 0.0	50	thermal ZrO2	
	124.7	 0.0	 0.0	50	thermal ZrO2	
	127.7	 0.0	 0.0	50	thermal ZrO2	
	130.7	 0.0	 0.0	50	thermal ZrO2	
	133.7	 0.0	 0.0	50	thermal ZrO2	
	136.7	 0.0	 0.0	50	thermal ZrO2	
	139.7	 0.0	 0.0	50	thermal ZrO2	
	142.7	 0.0	 0.0	50	thermal ZrO2	
	145.7	 0.0	 0.0	50	thermal ZrO2	
	148.7	 0.0	 0.0	50	thermal ZrO2	
	151.7	 0.0	 0.0	50	thermal ZrO2	
	154.7	 0.0	 0.0	50	thermal ZrO2	
	157.7	 0.0	 0.0	50	thermal ZrO2	
	160.7	 0.0	 0.0	50	thermal ZrO2	
	163.7	 0.0	 0.0	50	thermal ZrO2	
	166.7	 0.0	 0.0	50	thermal ZrO2	
	169.7	 0.0	 0.0	50	thermal ZrO2	
	172.7	 0.0	 0.0	50	thermal ZrO2	
	175.7	 0.0	 0.0	50	thermal ZrO2	
	178.7	 0.0	 0.0	50	thermal ZrO2	
	181.7	 0.0	 0.0	50	thermal ZrO2	
	184.7	 0.0	 0.0	50	thermal ZrO2	
	187.7	 0.0	 0.0	50	thermal ZrO2	
	190.7	 0.0	 0.0	50	thermal ZrO2	
	193.7	 0.0	 0.0	50	thermal ZrO2	
	196.7	 0.0	 0.0	50	thermal ZrO2	
	199.7	 0.0	 0.0	50	thermal ZrO2	
	202.7	 0.0	 0.0	50	thermal ZrO2	
	205.7	 0.0	 0.0	50	thermal ZrO2	
	208.7	 0.0	 0.0	50	thermal ZrO2	
	211.7	 0.0	 0.0	50	thermal ZrO2	
	214.7	 0.0	 0.0	50	thermal ZrO2	
	217.7	 0.0	 0.0	50	thermal ZrO2	
	220.7	 0.0	 0.0	50	thermal ZrO2	
	223.7	 0.0	 0.0	50	thermal ZrO2	
	226.7	 0.0	 0.0	50	thermal ZrO2	
	229.7	 0.0	 0.0	50	thermal ZrO2	
	232.7	 0.0	 0.0	50	thermal ZrO2	
	235.7	 0.0	 0.0	50	thermal ZrO2	
	238.7	 0.0	 0.0	50	thermal ZrO2	
	241.7	 0.0	 0.0	50	thermal ZrO2	
	244.7	 0.0	 0.0	50	thermal ZrO2	
	247.7	 0.0	 0.0	50	thermal ZrO2	
	250.7	 0.0	 0.0	50	thermal ZrO2	
	253.7	 0.0	 0.0	50	thermal ZrO2	
	256.7	 0.0	 0.0	50	thermal ZrO2	
	259.7	 0.0	 0.0	50	thermal ZrO2	
	262.7	 0.0	 0.0	50	thermal ZrO2	
	265.7	 0.0	 0.0	50	thermal ZrO2	
	268.7	 0.0	 0.0	50	thermal ZrO2	
	271.7	 0.0	 0.0	50	thermal ZrO2	
	274.7	 0.0	 0.0	50	thermal ZrO2	
	277.7	 0.0	 0.0	50	thermal ZrO2	
	280.7	 0.0	 0.0	50	thermal ZrO2	
	283.7	 0.0	 0.0	50	thermal ZrO2	
	286.7	 0.0	 0.0	50	thermal ZrO2	
	289.7	 0.0	 0.0	50	thermal ZrO2	
	292.7	 0.0	 0.0	50	thermal ZrO2	
	295.7	 0.0	 0.0	50	thermal ZrO2	
	298.7	 0.0	 0.0	50	thermal ZrO2	
	301.7	 0.0	 0.0	50	thermal ZrO2	
	304.7	 0.0	 0.0	50	thermal ZrO2	
	307.7	 0.0	 0.0	50	thermal ZrO2	
	310.7	 0.0	 0.0	50	thermal ZrO2	
	313.7	 0.0	 0.0	50	thermal ZrO2	
	316.7	 0.0	 0.0	50	thermal ZrO2	
	319.7	 0.0	 0.0	50	thermal ZrO2	
	322.7	 0.0	 0.0	50	thermal ZrO2	
	325.7	 0.0	 0.0	50	thermal ZrO2	
	328.7	 0.0	 0.0	50	thermal ZrO2	
	331.7	 0.0	 0.0	50	thermal ZrO2	
	334.7	 0.0	 0.0	50	thermal ZrO2	
	337.7	 0.0	 0.0	50	thermal ZrO2	
	340.7	 0.0	 0.0	50	thermal ZrO2	
	343.7	 0.0	 0.0	50	thermal ZrO2	
	346.7	 0.0	 0.0	50	thermal ZrO2	
	349.7	 0.0	 0.0	50	thermal ZrO2	
	352.7	 0.0	 0.0	50	thermal ZrO2	
	355.7	 0.0	 0.0	50	thermal ZrO2	
	358.7	 0.0	 0.0	50	thermal ZrO2	
	361.7	 0.0	 0.0	50	thermal ZrO2	
	364.7	 0.0	 0.0	50	thermal ZrO2	
	367.7	 0.0	 0.0	49	thermal ZrO2	
	370.7	 0.0	 0.0	49	thermal ZrO2	
	373.7	 0.0	 0.0	49	thermal ZrO2	
	376.7	 0.0	 0.0	49	thermal ZrO2	
	379.7	 0.0	 0.0	49	thermal ZrO2	
	382.7	 0.0	 0.0	49	thermal ZrO2	
	385.7	 0.0	 0.0	49	thermal ZrO2	
	388.7	 0.0	 0.0	49	thermal ZrO2	
	391.7	 0.0	 0.0	49	thermal ZrO2	
	394.7	 0.0	 0.0	49	thermal ZrO2	
	397.7	 0.0	 0.0	49	thermal ZrO2	
	400.7	 0.0	 0.0	49	thermal ZrO2	
	403.7	 0.0	 0.0	49	thermal ZrO2	
	406.7	 0.0	 0.0	49	thermal ZrO2	
	409.7	 0.0	 0.0	49	thermal ZrO2	
	412.7	 0.0	 0.0	48	thermal ZrO2	
	415.7	 0.0	 0.0	48	thermal ZrO2	
	418.7	 0.0	 0.0	48	thermal ZrO2	
	421.7	 0.0	 0.0	48	thermal ZrO2	
	424.7	 0.0	 0.0	48	thermal ZrO2	
	427.7	 0.0	 0.0	48	thermal ZrO2	
	430.7	 0.0	 0.0	48	thermal ZrO2	
	433.7	 0.0	 0.0	48	thermal ZrO2	
	436.7	 0.0	 0.0	48	thermal ZrO2	
	439.7	 0.0	 0.0	48	thermal ZrO2	
	442.7	 0.0	 0.0	48	thermal ZrO2	
	445.7	 0.0	 0.0	48	thermal ZrO2	
