	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	 5.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	 8.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	11.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	14.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	17.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	20.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	23.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	26.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	29.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	32.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	35.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	38.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	41.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	44.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	47.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	50.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	53.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	56.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	59.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	62.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	65.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	68.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	71.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	74.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	77.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	80.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	83.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	86.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	89.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	92.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	95.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	98.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	101.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	104.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	107.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	110.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	113.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	116.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	119.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	122.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	125.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	128.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	131.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	134.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	137.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	140.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	143.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	146.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	149.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	152.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	155.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	158.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	161.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	164.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	167.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	170.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	173.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	176.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	179.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	182.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	185.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	188.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	191.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	194.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	197.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	200.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	203.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	206.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	209.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	212.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	215.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	218.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	221.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	224.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	227.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	230.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	233.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	236.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	239.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	242.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	245.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	248.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	251.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	254.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	257.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	260.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	263.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	266.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	269.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	272.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	275.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	278.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	281.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	284.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	287.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	290.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	293.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	296.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	299.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	302.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	305.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	308.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	311.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	314.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	317.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	320.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	323.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	326.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	329.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	332.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	335.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	338.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
	341.7	 0.0	 0.0	150	SiN 3dmas N2 plasma with AlN tma n2 plasma and H2 plasma post-treatment.txt	
