	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.1	 0.0	 0.0	200	GateStack.txt	
	 3.1	 0.0	 0.0	200	GateStack.txt	
	 6.1	 0.0	 0.0	200	GateStack.txt	
	 9.1	 0.0	 0.0	200	GateStack.txt	
	12.1	 0.0	 0.0	200	GateStack.txt	
	15.1	 0.0	 0.0	200	GateStack.txt	
	18.1	 0.0	 0.0	200	GateStack.txt	
	21.1	 0.0	 0.0	200	GateStack.txt	
	24.1	 0.0	 0.0	200	GateStack.txt	
	27.1	 0.0	 0.0	200	GateStack.txt	
	30.1	 0.0	 0.0	200	GateStack.txt	
	33.1	 0.0	 0.0	200	GateStack.txt	
	36.1	 0.0	 0.0	200	GateStack.txt	
	39.1	 0.0	 0.0	200	GateStack.txt	
	42.1	 0.0	 0.0	200	GateStack.txt	
	45.1	 0.0	 0.0	200	GateStack.txt	
	48.1	 0.0	 0.0	200	GateStack.txt	
	51.1	 0.0	 0.0	200	GateStack.txt	
	54.1	 0.0	 0.0	200	GateStack.txt	
	57.1	 0.0	 0.0	200	GateStack.txt	
	60.1	 0.0	 0.0	200	GateStack.txt	
	63.1	 0.0	 0.0	200	GateStack.txt	
	66.1	 0.0	 0.0	200	GateStack.txt	
	69.1	 0.0	 0.0	200	GateStack.txt	
	72.1	 0.0	 0.0	99	GateStack.txt	
	75.1	 0.0	 0.0	99	GateStack.txt	
	78.1	 0.0	 0.0	99	GateStack.txt	
	81.1	 0.0	 0.0	99	GateStack.txt	
	84.1	 0.0	 0.0	99	GateStack.txt	
	87.1	 0.0	 0.0	99	GateStack.txt	
	90.1	 0.0	 0.0	99	GateStack.txt	
	93.1	 0.0	 0.0	98	GateStack.txt	
	96.1	 0.0	 0.0	98	GateStack.txt	
	99.1	 0.0	 0.0	98	GateStack.txt	
	102.1	 0.0	 0.0	98	GateStack.txt	
	105.1	 0.0	 0.0	98	GateStack.txt	
	108.1	 0.0	 0.0	98	GateStack.txt	
	111.1	 0.0	 0.0	98	GateStack.txt	
	114.1	 0.0	 0.0	97	GateStack.txt	
	117.1	 0.0	 0.0	97	GateStack.txt	
	120.1	 0.0	 0.0	97	GateStack.txt	
	123.1	 0.0	 0.0	97	GateStack.txt	
	126.1	 0.0	 0.0	97	GateStack.txt	
	129.1	 0.0	 0.0	97	GateStack.txt	
	132.1	 0.0	 0.0	97	GateStack.txt	
	135.1	 0.0	 0.0	96	GateStack.txt	
	138.1	 0.0	 0.0	96	GateStack.txt	
	141.1	 0.0	 0.0	96	GateStack.txt	
	144.1	 0.0	 0.0	96	GateStack.txt	
	147.1	 0.0	 0.0	96	GateStack.txt	
	150.1	 0.0	 0.0	96	GateStack.txt	
	153.1	 0.0	 0.0	96	GateStack.txt	
	156.1	 0.0	 0.0	95	GateStack.txt	
	159.1	 0.0	 0.0	95	GateStack.txt	
	162.1	 0.0	 0.0	95	GateStack.txt	
	165.1	 0.0	 0.0	95	GateStack.txt	
	168.1	 0.0	 0.0	95	GateStack.txt	
	171.1	 0.0	 0.0	95	GateStack.txt	
	174.1	 0.0	 0.0	94	GateStack.txt	
	177.1	 0.0	 0.0	94	GateStack.txt	
	180.1	 0.0	 0.0	94	GateStack.txt	
	183.1	 0.0	 0.0	94	GateStack.txt	
	186.1	 0.0	 0.0	94	GateStack.txt	
	189.1	 0.0	 0.0	94	GateStack.txt	
	192.1	 0.0	 0.0	94	GateStack.txt	
	195.1	 0.0	 0.0	93	GateStack.txt	
	198.1	 0.0	 0.0	93	GateStack.txt	
	201.1	 0.0	 0.0	93	GateStack.txt	
	204.1	 0.0	 0.0	93	GateStack.txt	
	207.1	 0.0	 0.0	93	GateStack.txt	
	210.1	 0.0	 0.0	93	GateStack.txt	
	213.1	 0.0	 0.0	93	GateStack.txt	
	216.1	 0.0	 0.0	92	GateStack.txt	
	219.1	 0.0	 0.0	92	GateStack.txt	
	222.1	 0.0	 0.0	92	GateStack.txt	
	225.1	 0.0	 0.0	92	GateStack.txt	
	228.1	 0.0	 0.0	92	GateStack.txt	
	231.1	 0.0	 0.0	92	GateStack.txt	
	234.1	 0.0	 0.0	92	GateStack.txt	
	237.1	 0.0	 0.0	91	GateStack.txt	
	240.1	 0.0	 0.0	91	GateStack.txt	
	243.1	 0.0	 0.0	91	GateStack.txt	
	246.1	 0.0	 0.0	91	GateStack.txt	
	249.1	 0.0	 0.0	91	GateStack.txt	
	252.1	 0.0	 0.0	91	GateStack.txt	
	255.1	 0.0	 0.0	91	GateStack.txt	
	258.1	 0.0	 0.0	90	GateStack.txt	
	261.1	 0.0	 0.0	90	GateStack.txt	
	264.1	 0.0	 0.0	90	GateStack.txt	
	267.1	 0.0	 0.0	90	GateStack.txt	
	270.1	 0.0	 0.0	90	GateStack.txt	
	273.1	 0.0	 0.0	90	GateStack.txt	
	276.1	 0.0	 0.0	89	GateStack.txt	
	279.1	 0.0	 0.0	89	GateStack.txt	
	282.1	 0.0	 0.0	89	GateStack.txt	
	285.1	 0.0	 0.0	89	GateStack.txt	
	288.1	 0.0	 0.0	89	GateStack.txt	
	291.1	 0.0	 0.0	89	GateStack.txt	
	294.1	 0.0	 0.0	89	GateStack.txt	
	297.1	 0.0	 0.0	88	GateStack.txt	
	300.1	 0.0	 0.0	88	GateStack.txt	
	303.1	 0.0	 0.0	88	GateStack.txt	
	306.1	 0.0	 0.0	88	GateStack.txt	
	309.1	 0.0	 0.0	88	GateStack.txt	
	312.1	 0.0	 0.0	88	GateStack.txt	
	315.1	 0.0	 0.0	88	GateStack.txt	
	318.1	 0.0	 0.0	87	GateStack.txt	
	321.1	 0.0	 0.0	87	GateStack.txt	
	324.1	 0.0	 0.0	87	GateStack.txt	
	327.1	 0.0	 0.0	87	GateStack.txt	
	330.1	 0.0	 0.0	87	GateStack.txt	
	333.1	 0.0	 0.0	87	GateStack.txt	
	336.1	 0.0	 0.0	87	GateStack.txt	
	339.1	 0.0	 0.0	86	GateStack.txt	
	342.1	 0.0	 0.0	86	GateStack.txt	
	345.1	 0.0	 0.0	86	GateStack.txt	
	348.1	 0.0	 0.0	86	GateStack.txt	
	351.1	 0.0	 0.0	86	GateStack.txt	
	354.1	 0.0	 0.0	86	GateStack.txt	
	357.1	 0.0	 0.0	86	GateStack.txt	
	360.1	 0.0	 0.0	85	GateStack.txt	
	363.1	 0.0	 0.0	85	GateStack.txt	
	366.1	 0.0	 0.0	85	GateStack.txt	
	369.1	 0.0	 0.0	85	GateStack.txt	
	372.1	 0.0	 0.0	85	GateStack.txt	
	375.1	 0.0	 0.0	85	GateStack.txt	
	378.1	 0.0	 0.0	85	GateStack.txt	
	381.1	 0.0	 0.0	84	GateStack.txt	
	384.1	 0.0	 0.0	84	GateStack.txt	
	387.1	 0.0	 0.0	84	GateStack.txt	
	390.1	 0.0	 0.0	84	GateStack.txt	
	393.1	 0.0	 0.0	84	GateStack.txt	
	396.1	 0.0	 0.0	84	GateStack.txt	
	399.1	 0.0	 0.0	83	GateStack.txt	
	402.1	 0.0	 0.0	83	GateStack.txt	
	405.1	 0.0	 0.0	83	GateStack.txt	
	408.1	 0.0	 0.0	83	GateStack.txt	
	411.1	 0.0	 0.0	83	GateStack.txt	
	414.1	 0.0	 0.0	83	GateStack.txt	
	417.1	 0.0	 0.0	83	GateStack.txt	
	420.1	 0.0	 0.0	82	GateStack.txt	
	423.1	 0.0	 0.0	82	GateStack.txt	
	426.1	 0.0	 0.0	82	GateStack.txt	
	429.1	 0.0	 0.0	82	GateStack.txt	
	432.1	 0.0	 0.0	82	GateStack.txt	
	435.1	 0.0	 0.0	82	GateStack.txt	
	438.1	 0.0	 0.0	82	GateStack.txt	
	441.1	 0.0	 0.0	81	GateStack.txt	
	444.1	 0.0	 0.0	81	GateStack.txt	
	447.1	 0.0	 0.0	81	GateStack.txt	
	450.1	 0.0	 0.0	81	GateStack.txt	
	453.1	 0.0	 0.0	81	GateStack.txt	
	456.1	 0.0	 0.0	81	GateStack.txt	
	459.1	 0.0	 0.0	81	GateStack.txt	
	462.1	 0.0	 0.0	80	GateStack.txt	
	465.1	 0.0	 0.0	80	GateStack.txt	
	468.1	 0.0	 0.0	80	GateStack.txt	
	471.1	 0.0	 0.0	80	GateStack.txt	
	474.1	 0.0	 0.0	80	GateStack.txt	
	477.1	 0.0	 0.0	80	GateStack.txt	
	480.1	 0.0	 0.0	80	GateStack.txt	
	483.1	 0.0	 0.0	79	GateStack.txt	
	486.1	 0.0	 0.0	79	GateStack.txt	
	489.1	 0.0	 0.0	79	GateStack.txt	
	492.1	 0.0	 0.0	79	GateStack.txt	
	495.1	 0.0	 0.0	79	GateStack.txt	
	498.1	 0.0	 0.0	79	GateStack.txt	
	501.1	 0.0	 0.0	79	GateStack.txt	
	504.1	 0.0	 0.0	78	GateStack.txt	
	507.1	 0.0	 0.0	78	GateStack.txt	
	510.1	 0.0	 0.0	78	GateStack.txt	
	513.1	 0.0	 0.0	78	GateStack.txt	
	516.1	 0.0	 0.0	78	GateStack.txt	
	519.1	 0.0	 0.0	78	GateStack.txt	
	522.1	 0.0	 0.0	77	GateStack.txt	
	525.1	 0.0	 0.0	77	GateStack.txt	
	528.1	 0.0	 0.0	77	GateStack.txt	
	531.1	 0.0	 0.0	77	GateStack.txt	
	534.1	 0.0	 0.0	77	GateStack.txt	
	537.1	 0.0	 0.0	77	GateStack.txt	
	540.1	 0.0	 0.0	77	GateStack.txt	
	543.1	 0.0	 0.0	76	GateStack.txt	
	546.1	 0.0	 0.0	76	GateStack.txt	
	549.1	 0.0	 0.0	76	GateStack.txt	
	552.1	 0.0	 0.0	76	GateStack.txt	
	555.1	 0.0	 0.0	76	GateStack.txt	
	558.1	 0.0	 0.0	76	GateStack.txt	
	561.1	 0.0	 0.0	76	GateStack.txt	
	564.1	 0.0	 0.0	75	GateStack.txt	
	567.1	 0.0	 0.0	75	GateStack.txt	
	570.1	 0.0	 0.0	75	GateStack.txt	
	573.1	 0.0	 0.0	75	GateStack.txt	
	576.1	 0.0	 0.0	75	GateStack.txt	
	579.1	 0.0	 0.0	75	GateStack.txt	
	582.1	 0.0	 0.0	75	GateStack.txt	
	585.1	 0.0	 0.0	74	GateStack.txt	
	588.1	 0.0	 0.0	74	GateStack.txt	
	591.1	 0.0	 0.0	74	GateStack.txt	
	594.1	 0.0	 0.0	74	GateStack.txt	
	597.1	 0.0	 0.0	74	GateStack.txt	
	600.1	 0.0	 0.0	74	GateStack.txt	
	603.1	 0.0	 0.0	74	GateStack.txt	
	606.1	 0.0	 0.0	73	GateStack.txt	
	609.1	 0.0	 0.0	73	GateStack.txt	
	612.1	 0.0	 0.0	73	GateStack.txt	
	615.1	 0.0	 0.0	73	GateStack.txt	
	618.1	 0.0	 0.0	73	GateStack.txt	
	621.1	 0.0	 0.0	73	GateStack.txt	
	624.1	 0.0	 0.0	73	GateStack.txt	goto;011100
	627.1	 0.0	 0.0	72	GateStack.txt	
	630.1	 0.0	 0.0	72	GateStack.txt	
	633.1	 0.0	 0.0	72	GateStack.txt	
	636.1	 0.0	 0.0	72	GateStack.txt	
	639.1	 0.0	 0.0	72	GateStack.txt	
	642.1	 0.0	 0.0	72	GateStack.txt	
	645.1	 0.0	 0.0	71	GateStack.txt	
	648.1	 0.0	 0.0	71	GateStack.txt	
	651.1	 0.0	 0.0	71	GateStack.txt	
	654.1	 0.0	 0.0	71	GateStack.txt	
	657.1	 0.0	 0.0	71	GateStack.txt	
	660.1	 0.0	 0.0	71	GateStack.txt	
	663.1	 0.0	 0.0	71	GateStack.txt	
	666.1	 0.0	 0.0	70	GateStack.txt	
	669.1	 0.0	 0.0	70	GateStack.txt	
	672.1	 0.0	 0.0	70	GateStack.txt	
	675.1	 0.0	 0.0	70	GateStack.txt	
	678.1	 0.0	 0.0	70	GateStack.txt	
	681.1	 0.0	 0.0	70	GateStack.txt	
