	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.1	 0.0	 0.0	20	ALD Purge Headspace 3	
	 3.1	 0.0	 0.0	20	ALD Purge Headspace 3	
	 6.1	 0.0	 0.0	20	ALD Purge Headspace 3	
	 9.1	 0.0	 0.0	20	ALD Purge Headspace 3	
	12.1	 0.0	 0.0	20	ALD Purge Headspace 3	
	15.1	 0.0	 0.0	20	ALD Purge Headspace 3	
	18.1	 0.0	 0.0	20	ALD Purge Headspace 3	
	21.1	 0.0	 0.0	20	ALD Purge Headspace 3	
	24.1	 0.0	 0.0	19	ALD Purge Headspace 3	
	27.1	 0.0	 0.0	19	ALD Purge Headspace 3	
	30.1	 0.0	 0.0	18	ALD Purge Headspace 3	
	33.1	 0.0	 0.0	18	ALD Purge Headspace 3	
	36.1	 0.0	 0.0	17	ALD Purge Headspace 3	
	39.1	 0.0	 0.0	17	ALD Purge Headspace 3	
	42.1	 0.0	 0.0	16	ALD Purge Headspace 3	
	45.1	 0.0	 0.0	16	ALD Purge Headspace 3	
	48.1	 0.0	 0.0	15	ALD Purge Headspace 3	
	51.1	 0.0	 0.0	15	ALD Purge Headspace 3	
	54.1	 0.0	 0.0	14	ALD Purge Headspace 3	
	57.1	 0.0	 0.0	14	ALD Purge Headspace 3	
	60.1	 0.0	 0.0	13	ALD Purge Headspace 3	
	63.1	 0.0	 0.0	13	ALD Purge Headspace 3	
	66.1	 0.0	 0.0	12	ALD Purge Headspace 3	
	69.1	 0.0	 0.0	12	ALD Purge Headspace 3	
	72.1	 0.0	 0.0	11	ALD Purge Headspace 3	
	75.1	 0.0	 0.0	11	ALD Purge Headspace 3	
	78.1	 0.0	 0.0	10	ALD Purge Headspace 3	
	81.1	 0.0	 0.0	10	ALD Purge Headspace 3	
	84.1	 0.0	 0.0	9	ALD Purge Headspace 3	
	87.1	 0.0	 0.0	9	ALD Purge Headspace 3	
	90.1	 0.0	 0.0	8	ALD Purge Headspace 3	
	93.1	 0.0	 0.0	8	ALD Purge Headspace 3	
	96.1	 0.0	 0.0	7	ALD Purge Headspace 3	
	99.1	 0.0	 0.0	7	ALD Purge Headspace 3	
	102.1	 0.0	 0.0	6	ALD Purge Headspace 3	
	105.1	 0.0	 0.0	6	ALD Purge Headspace 3	
	108.1	 0.0	 0.0	5	ALD Purge Headspace 3	
	111.1	 0.0	 0.0	5	ALD Purge Headspace 3	
	114.1	 0.0	 0.0	4	ALD Purge Headspace 3	
	117.1	 0.0	 0.0	4	ALD Purge Headspace 3	
	120.1	 0.0	 0.0	4	ALD Purge Headspace 3	goto;0420
	123.1	 0.0	 0.0	3	ALD Purge Headspace 3	
	126.1	 0.0	 0.0	3	ALD Purge Headspace 3	
	129.1	 0.0	 0.0	2	ALD Purge Headspace 3	
	132.1	 0.0	 0.0	2	ALD Purge Headspace 3	
	135.1	 0.0	 0.0	1	ALD Purge Headspace 3	
	138.1	 0.0	 0.0	1	ALD Purge Headspace 3	
