	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	 3.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	 6.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	 9.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	12.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	15.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	18.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	21.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	24.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	27.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	30.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	33.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	36.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	39.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	42.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	45.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	48.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	51.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	54.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	57.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	60.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	63.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	66.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	69.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	72.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	75.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	78.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	81.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	84.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	87.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	90.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	93.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	96.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	99.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	102.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	105.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	108.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	111.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	114.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	117.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	120.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	123.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	126.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	129.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	132.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	135.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	138.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	141.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	144.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	147.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	150.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	153.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	156.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	159.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	162.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	165.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	168.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	171.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	174.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	177.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	180.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	183.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	186.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	189.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	192.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	195.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	198.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	201.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	204.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	207.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	210.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	213.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	216.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	219.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	222.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	225.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	228.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	231.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	234.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	237.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	240.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	243.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	246.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
	249.5	 0.0	 0.0	10	Plasma SiN STANDARD.txt	
