	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.5	 0.0	 0.0	100	Plasma TiN_.txt	
	 5.5	 0.0	 0.0	100	Plasma TiN_.txt	
	 8.5	 0.0	 0.0	100	Plasma TiN_.txt	
	11.5	 0.0	 0.0	100	Plasma TiN_.txt	
	14.5	 0.0	 0.0	100	Plasma TiN_.txt	
	17.5	 0.0	 0.0	100	Plasma TiN_.txt	
	20.5	 0.0	 0.0	100	Plasma TiN_.txt	
	23.5	 0.0	 0.0	100	Plasma TiN_.txt	
	26.5	 0.0	 0.0	100	Plasma TiN_.txt	
	29.5	 0.0	 0.0	100	Plasma TiN_.txt	
	32.5	 0.0	 0.0	100	Plasma TiN_.txt	
	35.5	 0.0	 0.0	100	Plasma TiN_.txt	
	38.5	 0.0	 0.0	100	Plasma TiN_.txt	
	41.5	 0.0	 0.0	100	Plasma TiN_.txt	
	44.5	 0.0	 0.0	100	Plasma TiN_.txt	
	47.5	 0.0	 0.0	100	Plasma TiN_.txt	
	50.5	 0.0	 0.0	100	Plasma TiN_.txt	
	53.5	 0.0	 0.0	100	Plasma TiN_.txt	
	56.5	 0.0	 0.0	100	Plasma TiN_.txt	
	59.5	 0.0	 0.0	100	Plasma TiN_.txt	
	62.5	 0.0	 0.0	100	Plasma TiN_.txt	
	65.5	 0.0	 0.0	100	Plasma TiN_.txt	
	68.5	 0.0	 0.0	100	Plasma TiN_.txt	
	71.5	 0.0	 0.0	100	Plasma TiN_.txt	
	74.5	 0.0	 0.0	100	Plasma TiN_.txt	
	77.5	 0.0	 0.0	100	Plasma TiN_.txt	
	80.5	 0.0	 0.0	100	Plasma TiN_.txt	
	83.5	 0.0	 0.0	100	Plasma TiN_.txt	
	86.5	 0.0	 0.0	100	Plasma TiN_.txt	
	89.5	 0.0	 0.0	100	Plasma TiN_.txt	
	92.5	 0.0	 0.0	100	Plasma TiN_.txt	
	95.5	 0.0	 0.0	100	Plasma TiN_.txt	
	98.5	 0.0	 0.0	100	Plasma TiN_.txt	
	101.5	 0.0	 0.0	100	Plasma TiN_.txt	
	104.5	 0.0	 0.0	100	Plasma TiN_.txt	
	107.5	 0.0	 0.0	100	Plasma TiN_.txt	
	110.5	 0.0	 0.0	100	Plasma TiN_.txt	
	113.5	 0.0	 0.0	100	Plasma TiN_.txt	
	116.5	 0.0	 0.0	100	Plasma TiN_.txt	
	119.5	 0.0	 0.0	100	Plasma TiN_.txt	
	122.5	 0.0	 0.0	100	Plasma TiN_.txt	
	125.5	 0.0	 0.0	100	Plasma TiN_.txt	
	128.5	 0.0	 0.0	100	Plasma TiN_.txt	
	131.5	 0.0	 0.0	100	Plasma TiN_.txt	
	134.5	 0.0	 0.0	100	Plasma TiN_.txt	
	137.5	 0.0	 0.0	100	Plasma TiN_.txt	
	140.5	 0.0	 0.0	100	Plasma TiN_.txt	
	143.5	 0.0	 0.0	100	Plasma TiN_.txt	
	146.5	 0.0	 0.0	100	Plasma TiN_.txt	
	149.5	 0.0	 0.0	100	Plasma TiN_.txt	
	152.5	 0.0	 0.0	100	Plasma TiN_.txt	
	155.5	 0.0	 0.0	100	Plasma TiN_.txt	
	158.5	 0.0	 0.0	100	Plasma TiN_.txt	
	161.5	 0.0	 0.0	100	Plasma TiN_.txt	
	164.5	 0.0	 0.0	100	Plasma TiN_.txt	
	167.5	 0.0	 0.0	100	Plasma TiN_.txt	
	170.5	 0.0	 0.0	100	Plasma TiN_.txt	
	173.5	 0.0	 0.0	100	Plasma TiN_.txt	
	176.5	 0.0	 0.0	100	Plasma TiN_.txt	
	179.5	 0.0	 0.0	100	Plasma TiN_.txt	
	182.5	 0.0	 0.0	100	Plasma TiN_.txt	
	185.5	 0.0	 0.0	100	Plasma TiN_.txt	
	188.5	 0.0	 0.0	100	Plasma TiN_.txt	
	191.5	 0.0	 0.0	100	Plasma TiN_.txt	
	194.5	 0.0	 0.0	100	Plasma TiN_.txt	
	197.5	 0.0	 0.0	100	Plasma TiN_.txt	
	200.5	 0.0	 0.0	100	Plasma TiN_.txt	
	203.5	 0.0	 0.0	100	Plasma TiN_.txt	
	206.5	 0.0	 0.0	100	Plasma TiN_.txt	
	209.5	 0.0	 0.0	100	Plasma TiN_.txt	
	212.5	 0.0	 0.0	100	Plasma TiN_.txt	
	215.5	 0.0	 0.0	100	Plasma TiN_.txt	
	218.5	 0.0	 0.0	100	Plasma TiN_.txt	
	221.5	 0.0	 0.0	100	Plasma TiN_.txt	
	224.5	 0.0	 0.0	100	Plasma TiN_.txt	
	227.5	 0.0	 0.0	100	Plasma TiN_.txt	
	230.5	 0.0	 0.0	100	Plasma TiN_.txt	
	233.5	 0.0	 0.0	100	Plasma TiN_.txt	
	236.5	 0.0	 0.0	100	Plasma TiN_.txt	
	239.5	 0.0	 0.0	100	Plasma TiN_.txt	
	242.5	 0.0	 0.0	100	Plasma TiN_.txt	
	245.5	 0.0	 0.0	100	Plasma TiN_.txt	
	248.5	 0.0	 0.0	100	Plasma TiN_.txt	
	251.5	 0.0	 0.0	100	Plasma TiN_.txt	
	254.5	 0.0	 0.0	100	Plasma TiN_.txt	
	257.5	 0.0	 0.0	100	Plasma TiN_.txt	
	260.5	 0.0	 0.0	100	Plasma TiN_.txt	
	263.5	 0.0	 0.0	100	Plasma TiN_.txt	
	266.5	 0.0	 0.0	100	Plasma TiN_.txt	
	269.5	 0.0	 0.0	100	Plasma TiN_.txt	
	272.5	 0.0	 0.0	100	Plasma TiN_.txt	
	275.5	 0.0	 0.0	100	Plasma TiN_.txt	
	278.5	 0.0	 0.0	100	Plasma TiN_.txt	
	281.5	 0.0	 0.0	100	Plasma TiN_.txt	
	284.5	 0.0	 0.0	100	Plasma TiN_.txt	
	287.5	 0.0	 0.0	100	Plasma TiN_.txt	
	290.5	 0.0	 0.0	100	Plasma TiN_.txt	
	293.5	 0.0	 0.0	100	Plasma TiN_.txt	
	296.5	 0.0	 0.0	100	Plasma TiN_.txt	
	299.5	 0.0	 0.0	100	Plasma TiN_.txt	
	302.5	 0.0	 0.0	100	Plasma TiN_.txt	
	305.5	 0.0	 0.0	100	Plasma TiN_.txt	
	308.5	 0.0	 0.0	100	Plasma TiN_.txt	
	311.5	 0.0	 0.0	100	Plasma TiN_.txt	
	314.5	 0.0	 0.0	100	Plasma TiN_.txt	
	317.5	 0.0	 0.0	100	Plasma TiN_.txt	
	320.5	 0.0	 0.0	100	Plasma TiN_.txt	
	323.5	 0.0	 0.0	100	Plasma TiN_.txt	
	326.5	 0.0	 0.0	100	Plasma TiN_.txt	
	329.5	 0.0	 0.0	100	Plasma TiN_.txt	
	332.5	 0.0	 0.0	100	Plasma TiN_.txt	
	335.5	 0.0	 0.0	100	Plasma TiN_.txt	
	338.5	 0.0	 0.0	100	Plasma TiN_.txt	
	341.5	 0.0	 0.0	100	Plasma TiN_.txt	
	344.5	 0.0	 0.0	100	Plasma TiN_.txt	
	347.5	 0.0	 0.0	100	Plasma TiN_.txt	
	350.5	 0.0	 0.0	100	Plasma TiN_.txt	
	353.5	 0.0	 0.0	100	Plasma TiN_.txt	
	356.5	 0.0	 0.0	100	Plasma TiN_.txt	
	359.5	 0.0	 0.0	100	Plasma TiN_.txt	
	362.5	 0.0	 0.0	100	Plasma TiN_.txt	
	365.5	 0.0	 0.0	100	Plasma TiN_.txt	
	368.5	 0.0	 0.0	100	Plasma TiN_.txt	
	371.5	 0.0	 0.0	100	Plasma TiN_.txt	
	374.5	 0.0	 0.0	100	Plasma TiN_.txt	
	377.5	 0.0	 0.0	100	Plasma TiN_.txt	
	380.5	 0.0	 0.0	100	Plasma TiN_.txt	
	383.5	 0.0	 0.0	100	Plasma TiN_.txt	
	386.5	 0.0	 0.0	100	Plasma TiN_.txt	
	389.5	 0.0	 0.0	100	Plasma TiN_.txt	
	392.5	 0.0	 0.0	100	Plasma TiN_.txt	
	395.5	 0.0	 0.0	100	Plasma TiN_.txt	
	398.5	 0.0	 0.0	100	Plasma TiN_.txt	
	401.5	 0.0	 0.0	100	Plasma TiN_.txt	
	404.5	 0.0	 0.0	100	Plasma TiN_.txt	
	407.5	 0.0	 0.0	100	Plasma TiN_.txt	
	410.5	 0.0	 0.0	100	Plasma TiN_.txt	
	413.5	 0.0	 0.0	100	Plasma TiN_.txt	
	416.5	 0.0	 0.0	100	Plasma TiN_.txt	
	419.5	 0.0	 0.0	100	Plasma TiN_.txt	
	422.5	 0.0	 0.0	100	Plasma TiN_.txt	
	425.5	 0.0	 0.0	100	Plasma TiN_.txt	
	428.5	 0.0	 0.0	100	Plasma TiN_.txt	
	431.5	 0.0	 0.0	100	Plasma TiN_.txt	
	434.5	 0.0	 0.0	100	Plasma TiN_.txt	
