	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	 4.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	 7.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	10.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	13.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	16.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	19.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	22.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	25.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	28.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	31.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	34.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	37.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	40.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	43.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	46.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	49.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	52.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	55.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	58.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	61.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	64.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	67.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	70.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	73.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	76.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	79.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	82.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	85.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	88.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	91.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	94.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	97.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	100.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	103.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	106.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	109.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	112.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	115.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	118.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	121.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	124.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	127.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	130.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	133.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	136.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	139.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	142.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	145.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	148.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	151.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	154.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	157.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	160.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	163.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	166.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	169.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	172.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	175.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	178.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	181.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	184.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	187.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	190.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
	193.4	 0.0	 0.0	60	Plasma_HfO2_SnO2_HfO2.txt	
