	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	 4.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	 7.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	10.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	13.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	16.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	19.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	22.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	25.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	28.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	31.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	34.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	37.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	40.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	43.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	46.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	49.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	52.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	55.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	58.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	61.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	64.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	67.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	70.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	73.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	76.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	79.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	82.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	85.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	88.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	91.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	94.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	97.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	100.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	103.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	106.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	109.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	112.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	115.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	118.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	121.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	124.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	127.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	130.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	133.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	136.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	139.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	142.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	145.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	148.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	151.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	154.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	157.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	160.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	163.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	166.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	169.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	172.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	175.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	178.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	181.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	184.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	187.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	190.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	193.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	196.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	199.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	202.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	205.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	208.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	211.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	214.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	217.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	220.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	223.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	226.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	229.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	232.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	235.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	238.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	241.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	244.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	247.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	250.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	253.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	256.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	259.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	262.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	265.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	268.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	271.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	274.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	277.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	280.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	283.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	286.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	289.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	292.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	295.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	298.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
	301.0	 0.0	 0.0	82	Plasma_HfO2_SnO2_HfO2_v2.txt	
