	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.5	 0.0	 0.0	34	AlN AlO stack	
	 3.5	 0.0	 0.0	34	AlN AlO stack	
	 6.5	 0.0	 0.0	34	AlN AlO stack	
	 9.5	 0.0	 0.0	34	AlN AlO stack	
	12.5	 0.0	 0.0	34	AlN AlO stack	
	15.5	 0.0	 0.0	34	AlN AlO stack	
	18.5	 0.0	 0.0	34	AlN AlO stack	
	21.5	 0.0	 0.0	34	AlN AlO stack	
	24.5	300.0	 3.0	34	AlN AlO stack	
	27.5	300.0	 3.0	34	AlN AlO stack	
	30.5	300.0	 3.0	34	AlN AlO stack	
	33.5	300.0	 2.0	34	AlN AlO stack	
	36.5	300.0	 2.0	34	AlN AlO stack	
	39.5	300.0	 2.0	34	AlN AlO stack	
	42.5	 0.0	 0.0	34	AlN AlO stack	
	45.5	 0.0	 0.0	34	AlN AlO stack	
	48.5	 0.0	 0.0	34	AlN AlO stack	
	51.5	 0.0	 0.0	34	AlN AlO stack	
	54.5	 0.0	 0.0	14	AlN AlO stack	
	57.5	 0.0	 0.0	14	AlN AlO stack	
	60.5	 0.0	 0.0	14	AlN AlO stack	
	63.5	 0.0	 0.0	14	AlN AlO stack	
	66.5	 0.0	 0.0	14	AlN AlO stack	
	69.5	 0.0	 0.0	14	AlN AlO stack	
	72.5	300.0	 0.0	14	AlN AlO stack	
	75.5	300.0	 0.0	14	AlN AlO stack	
	78.5	300.0	 0.0	14	AlN AlO stack	
	81.5	300.0	 0.0	14	AlN AlO stack	
	84.5	300.0	 0.0	14	AlN AlO stack	
	87.5	300.0	 0.0	14	AlN AlO stack	
	90.5	300.0	 0.0	14	AlN AlO stack	
	93.5	 0.0	 0.0	14	AlN AlO stack	
	96.5	 0.0	 0.0	14	AlN AlO stack	
	99.5	 0.0	 0.0	14	AlN AlO stack	
	102.5	 0.0	 0.0	14	AlN AlO stack	
	105.5	 0.0	 0.0	13	AlN AlO stack	
	108.5	 0.0	 0.0	13	AlN AlO stack	
	111.5	 0.0	 0.0	13	AlN AlO stack	
	114.5	 0.0	 0.0	13	AlN AlO stack	
	117.5	 0.0	 0.0	13	AlN AlO stack	
	120.5	 0.0	 0.0	13	AlN AlO stack	
	123.5	300.0	 2.0	13	AlN AlO stack	
	126.5	300.0	 2.0	13	AlN AlO stack	
	129.5	300.0	 2.0	13	AlN AlO stack	
	132.5	300.0	 2.0	13	AlN AlO stack	
	135.5	300.0	 2.0	13	AlN AlO stack	
	138.5	300.0	 2.0	13	AlN AlO stack	
	141.5	 0.0	 0.0	13	AlN AlO stack	
	144.5	 0.0	 0.0	13	AlN AlO stack	
	147.5	 0.0	 0.0	13	AlN AlO stack	
	150.5	 0.0	 0.0	13	AlN AlO stack	
	153.5	 0.0	 0.0	12	AlN AlO stack	
	156.5	 0.0	 0.0	12	AlN AlO stack	
	159.5	 0.0	 0.0	12	AlN AlO stack	
	162.5	 0.0	 0.0	12	AlN AlO stack	
	165.5	 0.0	 0.0	12	AlN AlO stack	
	168.5	 0.0	 0.0	12	AlN AlO stack	
	171.5	300.0	 2.0	12	AlN AlO stack	
	174.5	300.0	 2.0	12	AlN AlO stack	
	177.5	300.0	 2.0	12	AlN AlO stack	
	180.5	300.0	 2.0	12	AlN AlO stack	
	183.5	300.0	 2.0	12	AlN AlO stack	
	186.5	300.0	 2.0	12	AlN AlO stack	
	189.5	300.0	 2.0	12	AlN AlO stack	
	192.5	 0.0	 0.0	12	AlN AlO stack	
	195.5	 0.0	 0.0	12	AlN AlO stack	
	198.5	 0.0	 0.0	12	AlN AlO stack	
	201.5	 0.0	 0.0	11	AlN AlO stack	
	204.5	 0.0	 0.0	11	AlN AlO stack	
	207.5	 0.0	 0.0	11	AlN AlO stack	
	210.5	 0.0	 0.0	11	AlN AlO stack	
	213.5	 0.0	 0.0	11	AlN AlO stack	
	216.5	 0.0	 0.0	11	AlN AlO stack	
	219.5	300.0	17.0	11	AlN AlO stack	
	222.5	300.0	 0.0	11	AlN AlO stack	
	225.5	300.0	 0.0	11	AlN AlO stack	
	228.5	300.0	 0.0	11	AlN AlO stack	
	231.5	300.0	 0.0	11	AlN AlO stack	
	234.5	300.0	 0.0	11	AlN AlO stack	
	237.5	300.0	 0.0	11	AlN AlO stack	
	240.5	 0.0	 0.0	11	AlN AlO stack	
	243.5	 0.0	 0.0	11	AlN AlO stack	
	246.5	 0.0	 0.0	11	AlN AlO stack	
	249.5	 0.0	 0.0	11	AlN AlO stack	
	252.5	 0.0	 0.0	10	AlN AlO stack	
	255.5	 0.0	 0.0	10	AlN AlO stack	
	258.5	 0.0	 0.0	10	AlN AlO stack	
	261.5	 0.0	 0.0	10	AlN AlO stack	
	264.5	 0.0	 0.0	10	AlN AlO stack	
	267.5	 0.0	 0.0	10	AlN AlO stack	
	270.5	300.0	 0.0	10	AlN AlO stack	
	273.5	300.0	 0.0	10	AlN AlO stack	
	276.5	300.0	 0.0	10	AlN AlO stack	
	279.5	300.0	 0.0	10	AlN AlO stack	
	282.5	300.0	 0.0	10	AlN AlO stack	
	285.5	300.0	 0.0	10	AlN AlO stack	
	288.5	300.0	 0.0	10	AlN AlO stack	
