	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	 4.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	 7.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	10.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	13.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	16.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	19.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	22.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	25.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	28.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	31.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	34.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	37.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	40.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	43.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	46.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	49.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	52.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	55.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	58.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	61.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	64.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	67.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	70.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	73.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	76.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	79.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	82.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	85.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	88.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	91.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	94.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	97.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	100.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	103.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	106.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	109.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	112.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	115.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	118.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	121.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	124.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	127.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	130.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	133.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	136.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	139.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	142.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	145.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	148.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	151.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
	154.7	 0.0	 0.0	100	Plasma AlN_Tets_20220422.txt	
