	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.5	 0.0	 0.0	200	GZ_Plasma TiN	
	 5.5	 0.0	 0.0	200	GZ_Plasma TiN	
	 8.5	 0.0	 0.0	200	GZ_Plasma TiN	
	11.5	 0.0	 0.0	200	GZ_Plasma TiN	
	14.5	 0.0	 0.0	200	GZ_Plasma TiN	
	17.5	 0.0	 0.0	200	GZ_Plasma TiN	
	20.5	 0.0	 0.0	200	GZ_Plasma TiN	
	23.5	 0.0	 0.0	200	GZ_Plasma TiN	
	26.5	 0.0	 0.0	200	GZ_Plasma TiN	
	29.5	 0.0	 0.0	200	GZ_Plasma TiN	
	32.5	 0.0	 0.0	200	GZ_Plasma TiN	
	35.5	 0.0	 0.0	200	GZ_Plasma TiN	
	38.5	 0.0	 0.0	200	GZ_Plasma TiN	
	41.5	 0.0	 0.0	200	GZ_Plasma TiN	
	44.5	 0.0	 0.0	200	GZ_Plasma TiN	
	47.5	 0.0	 0.0	200	GZ_Plasma TiN	
	50.5	 0.0	 0.0	200	GZ_Plasma TiN	
	53.5	 0.0	 0.0	200	GZ_Plasma TiN	
	56.5	 0.0	 0.0	200	GZ_Plasma TiN	
	59.5	 0.0	 0.0	200	GZ_Plasma TiN	
	62.5	 0.0	 0.0	200	GZ_Plasma TiN	
	65.5	 0.0	 0.0	200	GZ_Plasma TiN	
	68.5	 0.0	 0.0	200	GZ_Plasma TiN	
	71.5	 0.0	 0.0	200	GZ_Plasma TiN	
	74.5	 0.0	 0.0	200	GZ_Plasma TiN	
	77.5	 0.0	 0.0	200	GZ_Plasma TiN	
	80.5	 0.0	 0.0	200	GZ_Plasma TiN	
	83.5	 0.0	 0.0	200	GZ_Plasma TiN	
	86.5	 0.0	 0.0	200	GZ_Plasma TiN	
	89.5	 0.0	 0.0	200	GZ_Plasma TiN	
	92.5	 0.0	 0.0	200	GZ_Plasma TiN	
	95.5	 0.0	 0.0	200	GZ_Plasma TiN	
	98.5	 0.0	 0.0	200	GZ_Plasma TiN	
	101.5	 0.0	 0.0	200	GZ_Plasma TiN	
	104.5	 0.0	 0.0	200	GZ_Plasma TiN	
	107.5	 0.0	 0.0	200	GZ_Plasma TiN	
	110.5	 0.0	 0.0	200	GZ_Plasma TiN	
	113.5	 0.0	 0.0	200	GZ_Plasma TiN	
	116.5	 0.0	 0.0	200	GZ_Plasma TiN	
	119.5	 0.0	 0.0	200	GZ_Plasma TiN	
	122.5	 0.0	 0.0	200	GZ_Plasma TiN	
	125.5	 0.0	 0.0	200	GZ_Plasma TiN	
	128.5	 0.0	 0.0	200	GZ_Plasma TiN	
	131.5	 0.0	 0.0	200	GZ_Plasma TiN	
	134.5	 0.0	 0.0	200	GZ_Plasma TiN	
	137.5	 0.0	 0.0	200	GZ_Plasma TiN	
	140.5	 0.0	 0.0	200	GZ_Plasma TiN	
	143.5	 0.0	 0.0	200	GZ_Plasma TiN	
	146.5	 0.0	 0.0	200	GZ_Plasma TiN	
	149.5	 0.0	 0.0	200	GZ_Plasma TiN	
	152.5	 0.0	 0.0	200	GZ_Plasma TiN	
	155.5	 0.0	 0.0	200	GZ_Plasma TiN	
	158.5	 0.0	 0.0	200	GZ_Plasma TiN	
	161.5	 0.0	 0.0	200	GZ_Plasma TiN	
	164.5	 0.0	 0.0	200	GZ_Plasma TiN	
	167.5	 0.0	 0.0	200	GZ_Plasma TiN	
	170.5	 0.0	 0.0	200	GZ_Plasma TiN	
	173.5	 0.0	 0.0	200	GZ_Plasma TiN	
	176.5	 0.0	 0.0	200	GZ_Plasma TiN	
	179.5	 0.0	 0.0	200	GZ_Plasma TiN	
	182.5	 0.0	 0.0	200	GZ_Plasma TiN	
	185.5	 0.0	 0.0	200	GZ_Plasma TiN	
	188.5	 0.0	 0.0	200	GZ_Plasma TiN	
	191.5	 0.0	 0.0	200	GZ_Plasma TiN	
	194.5	 0.0	 0.0	200	GZ_Plasma TiN	
	197.5	 0.0	 0.0	200	GZ_Plasma TiN	
	200.5	 0.0	 0.0	200	GZ_Plasma TiN	
	203.5	 0.0	 0.0	200	GZ_Plasma TiN	
	206.5	 0.0	 0.0	200	GZ_Plasma TiN	
	209.5	 0.0	 0.0	200	GZ_Plasma TiN	
	212.5	 0.0	 0.0	200	GZ_Plasma TiN	
	215.5	 0.0	 0.0	200	GZ_Plasma TiN	
	218.5	 0.0	 0.0	200	GZ_Plasma TiN	
	221.5	 0.0	 0.0	200	GZ_Plasma TiN	
	224.5	 0.0	 0.0	200	GZ_Plasma TiN	
	227.5	 0.0	 0.0	200	GZ_Plasma TiN	
	230.5	 0.0	 0.0	200	GZ_Plasma TiN	
	233.5	 0.0	 0.0	200	GZ_Plasma TiN	
	236.5	 0.0	 0.0	200	GZ_Plasma TiN	
	239.5	 0.0	 0.0	200	GZ_Plasma TiN	
	242.5	 0.0	 0.0	200	GZ_Plasma TiN	
	245.5	 0.0	 0.0	200	GZ_Plasma TiN	
	248.5	 0.0	 0.0	200	GZ_Plasma TiN	
	251.5	 0.0	 0.0	200	GZ_Plasma TiN	
	254.5	 0.0	 0.0	200	GZ_Plasma TiN	
	257.5	 0.0	 0.0	200	GZ_Plasma TiN	
	260.5	 0.0	 0.0	200	GZ_Plasma TiN	
