	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.0	 0.0	 0.0	10	HZO-Fei.txt	
	 4.0	 0.0	 0.0	10	HZO-Fei.txt	
	 7.0	 0.0	 0.0	10	HZO-Fei.txt	
	10.0	 0.0	 0.0	10	HZO-Fei.txt	
	13.0	 0.0	 0.0	10	HZO-Fei.txt	
	16.0	 0.0	 0.0	10	HZO-Fei.txt	
	19.0	 0.0	 0.0	10	HZO-Fei.txt	
	22.0	 0.0	 0.0	10	HZO-Fei.txt	
	25.0	 0.0	 0.0	10	HZO-Fei.txt	
	28.0	 0.0	 0.0	10	HZO-Fei.txt	
	31.0	 0.0	 0.0	10	HZO-Fei.txt	
	34.0	 0.0	 0.0	10	HZO-Fei.txt	
	37.0	 0.0	 0.0	10	HZO-Fei.txt	
	40.0	 0.0	 0.0	10	HZO-Fei.txt	
	43.0	 0.0	 0.0	10	HZO-Fei.txt	
	46.0	 0.0	 0.0	10	HZO-Fei.txt	
	49.0	 0.0	 0.0	10	HZO-Fei.txt	
	52.0	 0.0	 0.0	10	HZO-Fei.txt	
	55.0	 0.0	 0.0	10	HZO-Fei.txt	
	58.0	 0.0	 0.0	10	HZO-Fei.txt	
	61.0	 0.0	 0.0	10	HZO-Fei.txt	
	64.0	 0.0	 0.0	10	HZO-Fei.txt	
	67.0	 0.0	 0.0	10	HZO-Fei.txt	
	70.0	 0.0	 0.0	10	HZO-Fei.txt	
	73.0	 0.0	 0.0	10	HZO-Fei.txt	
	76.0	 0.0	 0.0	10	HZO-Fei.txt	
	79.0	 0.0	 0.0	10	HZO-Fei.txt	
	82.0	 0.0	 0.0	10	HZO-Fei.txt	
	85.0	 0.0	 0.0	10	HZO-Fei.txt	
	88.0	 0.0	 0.0	10	HZO-Fei.txt	
	91.0	 0.0	 0.0	10	HZO-Fei.txt	
	94.0	 0.0	 0.0	10	HZO-Fei.txt	
	97.0	 0.0	 0.0	10	HZO-Fei.txt	
	100.0	 0.0	 0.0	10	HZO-Fei.txt	
	103.0	 0.0	 0.0	10	HZO-Fei.txt	
	106.0	 0.0	 0.0	10	HZO-Fei.txt	
	109.0	 0.0	 0.0	10	HZO-Fei.txt	
	112.0	 0.0	 0.0	10	HZO-Fei.txt	
	115.0	 0.0	 0.0	10	HZO-Fei.txt	
	118.0	 0.0	 0.0	10	HZO-Fei.txt	
	121.0	 0.0	 0.0	10	HZO-Fei.txt	
	124.0	 0.0	 0.0	10	HZO-Fei.txt	
	127.0	 0.0	 0.0	10	HZO-Fei.txt	
	130.0	 0.0	 0.0	10	HZO-Fei.txt	
	133.0	 0.0	 0.0	10	HZO-Fei.txt	
	136.0	 0.0	 0.0	10	HZO-Fei.txt	
	139.0	 0.0	 0.0	10	HZO-Fei.txt	
	142.0	 0.0	 0.0	10	HZO-Fei.txt	
	145.0	 0.0	 0.0	10	HZO-Fei.txt	
	148.0	 0.0	 0.0	10	HZO-Fei.txt	
	151.0	 0.0	 0.0	10	HZO-Fei.txt	
	154.0	 0.0	 0.0	10	HZO-Fei.txt	
	157.0	 0.0	 0.0	10	HZO-Fei.txt	
	160.0	 0.0	 0.0	10	HZO-Fei.txt	
	163.0	 0.0	 0.0	10	HZO-Fei.txt	
	166.0	 0.0	 0.0	10	HZO-Fei.txt	
	169.0	 0.0	 0.0	10	HZO-Fei.txt	
	172.0	 0.0	 0.0	10	HZO-Fei.txt	
	175.0	 0.0	 0.0	10	HZO-Fei.txt	
	178.0	 0.0	 0.0	10	HZO-Fei.txt	
	181.0	 0.0	 0.0	10	HZO-Fei.txt	
	184.0	 0.0	 0.0	10	HZO-Fei.txt	
	187.0	 0.0	 0.0	10	HZO-Fei.txt	
	190.0	 0.0	 0.0	10	HZO-Fei.txt	
	193.0	 0.0	 0.0	10	HZO-Fei.txt	
	196.0	 0.0	 0.0	10	HZO-Fei.txt	
	199.0	 0.0	 0.0	10	HZO-Fei.txt	
	202.0	 0.0	 0.0	10	HZO-Fei.txt	
	205.0	 0.0	 0.0	10	HZO-Fei.txt	
	208.0	 0.0	 0.0	10	HZO-Fei.txt	
	211.0	 0.0	 0.0	10	HZO-Fei.txt	
	214.0	 0.0	 0.0	10	HZO-Fei.txt	
	217.0	 0.0	 0.0	10	HZO-Fei.txt	
	220.0	 0.0	 0.0	10	HZO-Fei.txt	
	223.0	 0.0	 0.0	10	HZO-Fei.txt	
	226.0	 0.0	 0.0	10	HZO-Fei.txt	
	229.0	 0.0	 0.0	10	HZO-Fei.txt	
	232.0	 0.0	 0.0	10	HZO-Fei.txt	
	235.0	 0.0	 0.0	10	HZO-Fei.txt	
	238.0	 0.0	 0.0	10	HZO-Fei.txt	
	241.0	 0.0	 0.0	10	HZO-Fei.txt	
	244.0	 0.0	 0.0	10	HZO-Fei.txt	
	247.0	 0.0	 0.0	10	HZO-Fei.txt	
	250.0	 0.0	 0.0	10	HZO-Fei.txt	
	253.0	 0.0	 0.0	10	HZO-Fei.txt	
	256.0	 0.0	 0.0	10	HZO-Fei.txt	
	259.0	 0.0	 0.0	10	HZO-Fei.txt	
	262.0	 0.0	 0.0	10	HZO-Fei.txt	
	265.0	 0.0	 0.0	10	HZO-Fei.txt	
	268.0	 0.0	 0.0	10	HZO-Fei.txt	
	271.0	 0.0	 0.0	10	HZO-Fei.txt	
	274.0	 0.0	 0.0	10	HZO-Fei.txt	
	277.0	 0.0	 0.0	10	HZO-Fei.txt	
	280.0	 0.0	 0.0	10	HZO-Fei.txt	
	283.0	 0.0	 0.0	10	HZO-Fei.txt	
	286.0	 0.0	 0.0	10	HZO-Fei.txt	
