	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	 3.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	 6.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	 9.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	12.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	15.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	18.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	21.4	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	24.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	27.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	30.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	33.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	36.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	39.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	42.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	45.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	48.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	51.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	54.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	57.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	60.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	63.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	66.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	69.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	72.3	 0.0	 0.0	10	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	75.3	 0.0	 0.0	4	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	78.3	 0.0	 0.0	4	Plasma Pt on 50c Al2O3 270C 2011-08-05	
	81.3	 0.0	 0.0	4	Plasma Pt on 50c Al2O3 270C 2011-08-05	
