	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.6	 0.0	 0.0	300	Plasma SnOx	
	 5.6	 0.0	 0.0	300	Plasma SnOx	
	 8.6	 0.0	 0.0	300	Plasma SnOx	
	11.6	 0.0	 0.0	300	Plasma SnOx	
	14.6	 0.0	 0.0	300	Plasma SnOx	
	17.6	 0.0	 0.0	300	Plasma SnOx	
	20.6	 0.0	 0.0	300	Plasma SnOx	
	23.6	 0.0	 0.0	300	Plasma SnOx	
	26.6	 0.0	 0.0	300	Plasma SnOx	
	29.6	 0.0	 0.0	300	Plasma SnOx	
	32.6	 0.0	 0.0	300	Plasma SnOx	
	35.6	 0.0	 0.0	300	Plasma SnOx	
	38.6	 0.0	 0.0	300	Plasma SnOx	
	41.6	 0.0	 0.0	300	Plasma SnOx	
	44.6	 0.0	 0.0	300	Plasma SnOx	
	47.6	 0.0	 0.0	300	Plasma SnOx	
	50.6	 0.0	 0.0	300	Plasma SnOx	
	53.6	 0.0	 0.0	300	Plasma SnOx	
	56.6	 0.0	 0.0	300	Plasma SnOx	
	59.6	 0.0	 0.0	300	Plasma SnOx	
	62.6	 0.0	 0.0	300	Plasma SnOx	
	65.6	 0.0	 0.0	300	Plasma SnOx	
	68.6	 0.0	 0.0	300	Plasma SnOx	
	71.6	 0.0	 0.0	300	Plasma SnOx	
	74.6	 0.0	 0.0	300	Plasma SnOx	
	77.6	 0.0	 0.0	300	Plasma SnOx	
	80.6	 0.0	 0.0	300	Plasma SnOx	
	83.6	 0.0	 0.0	300	Plasma SnOx	
	86.6	 0.0	 0.0	300	Plasma SnOx	
	89.6	 0.0	 0.0	300	Plasma SnOx	
	92.6	 0.0	 0.0	300	Plasma SnOx	
	95.6	 0.0	 0.0	300	Plasma SnOx	
	98.6	 0.0	 0.0	300	Plasma SnOx	
	101.6	 0.0	 0.0	300	Plasma SnOx	
	104.6	 0.0	 0.0	300	Plasma SnOx	
	107.6	 0.0	 0.0	300	Plasma SnOx	
	110.6	 0.0	 0.0	300	Plasma SnOx	
	113.6	 0.0	 0.0	300	Plasma SnOx	
	116.6	 0.0	 0.0	300	Plasma SnOx	
	119.6	 0.0	 0.0	300	Plasma SnOx	
	122.6	 0.0	 0.0	300	Plasma SnOx	
	125.6	 0.0	 0.0	300	Plasma SnOx	
	128.6	 0.0	 0.0	300	Plasma SnOx	
	131.6	 0.0	 0.0	300	Plasma SnOx	
	134.6	 0.0	 0.0	300	Plasma SnOx	
	137.6	300.0	 7.0	300	Plasma SnOx	
	140.6	300.0	 0.0	300	Plasma SnOx	
	143.6	300.0	 0.0	300	Plasma SnOx	
	146.6	 0.0	 0.0	300	Plasma SnOx	
	149.6	 0.0	 0.0	300	Plasma SnOx	
	152.6	 0.0	 0.0	300	Plasma SnOx	
	155.6	 0.0	 0.0	299	Plasma SnOx	
	158.6	 0.0	 0.0	299	Plasma SnOx	
	161.6	 0.0	 0.0	299	Plasma SnOx	
	164.6	 0.0	 0.0	299	Plasma SnOx	
	167.6	 0.0	 0.0	299	Plasma SnOx	
	170.6	203.0	50.0	299	Plasma SnOx	
	173.6	300.0	 3.0	299	Plasma SnOx	
	176.6	300.0	 2.0	299	Plasma SnOx	
	179.6	 0.0	 0.0	299	Plasma SnOx	
	182.6	 0.0	 0.0	299	Plasma SnOx	
	185.6	 0.0	 0.0	299	Plasma SnOx	
	188.6	 0.0	 0.0	298	Plasma SnOx	
	191.6	 0.0	 0.0	298	Plasma SnOx	
	194.6	 0.0	 0.0	298	Plasma SnOx	
