	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	 5.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	 8.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	11.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	14.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	17.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	20.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	23.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	26.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	29.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	32.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	35.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	38.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	41.4	300.0	 3.0	100	Plasma AlN_justN2_20220804.txt	
	44.4	300.0	 3.0	100	Plasma AlN_justN2_20220804.txt	
	47.4	300.0	 3.0	100	Plasma AlN_justN2_20220804.txt	
	50.4	300.0	 3.0	100	Plasma AlN_justN2_20220804.txt	
	53.4	300.0	 2.0	100	Plasma AlN_justN2_20220804.txt	
	56.4	300.0	 2.0	100	Plasma AlN_justN2_20220804.txt	
	59.4	300.0	 2.0	100	Plasma AlN_justN2_20220804.txt	
	62.4	300.0	 2.0	100	Plasma AlN_justN2_20220804.txt	
	65.4	300.0	 2.0	100	Plasma AlN_justN2_20220804.txt	
	68.4	300.0	 2.0	100	Plasma AlN_justN2_20220804.txt	
	71.4	 0.0	 0.0	100	Plasma AlN_justN2_20220804.txt	
	74.4	 0.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	77.4	 0.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	80.4	322.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	83.4	300.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	86.4	300.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	89.4	300.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	92.4	300.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	95.4	300.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	98.4	300.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	101.4	300.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	104.4	300.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	107.4	300.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	110.4	 0.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	113.4	 0.0	 0.0	99	Plasma AlN_justN2_20220804.txt	
	116.4	 0.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	119.4	 0.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	122.4	323.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	125.4	300.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	128.4	300.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	131.4	300.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	134.4	300.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	137.4	300.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	140.4	300.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	143.4	300.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	146.4	300.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	149.4	300.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	152.4	 0.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	155.4	 0.0	 0.0	98	Plasma AlN_justN2_20220804.txt	
	158.4	 0.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	161.4	 0.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	164.4	300.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	167.4	300.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	170.4	300.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	173.4	300.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	176.4	300.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	179.4	300.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	182.4	300.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	185.4	300.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	188.4	300.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	191.4	300.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	194.4	 0.0	 0.0	97	Plasma AlN_justN2_20220804.txt	
	197.4	 0.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	200.4	 0.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	203.4	320.0	 7.0	96	Plasma AlN_justN2_20220804.txt	
	206.4	300.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	209.4	300.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	212.4	300.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	215.4	300.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	218.4	300.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	221.4	300.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	224.4	300.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	227.4	300.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	230.4	300.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	233.4	 0.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	236.4	 0.0	 0.0	96	Plasma AlN_justN2_20220804.txt	
	239.4	 0.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	242.4	 0.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	245.4	207.0	50.0	95	Plasma AlN_justN2_20220804.txt	
	248.4	300.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	251.4	300.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	254.4	300.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	257.4	300.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	260.4	300.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	263.4	300.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	266.4	300.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	269.4	300.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	272.4	300.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	275.4	 0.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	278.4	 0.0	 0.0	95	Plasma AlN_justN2_20220804.txt	
	281.4	 0.0	 0.0	94	Plasma AlN_justN2_20220804.txt	
	284.4	 0.0	 0.0	94	Plasma AlN_justN2_20220804.txt	
