	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	635.4	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	 3.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	 6.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	 9.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	12.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	15.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	18.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	21.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	24.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	27.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	30.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	33.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	36.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	39.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	42.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	45.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	48.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	51.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	54.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	57.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	60.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	63.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	66.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	69.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	72.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	75.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	78.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	81.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	84.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	87.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	90.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	93.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	96.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	99.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	102.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	105.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	108.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	111.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	114.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	117.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	120.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	123.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	126.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	129.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	132.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	135.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	138.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	141.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	144.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	147.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	150.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	153.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	156.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	159.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	162.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	165.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	168.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	171.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	174.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	177.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	180.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	183.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	186.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	189.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	192.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	195.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	198.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	201.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	204.0	300.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	207.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	210.0	 0.0	 0.0	100	Plasma AlN_H2N2_5s_purge_season_20220808.txt	goto;022100
	213.0	 0.0	 0.0	99	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	216.0	 0.0	 0.0	99	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	219.0	300.0	 0.0	99	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	222.0	300.0	 0.0	99	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	225.0	300.0	 0.0	99	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
	228.0	300.0	 0.0	99	Plasma AlN_H2N2_5s_purge_season_20220808.txt	
