	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.3	 0.0	 0.0	300	Plasma SiO2 Nate 220902	
	 4.3	 0.0	 0.0	300	Plasma SiO2 Nate 220902	
	 7.3	 0.0	 0.0	300	Plasma SiO2 Nate 220902	
	10.3	 0.0	 0.0	300	Plasma SiO2 Nate 220902	
	13.3	 0.0	 0.0	300	Plasma SiO2 Nate 220902	
	16.3	 0.0	 0.0	300	Plasma SiO2 Nate 220902	
	19.3	 0.0	 0.0	300	Plasma SiO2 Nate 220902	
	22.3	 0.0	 0.0	300	Plasma SiO2 Nate 220902	
	25.3	 0.0	 0.0	300	Plasma SiO2 Nate 220902	
	28.3	 0.0	 0.0	300	Plasma SiO2 Nate 220902	
	31.3	315.0	24.0	300	Plasma SiO2 Nate 220902	
	34.3	300.0	 2.0	300	Plasma SiO2 Nate 220902	
	37.3	300.0	 3.0	300	Plasma SiO2 Nate 220902	
	40.3	300.0	 3.0	300	Plasma SiO2 Nate 220902	
	43.3	 0.0	 0.0	300	Plasma SiO2 Nate 220902	
	46.3	 0.0	 0.0	299	Plasma SiO2 Nate 220902	
	49.3	 0.0	 0.0	299	Plasma SiO2 Nate 220902	
	52.3	 0.0	 0.0	299	Plasma SiO2 Nate 220902	
	55.3	300.0	 0.0	299	Plasma SiO2 Nate 220902	
	58.3	300.0	 0.0	299	Plasma SiO2 Nate 220902	
	61.3	300.0	 0.0	299	Plasma SiO2 Nate 220902	
	64.3	 0.0	 0.0	299	Plasma SiO2 Nate 220902	
	67.3	 0.0	 0.0	299	Plasma SiO2 Nate 220902	
	70.3	 0.0	 0.0	298	Plasma SiO2 Nate 220902	
	73.3	 0.0	 0.0	298	Plasma SiO2 Nate 220902	
	76.3	 0.0	 0.0	298	Plasma SiO2 Nate 220902	
	79.3	300.0	 0.0	298	Plasma SiO2 Nate 220902	
	82.3	300.0	 0.0	298	Plasma SiO2 Nate 220902	
	85.3	300.0	 0.0	298	Plasma SiO2 Nate 220902	
	88.3	 0.0	 0.0	298	Plasma SiO2 Nate 220902	
	91.3	 0.0	 0.0	298	Plasma SiO2 Nate 220902	
	94.3	 0.0	 0.0	297	Plasma SiO2 Nate 220902	
	97.3	 0.0	 0.0	297	Plasma SiO2 Nate 220902	
	100.3	 0.0	 0.0	297	Plasma SiO2 Nate 220902	
	103.3	300.0	 0.0	297	Plasma SiO2 Nate 220902	
	106.3	300.0	 0.0	297	Plasma SiO2 Nate 220902	
	109.3	300.0	 0.0	297	Plasma SiO2 Nate 220902	
	112.3	 0.0	 0.0	297	Plasma SiO2 Nate 220902	
	115.3	 0.0	 0.0	297	Plasma SiO2 Nate 220902	
	118.3	 0.0	 0.0	296	Plasma SiO2 Nate 220902	
	121.3	 0.0	 0.0	296	Plasma SiO2 Nate 220902	
	124.3	300.0	40.0	296	Plasma SiO2 Nate 220902	
	127.3	300.0	 3.0	296	Plasma SiO2 Nate 220902	
	130.3	300.0	 3.0	296	Plasma SiO2 Nate 220902	
	133.3	300.0	 3.0	296	Plasma SiO2 Nate 220902	
	136.3	 0.0	 0.0	296	Plasma SiO2 Nate 220902	
	139.3	 0.0	 0.0	295	Plasma SiO2 Nate 220902	
	142.3	 0.0	 0.0	295	Plasma SiO2 Nate 220902	
	145.3	 0.0	 0.0	295	Plasma SiO2 Nate 220902	
	148.3	300.0	 5.0	295	Plasma SiO2 Nate 220902	
	151.3	300.0	 0.0	295	Plasma SiO2 Nate 220902	
	154.3	300.0	 0.0	295	Plasma SiO2 Nate 220902	
	157.3	300.0	 0.0	295	Plasma SiO2 Nate 220902	
	160.3	 0.0	 0.0	295	Plasma SiO2 Nate 220902	
	163.3	 0.0	 0.0	294	Plasma SiO2 Nate 220902	
	166.3	 0.0	 0.0	294	Plasma SiO2 Nate 220902	
	169.3	 0.0	 0.0	294	Plasma SiO2 Nate 220902	
	172.3	300.0	 0.0	294	Plasma SiO2 Nate 220902	
	175.3	300.0	 0.0	294	Plasma SiO2 Nate 220902	
	178.3	300.0	 0.0	294	Plasma SiO2 Nate 220902	
	181.3	 0.0	 0.0	294	Plasma SiO2 Nate 220902	
	184.3	 0.0	 0.0	294	Plasma SiO2 Nate 220902	
	187.3	 0.0	 0.0	293	Plasma SiO2 Nate 220902	
	190.3	 0.0	 0.0	293	Plasma SiO2 Nate 220902	
	193.3	 0.0	 0.0	293	Plasma SiO2 Nate 220902	
	196.3	300.0	 0.0	293	Plasma SiO2 Nate 220902	
	199.3	300.0	 0.0	293	Plasma SiO2 Nate 220902	
	202.3	300.0	 0.0	293	Plasma SiO2 Nate 220902	
	205.3	 0.0	 0.0	293	Plasma SiO2 Nate 220902	
	208.3	 0.0	 0.0	293	Plasma SiO2 Nate 220902	
	211.3	 0.0	 0.0	292	Plasma SiO2 Nate 220902	
	214.3	 0.0	 0.0	292	Plasma SiO2 Nate 220902	
	217.3	 0.0	 0.0	292	Plasma SiO2 Nate 220902	
	220.3	300.0	 3.0	292	Plasma SiO2 Nate 220902	
	223.3	300.0	 3.0	292	Plasma SiO2 Nate 220902	
	226.3	300.0	 3.0	292	Plasma SiO2 Nate 220902	
	229.3	 0.0	 0.0	292	Plasma SiO2 Nate 220902	
	232.3	 0.0	 0.0	292	Plasma SiO2 Nate 220902	
	235.3	 0.0	 0.0	291	Plasma SiO2 Nate 220902	
	238.3	 0.0	 0.0	291	Plasma SiO2 Nate 220902	
	241.3	290.0	26.0	291	Plasma SiO2 Nate 220902	
	244.3	300.0	 0.0	291	Plasma SiO2 Nate 220902	
	247.3	300.0	 0.0	291	Plasma SiO2 Nate 220902	
	250.3	300.0	 0.0	291	Plasma SiO2 Nate 220902	
	253.3	 0.0	 0.0	291	Plasma SiO2 Nate 220902	
	256.3	 0.0	 0.0	290	Plasma SiO2 Nate 220902	
	259.3	 0.0	 0.0	290	Plasma SiO2 Nate 220902	
	262.3	 0.0	 0.0	290	Plasma SiO2 Nate 220902	
	265.3	300.0	 0.0	290	Plasma SiO2 Nate 220902	
	268.3	300.0	 0.0	290	Plasma SiO2 Nate 220902	
	271.3	300.0	 0.0	290	Plasma SiO2 Nate 220902	
	274.3	300.0	 0.0	290	Plasma SiO2 Nate 220902	
	277.3	 0.0	 0.0	290	Plasma SiO2 Nate 220902	
	280.3	 0.0	 0.0	289	Plasma SiO2 Nate 220902	
	283.3	 0.0	 0.0	289	Plasma SiO2 Nate 220902	
	286.3	 0.0	 0.0	289	Plasma SiO2 Nate 220902	
	289.3	300.0	 7.0	289	Plasma SiO2 Nate 220902	
	292.3	300.0	 3.0	289	Plasma SiO2 Nate 220902	
	295.3	300.0	 3.0	289	Plasma SiO2 Nate 220902	
	298.3	 0.0	 0.0	289	Plasma SiO2 Nate 220902	
