	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	 4.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	 7.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	10.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	13.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	16.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	19.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	22.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	25.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	28.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	31.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	34.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	37.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	40.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	43.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	46.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	49.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	52.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	55.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	58.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	61.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	64.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	67.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	70.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	73.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	76.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	79.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	82.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	85.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	88.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	91.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	94.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	97.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	100.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	103.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	106.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	109.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	112.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	115.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	118.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	121.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	124.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	127.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	130.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	133.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	136.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	139.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	142.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	145.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	148.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	151.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
	154.1	 0.0	 0.0	40	Plasma_HfO2 120C plasmafirst	
