	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	 4.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	 7.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	10.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	13.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	16.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	19.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	22.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	25.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	28.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	31.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	34.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	37.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	40.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	43.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	46.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	49.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	52.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	55.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	58.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	61.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	64.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	67.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	70.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	73.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	76.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	79.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	82.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	85.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	88.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	91.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	94.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	97.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	100.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	103.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	106.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	109.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	112.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	115.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	118.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	121.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	124.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	127.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	130.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	133.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	136.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	139.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	142.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	145.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	148.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	151.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	154.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	157.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	160.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	163.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	166.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	169.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	172.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	175.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	178.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	181.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	184.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	187.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	190.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	193.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	196.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	199.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	202.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	205.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	208.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	211.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	214.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	217.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	220.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	223.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	226.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	229.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	232.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	235.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	238.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	241.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
	244.5	 0.0	 0.0	200	Thermal TiO2 STANDARD	
