	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	 3.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	 6.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	 9.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	12.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	15.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	18.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	21.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	24.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	27.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	30.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	33.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	36.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	39.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	42.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	45.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	48.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	51.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	54.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	57.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	60.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	63.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	66.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	69.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	72.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	75.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	78.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	81.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	84.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	87.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	90.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	93.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	96.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	99.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	102.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	105.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	108.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	111.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	114.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	117.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	120.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	123.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	126.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	129.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	132.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	135.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	138.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	141.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	144.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	147.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	150.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	153.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	156.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	159.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	162.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	165.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	168.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	171.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	174.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	177.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	180.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	183.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	186.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	189.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	192.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	195.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	198.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	201.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	204.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	207.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	210.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	213.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	216.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	219.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	222.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	225.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	228.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	231.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	234.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	237.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	240.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	243.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	246.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	249.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	252.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	255.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	258.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	261.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	264.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	267.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	270.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	273.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	276.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	279.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	282.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	285.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	288.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	291.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	294.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	297.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	300.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
	303.2	 0.0	 0.0	400	Plasma Pt on 50c Al2O3 270C	
