	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	 4.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	 7.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	10.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	13.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	16.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	19.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	22.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	25.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	28.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	31.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	34.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	37.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	40.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	43.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	46.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	49.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	52.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	55.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	58.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	61.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	64.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	67.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	70.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	73.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	76.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	79.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	82.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	85.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	88.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	91.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	94.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	97.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	100.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	103.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	106.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	109.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	112.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	115.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	118.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	121.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	124.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	127.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	130.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	133.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	136.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	139.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	142.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	145.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	148.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	151.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	154.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	157.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	160.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	163.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	166.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	169.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	172.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	175.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	178.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	181.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	184.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	187.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	190.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	193.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	196.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	199.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	202.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	205.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	208.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	211.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	214.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	217.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	220.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	223.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	226.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	229.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	232.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	235.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	238.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	241.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	244.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	247.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	250.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	253.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	256.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	259.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	262.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	265.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	268.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	271.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	274.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	277.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	280.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	283.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	286.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	289.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	292.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	295.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	298.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	301.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	304.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	307.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	310.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	313.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	316.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	319.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	322.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	325.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	328.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	331.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	334.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	337.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	340.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	343.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	346.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	349.4	 0.0	 0.0	100	Thermal_Al2O3 90C_Shengman.txt	
	352.4	 0.0	 0.0	99	Thermal_Al2O3 90C_Shengman.txt	
	355.4	 0.0	 0.0	99	Thermal_Al2O3 90C_Shengman.txt	
	358.4	 0.0	 0.0	99	Thermal_Al2O3 90C_Shengman.txt	
	361.4	 0.0	 0.0	99	Thermal_Al2O3 90C_Shengman.txt	
	364.4	 0.0	 0.0	99	Thermal_Al2O3 90C_Shengman.txt	
	367.4	 0.0	 0.0	99	Thermal_Al2O3 90C_Shengman.txt	
	370.4	 0.0	 0.0	99	Thermal_Al2O3 90C_Shengman.txt	
