	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	 4.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	 7.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	10.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	13.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	16.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	19.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	22.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	25.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	28.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	31.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	34.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	37.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	40.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	43.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	46.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	49.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	52.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	55.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	58.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	61.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	64.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	67.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	70.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	73.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	76.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	79.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	82.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	85.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	88.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	91.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	94.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	97.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	100.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	103.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	106.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
	109.9	 0.0	 0.0	100	Thermal_HfO2 90C_Shengman	
