	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.2	 0.0	 0.0	200	Cancelled Saving	
	 4.2	 0.0	 0.0	200	Cancelled Saving	
	 7.2	 0.0	 0.0	200	Cancelled Saving	
	10.2	 0.0	 0.0	200	Cancelled Saving	
	13.2	 0.0	 0.0	200	Cancelled Saving	
	16.2	 0.0	 0.0	200	Cancelled Saving	
	19.2	 0.0	 0.0	200	Cancelled Saving	
	22.2	 0.0	 0.0	200	Cancelled Saving	
	25.2	 0.0	 0.0	200	Cancelled Saving	
	28.2	 0.0	 0.0	200	Cancelled Saving	
	31.2	 0.0	 0.0	200	Cancelled Saving	
	34.2	 0.0	 0.0	200	Cancelled Saving	
	37.2	 0.0	 0.0	200	Cancelled Saving	
	40.2	 0.0	 0.0	200	Cancelled Saving	
	43.2	 0.0	 0.0	200	Cancelled Saving	
	46.2	 0.0	 0.0	200	Cancelled Saving	
	49.2	 0.0	 0.0	200	Cancelled Saving	
	52.2	 0.0	 0.0	200	Cancelled Saving	
	55.2	 0.0	 0.0	200	Cancelled Saving	
	58.2	 0.0	 0.0	200	Cancelled Saving	
	61.2	 0.0	 0.0	200	Cancelled Saving	
	64.2	 0.0	 0.0	200	Cancelled Saving	
	67.2	 0.0	 0.0	200	Cancelled Saving	
	70.2	 0.0	 0.0	200	Cancelled Saving	
	73.2	 0.0	 0.0	200	Cancelled Saving	
	76.2	 0.0	 0.0	200	Cancelled Saving	
	79.2	 0.0	 0.0	200	Cancelled Saving	
	82.2	 0.0	 0.0	200	Cancelled Saving	
	85.2	 0.0	 0.0	200	Cancelled Saving	
	88.2	 0.0	 0.0	200	Cancelled Saving	
	91.2	 0.0	 0.0	200	Cancelled Saving	
	94.2	 0.0	 0.0	200	Cancelled Saving	
	97.2	 0.0	 0.0	200	Cancelled Saving	
	100.2	 0.0	 0.0	200	Cancelled Saving	
	103.2	 0.0	 0.0	200	Cancelled Saving	
	106.2	 0.0	 0.0	200	Cancelled Saving	
	109.2	 0.0	 0.0	200	Cancelled Saving	
	112.2	 0.0	 0.0	200	Cancelled Saving	
	115.2	 0.0	 0.0	200	Cancelled Saving	
	118.2	 0.0	 0.0	200	Cancelled Saving	
	121.2	 0.0	 0.0	200	Cancelled Saving	
	124.2	 0.0	 0.0	200	Cancelled Saving	
	127.2	 0.0	 0.0	200	Cancelled Saving	
	130.2	 0.0	 0.0	200	Cancelled Saving	
	133.2	 0.0	 0.0	200	Cancelled Saving	
	136.2	 0.0	 0.0	200	Cancelled Saving	
	139.2	 0.0	 0.0	200	Cancelled Saving	
	142.2	 0.0	 0.0	200	Cancelled Saving	
	145.2	 0.0	 0.0	200	Cancelled Saving	
	148.2	 0.0	 0.0	200	Cancelled Saving	
	151.2	 0.0	 0.0	200	Cancelled Saving	
	154.2	 0.0	 0.0	200	Cancelled Saving	
	157.2	 0.0	 0.0	200	Cancelled Saving	
	160.2	 0.0	 0.0	200	Cancelled Saving	
	163.2	 0.0	 0.0	200	Cancelled Saving	
	166.2	 0.0	 0.0	200	Cancelled Saving	
	169.2	 0.0	 0.0	200	Cancelled Saving	
	172.2	 0.0	 0.0	200	Cancelled Saving	
	175.2	 0.0	 0.0	200	Cancelled Saving	
	178.2	 0.0	 0.0	200	Cancelled Saving	
	181.2	 0.0	 0.0	200	Cancelled Saving	
	184.2	 0.0	 0.0	200	Cancelled Saving	
	187.2	 0.0	 0.0	200	Cancelled Saving	
	190.2	 0.0	 0.0	200	Cancelled Saving	
	193.2	 0.0	 0.0	200	Cancelled Saving	
	196.2	 0.0	 0.0	200	Cancelled Saving	
	199.2	 0.0	 0.0	200	Cancelled Saving	
	202.2	 0.0	 0.0	200	Cancelled Saving	
	205.2	 0.0	 0.0	200	Cancelled Saving	
	208.2	 0.0	 0.0	200	Cancelled Saving	
	211.2	 0.0	 0.0	200	Cancelled Saving	
	214.2	 0.0	 0.0	200	Cancelled Saving	
	217.2	 0.0	 0.0	200	Cancelled Saving	
	220.2	 0.0	 0.0	200	Cancelled Saving	
	223.2	 0.0	 0.0	200	Cancelled Saving	
