	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	 4.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	 7.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	10.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	13.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	16.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	19.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	22.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	25.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	28.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	31.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	34.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	37.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	40.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	43.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	46.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	49.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	52.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	55.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	58.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	61.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	64.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	67.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	70.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	73.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	76.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	79.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	82.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
	85.3	 0.0	 0.0	40	Thermal_HfO2 200C_Shengman.txt	
