	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.5	 0.0	 0.0	0	Ar Plasma	
	 3.5	 0.0	 0.0	0	Ar Plasma	
	 6.5	 0.0	 0.0	0	Ar Plasma	
	 9.5	 0.0	 0.0	0	Ar Plasma	
	12.5	 0.0	 0.0	0	Ar Plasma	
	15.5	 0.0	 0.0	0	Ar Plasma	
	18.5	 0.0	 0.0	0	Ar Plasma	
	21.5	 0.0	 0.0	0	Ar Plasma	
	24.5	300.0	 1.0	0	Ar Plasma	
	27.5	300.0	 1.0	0	Ar Plasma	
	30.5	300.0	 1.0	0	Ar Plasma	
	33.5	300.0	 1.0	0	Ar Plasma	
	36.5	300.0	 1.0	0	Ar Plasma	
	39.5	300.0	 1.0	0	Ar Plasma	
	42.5	300.0	 1.0	0	Ar Plasma	
	45.5	300.0	 1.0	0	Ar Plasma	
	48.5	300.0	 1.0	0	Ar Plasma	
	51.5	300.0	 1.0	0	Ar Plasma	
	54.5	300.0	 1.0	0	Ar Plasma	
	57.5	300.0	 1.0	0	Ar Plasma	
	60.5	300.0	 1.0	0	Ar Plasma	
	63.5	300.0	 1.0	0	Ar Plasma	
	66.5	300.0	 1.0	0	Ar Plasma	
	69.5	300.0	 1.0	0	Ar Plasma	
	72.5	300.0	 1.0	0	Ar Plasma	
	75.5	300.0	 1.0	0	Ar Plasma	
	78.5	300.0	 1.0	0	Ar Plasma	
	81.5	300.0	 1.0	0	Ar Plasma	
	84.5	300.0	 1.0	0	Ar Plasma	
	87.5	300.0	 1.0	0	Ar Plasma	
	90.5	300.0	 1.0	0	Ar Plasma	
	93.5	300.0	 1.0	0	Ar Plasma	
	96.5	300.0	 1.0	0	Ar Plasma	
	99.5	300.0	 1.0	0	Ar Plasma	
	102.5	300.0	 1.0	0	Ar Plasma	
	105.5	300.0	 1.0	0	Ar Plasma	
	108.5	300.0	 1.0	0	Ar Plasma	
	111.5	300.0	 1.0	0	Ar Plasma	
	114.5	300.0	 1.0	0	Ar Plasma	
	117.5	300.0	 1.0	0	Ar Plasma	
	120.5	300.0	 1.0	0	Ar Plasma	
	123.5	300.0	 1.0	0	Ar Plasma	
	126.5	300.0	 1.0	0	Ar Plasma	
	129.5	300.0	 1.0	0	Ar Plasma	
	132.5	300.0	 1.0	0	Ar Plasma	
	135.5	300.0	 1.0	0	Ar Plasma	
	138.5	300.0	 1.0	0	Ar Plasma	
	141.5	300.0	 1.0	0	Ar Plasma	
