	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	 3.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	 6.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	 9.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	12.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	15.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	18.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	21.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	24.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	27.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	30.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	33.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	36.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	39.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	42.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	45.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	48.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	51.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	54.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	57.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	60.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	63.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	66.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	69.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	72.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	75.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	78.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	81.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	84.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	87.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	90.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	93.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	96.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	99.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	102.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	105.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	108.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	111.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	114.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	117.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	120.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	123.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	126.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	129.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	132.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	135.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	138.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	141.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	144.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	147.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	150.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	153.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	156.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	159.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	162.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	165.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	168.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	171.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	174.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	177.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	180.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	183.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	186.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	189.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	192.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	195.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	198.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	201.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	204.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	207.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	210.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	213.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	216.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	219.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	222.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	225.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	228.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	231.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	234.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	237.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	240.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	243.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	246.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	249.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	252.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	255.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	258.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	261.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	264.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	267.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	270.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	273.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	276.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	279.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	282.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	285.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	288.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	291.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
	294.3	 0.0	 0.0	300	Plasma Al2O3 200C without TMA	
