	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	10986.1	 0.0	 0.0	200	Thermal In2O3	
	 2.9	 0.0	 0.0	200	Thermal In2O3	
	 5.9	 0.0	 0.0	200	Thermal In2O3	
	 8.9	 0.0	 0.0	200	Thermal In2O3	
	11.9	 0.0	 0.0	200	Thermal In2O3	
	14.9	 0.0	 0.0	200	Thermal In2O3	
	17.9	 0.0	 0.0	200	Thermal In2O3	
	20.9	 0.0	 0.0	200	Thermal In2O3	
	23.9	 0.0	 0.0	200	Thermal In2O3	
	26.9	 0.0	 0.0	200	Thermal In2O3	
	29.9	 0.0	 0.0	200	Thermal In2O3	
	32.9	 0.0	 0.0	200	Thermal In2O3	
	35.9	 0.0	 0.0	200	Thermal In2O3	
	38.9	 0.0	 0.0	200	Thermal In2O3	
	41.9	 0.0	 0.0	200	Thermal In2O3	
	44.9	 0.0	 0.0	200	Thermal In2O3	
	47.9	 0.0	 0.0	200	Thermal In2O3	
	50.9	 0.0	 0.0	200	Thermal In2O3	
	53.9	 0.0	 0.0	200	Thermal In2O3	
	56.9	 0.0	 0.0	200	Thermal In2O3	
	59.9	 0.0	 0.0	200	Thermal In2O3	
	62.9	 0.0	 0.0	200	Thermal In2O3	
	65.9	 0.0	 0.0	200	Thermal In2O3	
	68.9	 0.0	 0.0	200	Thermal In2O3	
	71.9	 0.0	 0.0	200	Thermal In2O3	
	74.9	 0.0	 0.0	200	Thermal In2O3	
	77.9	 0.0	 0.0	200	Thermal In2O3	
	80.9	 0.0	 0.0	200	Thermal In2O3	
	83.9	 0.0	 0.0	200	Thermal In2O3	
	86.9	 0.0	 0.0	200	Thermal In2O3	
	89.9	 0.0	 0.0	200	Thermal In2O3	
	92.9	 0.0	 0.0	200	Thermal In2O3	
	95.9	 0.0	 0.0	200	Thermal In2O3	
	98.9	 0.0	 0.0	200	Thermal In2O3	
	101.9	 0.0	 0.0	200	Thermal In2O3	
	104.9	 0.0	 0.0	200	Thermal In2O3	
	107.9	 0.0	 0.0	200	Thermal In2O3	
	110.9	 0.0	 0.0	200	Thermal In2O3	
	113.9	 0.0	 0.0	200	Thermal In2O3	
	116.9	 0.0	 0.0	200	Thermal In2O3	
	119.9	 0.0	 0.0	200	Thermal In2O3	
	122.9	 0.0	 0.0	200	Thermal In2O3	
	125.9	 0.0	 0.0	200	Thermal In2O3	
	128.9	 0.0	 0.0	200	Thermal In2O3	
	131.9	 0.0	 0.0	200	Thermal In2O3	
	134.9	 0.0	 0.0	200	Thermal In2O3	
	137.9	 0.0	 0.0	200	Thermal In2O3	
	140.9	 0.0	 0.0	200	Thermal In2O3	
	143.9	 0.0	 0.0	200	Thermal In2O3	
	146.9	 0.0	 0.0	200	Thermal In2O3	
	149.9	 0.0	 0.0	200	Thermal In2O3	
	152.9	 0.0	 0.0	200	Thermal In2O3	
	155.9	 0.0	 0.0	200	Thermal In2O3	
	158.9	 0.0	 0.0	200	Thermal In2O3	
	161.9	 0.0	 0.0	200	Thermal In2O3	
	164.9	 0.0	 0.0	200	Thermal In2O3	
	167.9	 0.0	 0.0	200	Thermal In2O3	
	170.9	 0.0	 0.0	200	Thermal In2O3	
