	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	 3.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	 6.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	 9.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	12.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	15.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	18.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	21.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	24.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	27.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	30.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	33.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	36.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	39.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	42.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	45.3	256.0	50.0	100	Plasma WOx STANDARD	
	48.3	238.0	50.0	100	Plasma WOx STANDARD	
	51.3	300.0	 3.0	100	Plasma WOx STANDARD	
	54.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	57.3	 0.0	 0.0	100	Plasma WOx STANDARD	
	60.3	 0.0	 0.0	99	Plasma WOx STANDARD	
	63.3	 0.0	 0.0	99	Plasma WOx STANDARD	
	66.3	 0.0	 0.0	99	Plasma WOx STANDARD	
	69.3	 0.0	 0.0	99	Plasma WOx STANDARD	
	72.3	320.0	 6.0	99	Plasma WOx STANDARD	
	75.3	300.0	 2.0	99	Plasma WOx STANDARD	
	78.3	300.0	 2.0	99	Plasma WOx STANDARD	
	81.3	 0.0	 0.0	99	Plasma WOx STANDARD	
	84.3	 0.0	 0.0	99	Plasma WOx STANDARD	
	87.3	 0.0	 0.0	98	Plasma WOx STANDARD	
	90.3	 0.0	 0.0	98	Plasma WOx STANDARD	
	93.3	 0.0	 0.0	98	Plasma WOx STANDARD	
	96.3	 0.0	 0.0	98	Plasma WOx STANDARD	
	99.3	300.0	 7.0	98	Plasma WOx STANDARD	
	102.3	300.0	 2.0	98	Plasma WOx STANDARD	
	105.3	300.0	 2.0	98	Plasma WOx STANDARD	
	108.3	 0.0	 0.0	98	Plasma WOx STANDARD	
	111.3	 0.0	 0.0	98	Plasma WOx STANDARD	
	114.3	 0.0	 0.0	97	Plasma WOx STANDARD	
	117.3	 0.0	 0.0	97	Plasma WOx STANDARD	
	120.3	 0.0	 0.0	97	Plasma WOx STANDARD	
	123.3	 0.0	 0.0	97	Plasma WOx STANDARD	
	126.3	300.0	 3.0	97	Plasma WOx STANDARD	
	129.3	300.0	 2.0	97	Plasma WOx STANDARD	
	132.3	300.0	 2.0	97	Plasma WOx STANDARD	
	135.3	 0.0	 0.0	97	Plasma WOx STANDARD	
	138.3	 0.0	 0.0	97	Plasma WOx STANDARD	
	141.3	 0.0	 0.0	96	Plasma WOx STANDARD	
	144.3	 0.0	 0.0	96	Plasma WOx STANDARD	
	147.3	 0.0	 0.0	96	Plasma WOx STANDARD	
	150.3	 0.0	 0.0	96	Plasma WOx STANDARD	
	153.3	300.0	 0.0	96	Plasma WOx STANDARD	
	156.3	300.0	 0.0	96	Plasma WOx STANDARD	
	159.3	300.0	 0.0	96	Plasma WOx STANDARD	
	162.3	 0.0	 0.0	96	Plasma WOx STANDARD	
	165.3	 0.0	 0.0	96	Plasma WOx STANDARD	
	168.3	 0.0	 0.0	95	Plasma WOx STANDARD	
	171.3	 0.0	 0.0	95	Plasma WOx STANDARD	
	174.3	 0.0	 0.0	95	Plasma WOx STANDARD	
	177.3	 0.0	 0.0	95	Plasma WOx STANDARD	
	180.3	300.0	 2.0	95	Plasma WOx STANDARD	
	183.3	300.0	 2.0	95	Plasma WOx STANDARD	
	186.3	300.0	 2.0	95	Plasma WOx STANDARD	
	189.3	 0.0	 0.0	95	Plasma WOx STANDARD	
	192.3	 0.0	 0.0	95	Plasma WOx STANDARD	
	195.3	 0.0	 0.0	94	Plasma WOx STANDARD	
	198.3	 0.0	 0.0	94	Plasma WOx STANDARD	
	201.3	 0.0	 0.0	94	Plasma WOx STANDARD	
	204.3	 0.0	 0.0	94	Plasma WOx STANDARD	
	207.3	300.0	 2.0	94	Plasma WOx STANDARD	
	210.3	300.0	 2.0	94	Plasma WOx STANDARD	
	213.3	300.0	 2.0	94	Plasma WOx STANDARD	
	216.3	 0.0	 0.0	94	Plasma WOx STANDARD	
	219.3	 0.0	 0.0	94	Plasma WOx STANDARD	
	222.3	 0.0	 0.0	93	Plasma WOx STANDARD	
	225.3	 0.0	 0.0	93	Plasma WOx STANDARD	
	228.3	 0.0	 0.0	93	Plasma WOx STANDARD	
	231.3	 0.0	 0.0	93	Plasma WOx STANDARD	
	234.3	300.0	 2.0	93	Plasma WOx STANDARD	
	237.3	300.0	 2.0	93	Plasma WOx STANDARD	
	240.3	300.0	 2.0	93	Plasma WOx STANDARD	
	243.3	 0.0	 0.0	93	Plasma WOx STANDARD	
	246.3	 0.0	 0.0	93	Plasma WOx STANDARD	
	249.3	 0.0	 0.0	92	Plasma WOx STANDARD	
	252.3	 0.0	 0.0	92	Plasma WOx STANDARD	
	255.3	 0.0	 0.0	92	Plasma WOx STANDARD	
	258.3	 0.0	 0.0	92	Plasma WOx STANDARD	
	261.3	300.0	 4.0	92	Plasma WOx STANDARD	
	264.3	300.0	 2.0	92	Plasma WOx STANDARD	
	267.3	300.0	 2.0	92	Plasma WOx STANDARD	
	270.3	 0.0	 0.0	92	Plasma WOx STANDARD	
	273.3	 0.0	 0.0	92	Plasma WOx STANDARD	
	276.3	 0.0	 0.0	91	Plasma WOx STANDARD	
	279.3	 0.0	 0.0	91	Plasma WOx STANDARD	
	282.3	 0.0	 0.0	91	Plasma WOx STANDARD	
	285.3	88.0	50.0	91	Plasma WOx STANDARD	
	288.3	300.0	 1.0	91	Plasma WOx STANDARD	
	291.3	300.0	 1.0	91	Plasma WOx STANDARD	
	294.3	300.0	 3.0	91	Plasma WOx STANDARD	
	297.3	 0.0	 0.0	91	Plasma WOx STANDARD	
	300.3	 0.0	 0.0	90	Plasma WOx STANDARD	
	303.3	 0.0	 0.0	90	Plasma WOx STANDARD	
	306.3	 0.0	 0.0	90	Plasma WOx STANDARD	
	309.3	 0.0	 0.0	90	Plasma WOx STANDARD	
	312.3	97.0	16.0	90	Plasma WOx STANDARD	
	315.3	300.0	 0.0	90	Plasma WOx STANDARD	
	318.3	300.0	 0.0	90	Plasma WOx STANDARD	
	321.3	300.0	 0.0	90	Plasma WOx STANDARD	
	324.3	 0.0	 0.0	90	Plasma WOx STANDARD	
	327.3	 0.0	 0.0	89	Plasma WOx STANDARD	
	330.3	 0.0	 0.0	89	Plasma WOx STANDARD	
	333.3	 0.0	 0.0	89	Plasma WOx STANDARD	
	336.3	 0.0	 0.0	89	Plasma WOx STANDARD	
	339.3	157.0	16.0	89	Plasma WOx STANDARD	
	342.3	300.0	 0.0	89	Plasma WOx STANDARD	
	345.3	300.0	 0.0	89	Plasma WOx STANDARD	
	348.3	300.0	 0.0	89	Plasma WOx STANDARD	
	351.3	 0.0	 0.0	89	Plasma WOx STANDARD	
	354.3	 0.0	 0.0	88	Plasma WOx STANDARD	
	357.3	 0.0	 0.0	88	Plasma WOx STANDARD	
	360.3	 0.0	 0.0	88	Plasma WOx STANDARD	
	363.3	 0.0	 0.0	88	Plasma WOx STANDARD	
	366.3	225.0	50.0	88	Plasma WOx STANDARD	
	369.3	300.0	 2.0	88	Plasma WOx STANDARD	
	372.3	300.0	 2.0	88	Plasma WOx STANDARD	
	375.3	300.0	 2.0	88	Plasma WOx STANDARD	
	378.3	 0.0	 0.0	88	Plasma WOx STANDARD	
	381.3	 0.0	 0.0	87	Plasma WOx STANDARD	
	384.3	 0.0	 0.0	87	Plasma WOx STANDARD	
	387.3	 0.0	 0.0	87	Plasma WOx STANDARD	
	390.3	 0.0	 0.0	87	Plasma WOx STANDARD	
