	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.7	 0.0	 0.0	320	Plasma IWO	
	 5.7	 0.0	 0.0	320	Plasma IWO	
	 8.7	 0.0	 0.0	320	Plasma IWO	
	11.7	 0.0	 0.0	320	Plasma IWO	
	14.7	 0.0	 0.0	320	Plasma IWO	
	17.7	 0.0	 0.0	320	Plasma IWO	
	20.7	 0.0	 0.0	320	Plasma IWO	
	23.7	 0.0	 0.0	320	Plasma IWO	
	26.7	 0.0	 0.0	320	Plasma IWO	
	29.7	 0.0	 0.0	320	Plasma IWO	
	32.7	 0.0	 0.0	320	Plasma IWO	
	35.7	 0.0	 0.0	320	Plasma IWO	
	38.7	 0.0	 0.0	320	Plasma IWO	
	41.7	 0.0	 0.0	320	Plasma IWO	
	44.7	 0.0	 0.0	320	Plasma IWO	
	47.7	 0.0	 0.0	320	Plasma IWO	
	50.7	 0.0	 0.0	320	Plasma IWO	
	53.7	 0.0	 0.0	320	Plasma IWO	
	56.7	 0.0	 0.0	320	Plasma IWO	
	59.7	 0.0	 0.0	320	Plasma IWO	
	62.7	 0.0	 0.0	320	Plasma IWO	
	65.7	 0.0	 0.0	320	Plasma IWO	
	68.7	 0.0	 0.0	320	Plasma IWO	
	71.7	 0.0	 0.0	320	Plasma IWO	
	74.7	 0.0	 0.0	320	Plasma IWO	
	77.7	 0.0	 0.0	320	Plasma IWO	
	80.7	 0.0	 0.0	320	Plasma IWO	
	83.7	 0.0	 0.0	320	Plasma IWO	
	86.7	 0.0	 0.0	320	Plasma IWO	
	89.7	 0.0	 0.0	320	Plasma IWO	
	92.7	 0.0	 0.0	320	Plasma IWO	
	95.7	 0.0	 0.0	320	Plasma IWO	
	98.7	 0.0	 0.0	320	Plasma IWO	
	101.7	 0.0	 0.0	320	Plasma IWO	
	104.7	 0.0	 0.0	320	Plasma IWO	
	107.7	 0.0	 0.0	320	Plasma IWO	
	110.7	 0.0	 0.0	320	Plasma IWO	
	113.7	 0.0	 0.0	320	Plasma IWO	
	116.7	 0.0	 0.0	320	Plasma IWO	
	119.7	 0.0	 0.0	320	Plasma IWO	
	122.7	 0.0	 0.0	320	Plasma IWO	
	125.7	 0.0	 0.0	320	Plasma IWO	
	128.7	 0.0	 0.0	320	Plasma IWO	
	131.7	 0.0	 0.0	320	Plasma IWO	
	134.7	 0.0	 0.0	320	Plasma IWO	
	137.7	 0.0	 0.0	320	Plasma IWO	
	140.7	 0.0	 0.0	320	Plasma IWO	
	143.7	 0.0	 0.0	320	Plasma IWO	
	146.7	 0.0	 0.0	320	Plasma IWO	
	149.7	 0.0	 0.0	320	Plasma IWO	
	152.7	 0.0	 0.0	320	Plasma IWO	
	155.7	 0.0	 0.0	320	Plasma IWO	
	158.7	 0.0	 0.0	320	Plasma IWO	
	161.7	 0.0	 0.0	320	Plasma IWO	
	164.7	 0.0	 0.0	320	Plasma IWO	
	167.7	 0.0	 0.0	320	Plasma IWO	
	170.7	 0.0	 0.0	320	Plasma IWO	
	173.7	 0.0	 0.0	320	Plasma IWO	
	176.7	 0.0	 0.0	320	Plasma IWO	
	179.7	 0.0	 0.0	320	Plasma IWO	
	182.7	 0.0	 0.0	320	Plasma IWO	
	185.7	 0.0	 0.0	320	Plasma IWO	
	188.7	 0.0	 0.0	320	Plasma IWO	
	191.7	 0.0	 0.0	320	Plasma IWO	
	194.7	 0.0	 0.0	320	Plasma IWO	
	197.7	 0.0	 0.0	320	Plasma IWO	
	200.7	 0.0	 0.0	320	Plasma IWO	
	203.7	 0.0	 0.0	320	Plasma IWO	
	206.7	 0.0	 0.0	320	Plasma IWO	
	209.7	 0.0	 0.0	320	Plasma IWO	
	212.7	 0.0	 0.0	320	Plasma IWO	
	215.7	 0.0	 0.0	320	Plasma IWO	
	218.7	 0.0	 0.0	320	Plasma IWO	
	221.7	 0.0	 0.0	320	Plasma IWO	
	224.7	 0.0	 0.0	320	Plasma IWO	
	227.7	 0.0	 0.0	320	Plasma IWO	
	230.7	 0.0	 0.0	320	Plasma IWO	
	233.7	 0.0	 0.0	320	Plasma IWO	
	236.7	 0.0	 0.0	320	Plasma IWO	
	239.7	 0.0	 0.0	320	Plasma IWO	
	242.7	 0.0	 0.0	320	Plasma IWO	
	245.7	 0.0	 0.0	320	Plasma IWO	
	248.7	 0.0	 0.0	320	Plasma IWO	
	251.7	 0.0	 0.0	320	Plasma IWO	
	254.7	 0.0	 0.0	320	Plasma IWO	
	257.7	 0.0	 0.0	320	Plasma IWO	
	260.7	 0.0	 0.0	320	Plasma IWO	
	263.7	 0.0	 0.0	320	Plasma IWO	
	266.7	 0.0	 0.0	320	Plasma IWO	
	269.7	 0.0	 0.0	320	Plasma IWO	
	272.7	 0.0	 0.0	320	Plasma IWO	
	275.7	 0.0	 0.0	320	Plasma IWO	
	278.7	 0.0	 0.0	320	Plasma IWO	
	281.7	 0.0	 0.0	320	Plasma IWO	
	284.7	 0.0	 0.0	320	Plasma IWO	
	287.7	 0.0	 0.0	320	Plasma IWO	
