	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.8	 0.0	 0.0	100	Plasma WOx with boost	
	 4.8	 0.0	 0.0	100	Plasma WOx with boost	
	 7.8	 0.0	 0.0	100	Plasma WOx with boost	
	10.8	 0.0	 0.0	100	Plasma WOx with boost	
	13.8	 0.0	 0.0	100	Plasma WOx with boost	
	16.8	 0.0	 0.0	100	Plasma WOx with boost	
	19.8	 0.0	 0.0	100	Plasma WOx with boost	
	22.8	 0.0	 0.0	100	Plasma WOx with boost	
	25.8	 0.0	 0.0	100	Plasma WOx with boost	
	28.8	 0.0	 0.0	100	Plasma WOx with boost	
	31.8	 0.0	 0.0	100	Plasma WOx with boost	
	34.8	 0.0	 0.0	100	Plasma WOx with boost	
	37.8	 0.0	 0.0	100	Plasma WOx with boost	
	40.8	 0.0	 0.0	100	Plasma WOx with boost	
	43.8	 0.0	 0.0	100	Plasma WOx with boost	
	46.8	 0.0	 0.0	100	Plasma WOx with boost	
	49.8	300.0	 1.0	100	Plasma WOx with boost	
	52.8	268.0	50.0	100	Plasma WOx with boost	
	55.8	300.0	 2.0	100	Plasma WOx with boost	
	58.8	 0.0	 0.0	100	Plasma WOx with boost	
	61.8	 0.0	 0.0	100	Plasma WOx with boost	
	64.8	 0.0	 0.0	100	Plasma WOx with boost	
	67.8	 0.0	 0.0	99	Plasma WOx with boost	
	70.8	 0.0	 0.0	99	Plasma WOx with boost	
	73.8	 0.0	 0.0	99	Plasma WOx with boost	
	76.8	 0.0	 0.0	99	Plasma WOx with boost	
	79.8	 0.0	 0.0	99	Plasma WOx with boost	
	82.8	224.0	50.0	99	Plasma WOx with boost	
	85.8	300.0	 2.0	99	Plasma WOx with boost	
	88.8	300.0	 2.0	99	Plasma WOx with boost	
	91.8	300.0	 3.0	99	Plasma WOx with boost	
	94.8	 0.0	 0.0	99	Plasma WOx with boost	
	97.8	 0.0	 0.0	99	Plasma WOx with boost	
	100.8	 0.0	 0.0	99	Plasma WOx with boost	
	103.8	 0.0	 0.0	98	Plasma WOx with boost	
	106.8	 0.0	 0.0	98	Plasma WOx with boost	
	109.8	 0.0	 0.0	98	Plasma WOx with boost	
	112.8	 0.0	 0.0	98	Plasma WOx with boost	
	115.8	 0.0	 0.0	98	Plasma WOx with boost	
	118.8	300.0	 6.0	98	Plasma WOx with boost	
	121.8	300.0	 3.0	98	Plasma WOx with boost	
	124.8	300.0	 3.0	98	Plasma WOx with boost	
	127.8	 0.0	 0.0	98	Plasma WOx with boost	
	130.8	 0.0	 0.0	98	Plasma WOx with boost	
	133.8	 0.0	 0.0	98	Plasma WOx with boost	
	136.8	 0.0	 0.0	97	Plasma WOx with boost	
	139.8	 0.0	 0.0	97	Plasma WOx with boost	
	142.8	 0.0	 0.0	97	Plasma WOx with boost	
	145.8	 0.0	 0.0	97	Plasma WOx with boost	
	148.8	 0.0	 0.0	97	Plasma WOx with boost	
	151.8	113.0	50.0	97	Plasma WOx with boost	
	154.8	300.0	 3.0	97	Plasma WOx with boost	
	157.8	300.0	 3.0	97	Plasma WOx with boost	
	160.8	300.0	 3.0	97	Plasma WOx with boost	
	163.8	 0.0	 0.0	97	Plasma WOx with boost	
	166.8	 0.0	 0.0	97	Plasma WOx with boost	
	169.8	 0.0	 0.0	97	Plasma WOx with boost	
	172.8	 0.0	 0.0	96	Plasma WOx with boost	
	175.8	 0.0	 0.0	96	Plasma WOx with boost	
	178.8	 0.0	 0.0	96	Plasma WOx with boost	
	181.8	 0.0	 0.0	96	Plasma WOx with boost	
	184.8	 0.0	 0.0	96	Plasma WOx with boost	
	187.8	321.0	15.0	96	Plasma WOx with boost	
	190.8	300.0	 3.0	96	Plasma WOx with boost	
	193.8	300.0	 3.0	96	Plasma WOx with boost	
	196.8	 0.0	 0.0	96	Plasma WOx with boost	
	199.8	 0.0	 0.0	96	Plasma WOx with boost	
	202.8	 0.0	 0.0	96	Plasma WOx with boost	
	205.8	 0.0	 0.0	96	Plasma WOx with boost	
	208.8	 0.0	 0.0	95	Plasma WOx with boost	
	211.8	 0.0	 0.0	95	Plasma WOx with boost	
	214.8	 0.0	 0.0	95	Plasma WOx with boost	
	217.8	 0.0	 0.0	95	Plasma WOx with boost	
	220.8	 0.0	 0.0	95	Plasma WOx with boost	
	223.8	300.0	 1.0	95	Plasma WOx with boost	
	226.8	300.0	 1.0	95	Plasma WOx with boost	
	229.8	300.0	 1.0	95	Plasma WOx with boost	
	232.8	 0.0	 0.0	95	Plasma WOx with boost	
	235.8	 0.0	 0.0	95	Plasma WOx with boost	
	238.8	 0.0	 0.0	95	Plasma WOx with boost	
	241.8	 0.0	 0.0	94	Plasma WOx with boost	
	244.8	 0.0	 0.0	94	Plasma WOx with boost	
	247.8	 0.0	 0.0	94	Plasma WOx with boost	
	250.8	 0.0	 0.0	94	Plasma WOx with boost	
	253.8	 0.0	 0.0	94	Plasma WOx with boost	
	256.8	187.0	50.0	94	Plasma WOx with boost	
	259.8	300.0	 2.0	94	Plasma WOx with boost	
	262.8	300.0	 3.0	94	Plasma WOx with boost	
	265.8	300.0	 3.0	94	Plasma WOx with boost	
	268.8	 0.0	 0.0	94	Plasma WOx with boost	
	271.8	 0.0	 0.0	94	Plasma WOx with boost	
	274.8	 0.0	 0.0	94	Plasma WOx with boost	
	277.8	 0.0	 0.0	93	Plasma WOx with boost	
	280.8	 0.0	 0.0	93	Plasma WOx with boost	
	283.8	 0.0	 0.0	93	Plasma WOx with boost	
	286.8	 0.0	 0.0	93	Plasma WOx with boost	
	289.8	 0.0	 0.0	93	Plasma WOx with boost	
	292.8	300.0	 0.0	93	Plasma WOx with boost	
	295.8	300.0	 0.0	93	Plasma WOx with boost	
	298.8	300.0	 0.0	93	Plasma WOx with boost	
	301.8	 0.0	 0.0	93	Plasma WOx with boost	
	304.8	 0.0	 0.0	93	Plasma WOx with boost	
	307.8	 0.0	 0.0	93	Plasma WOx with boost	
	310.8	 0.0	 0.0	93	Plasma WOx with boost	
	313.8	 0.0	 0.0	92	Plasma WOx with boost	
	316.8	 0.0	 0.0	92	Plasma WOx with boost	
	319.8	 0.0	 0.0	92	Plasma WOx with boost	
	322.8	 0.0	 0.0	92	Plasma WOx with boost	
	325.8	 0.0	 0.0	92	Plasma WOx with boost	
	328.8	300.0	 0.0	92	Plasma WOx with boost	
	331.8	300.0	 0.0	92	Plasma WOx with boost	
	334.8	300.0	 0.0	92	Plasma WOx with boost	
	337.8	 0.0	 0.0	92	Plasma WOx with boost	
	340.8	 0.0	 0.0	92	Plasma WOx with boost	
	343.8	 0.0	 0.0	92	Plasma WOx with boost	
	346.8	 0.0	 0.0	91	Plasma WOx with boost	
	349.8	 0.0	 0.0	91	Plasma WOx with boost	
	352.8	 0.0	 0.0	91	Plasma WOx with boost	
	355.8	 0.0	 0.0	91	Plasma WOx with boost	
	358.8	 0.0	 0.0	91	Plasma WOx with boost	
	361.8	300.0	 0.0	91	Plasma WOx with boost	
	364.8	300.0	 0.0	91	Plasma WOx with boost	
	367.8	300.0	 0.0	91	Plasma WOx with boost	
	370.8	300.0	 0.0	91	Plasma WOx with boost	
	373.8	 0.0	 0.0	91	Plasma WOx with boost	
	376.8	 0.0	 0.0	91	Plasma WOx with boost	
	379.8	 0.0	 0.0	91	Plasma WOx with boost	
	382.8	 0.0	 0.0	90	Plasma WOx with boost	
	385.8	 0.0	 0.0	90	Plasma WOx with boost	
	388.8	 0.0	 0.0	90	Plasma WOx with boost	
	391.8	 0.0	 0.0	90	Plasma WOx with boost	
	394.8	 0.0	 0.0	90	Plasma WOx with boost	
	397.8	300.0	 0.0	90	Plasma WOx with boost	
	400.8	300.0	 0.0	90	Plasma WOx with boost	
	403.8	300.0	 0.0	90	Plasma WOx with boost	
	406.8	 0.0	 0.0	90	Plasma WOx with boost	
	409.8	 0.0	 0.0	90	Plasma WOx with boost	
	412.8	 0.0	 0.0	90	Plasma WOx with boost	
	415.8	 0.0	 0.0	89	Plasma WOx with boost	
	418.8	 0.0	 0.0	89	Plasma WOx with boost	
	421.8	 0.0	 0.0	89	Plasma WOx with boost	
	424.8	 0.0	 0.0	89	Plasma WOx with boost	
	427.8	 0.0	 0.0	89	Plasma WOx with boost	
	430.8	134.0	50.0	89	Plasma WOx with boost	
	433.8	300.0	 3.0	89	Plasma WOx with boost	
	436.8	300.0	 3.0	89	Plasma WOx with boost	
	439.8	300.0	 3.0	89	Plasma WOx with boost	
	442.8	 0.0	 0.0	89	Plasma WOx with boost	
	445.8	 0.0	 0.0	89	Plasma WOx with boost	
	448.8	 0.0	 0.0	89	Plasma WOx with boost	
	451.8	 0.0	 0.0	88	Plasma WOx with boost	
	454.8	 0.0	 0.0	88	Plasma WOx with boost	
	457.8	 0.0	 0.0	88	Plasma WOx with boost	
	460.8	 0.0	 0.0	88	Plasma WOx with boost	
	463.8	 0.0	 0.0	88	Plasma WOx with boost	
	466.8	317.0	11.0	88	Plasma WOx with boost	
	469.8	300.0	 3.0	88	Plasma WOx with boost	
	472.8	300.0	 3.0	88	Plasma WOx with boost	
	475.8	 0.0	 0.0	88	Plasma WOx with boost	
	478.8	 0.0	 0.0	88	Plasma WOx with boost	
	481.8	 0.0	 0.0	88	Plasma WOx with boost	
	484.8	 0.0	 0.0	88	Plasma WOx with boost	
	487.8	 0.0	 0.0	87	Plasma WOx with boost	
	490.8	 0.0	 0.0	87	Plasma WOx with boost	
	493.8	 0.0	 0.0	87	Plasma WOx with boost	
	496.8	 0.0	 0.0	87	Plasma WOx with boost	
	499.8	 0.0	 0.0	87	Plasma WOx with boost	
	502.8	300.0	 3.0	87	Plasma WOx with boost	
	505.8	300.0	 3.0	87	Plasma WOx with boost	
	508.8	300.0	 3.0	87	Plasma WOx with boost	
	511.8	 0.0	 0.0	87	Plasma WOx with boost	
	514.8	 0.0	 0.0	87	Plasma WOx with boost	
	517.8	 0.0	 0.0	87	Plasma WOx with boost	
	520.8	 0.0	 0.0	86	Plasma WOx with boost	
	523.8	 0.0	 0.0	86	Plasma WOx with boost	
	526.8	 0.0	 0.0	86	Plasma WOx with boost	
	529.8	 0.0	 0.0	86	Plasma WOx with boost	
	532.8	 0.0	 0.0	86	Plasma WOx with boost	
	535.8	283.0	32.0	86	Plasma WOx with boost	
	538.8	300.0	 3.0	86	Plasma WOx with boost	
	541.8	300.0	 3.0	86	Plasma WOx with boost	
	544.8	300.0	 3.0	86	Plasma WOx with boost	
	547.8	 0.0	 0.0	86	Plasma WOx with boost	
	550.8	 0.0	 0.0	86	Plasma WOx with boost	
	553.8	 0.0	 0.0	86	Plasma WOx with boost	
	556.8	 0.0	 0.0	85	Plasma WOx with boost	
	559.8	 0.0	 0.0	85	Plasma WOx with boost	
	562.8	 0.0	 0.0	85	Plasma WOx with boost	
	565.8	 0.0	 0.0	85	Plasma WOx with boost	
	568.8	 0.0	 0.0	85	Plasma WOx with boost	
	571.8	300.0	 5.0	85	Plasma WOx with boost	
	574.8	300.0	 3.0	85	Plasma WOx with boost	
	577.8	300.0	 3.0	85	Plasma WOx with boost	
	580.8	 0.0	 0.0	85	Plasma WOx with boost	
	583.8	 0.0	 0.0	85	Plasma WOx with boost	
	586.8	 0.0	 0.0	85	Plasma WOx with boost	
	589.8	 0.0	 0.0	84	Plasma WOx with boost	
	592.8	 0.0	 0.0	84	Plasma WOx with boost	
	595.8	 0.0	 0.0	84	Plasma WOx with boost	
	598.8	 0.0	 0.0	84	Plasma WOx with boost	
	601.8	 0.0	 0.0	84	Plasma WOx with boost	
	604.8	124.0	50.0	84	Plasma WOx with boost	
	607.8	300.0	 3.0	84	Plasma WOx with boost	
	610.8	300.0	 3.0	84	Plasma WOx with boost	
	613.8	300.0	 3.0	84	Plasma WOx with boost	
	616.8	 0.0	 0.0	84	Plasma WOx with boost	
	619.8	 0.0	 0.0	84	Plasma WOx with boost	
	622.8	 0.0	 0.0	84	Plasma WOx with boost	
	625.8	 0.0	 0.0	83	Plasma WOx with boost	
