	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	 5.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	 8.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	11.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	14.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	17.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	20.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	23.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	26.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	29.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	32.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	35.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	38.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	41.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	44.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	47.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	50.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	53.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	56.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	59.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	62.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	65.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	68.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	71.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	74.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	77.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	80.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	83.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	86.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	89.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	92.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	95.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	98.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	101.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	104.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	107.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	110.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	113.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	116.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	119.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	122.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	125.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	128.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	131.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	134.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	137.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	140.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	143.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	146.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	149.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	152.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	155.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	158.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	161.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	164.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	167.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	170.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	173.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	176.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	179.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	182.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
	185.7	 0.0	 0.0	100	Thermal in2O3_TMIn	
