	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	 4.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	 7.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	10.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	13.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	16.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	19.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	22.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	25.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	28.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	31.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	34.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	37.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	40.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	43.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	46.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	49.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	52.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	55.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	58.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	61.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	64.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	67.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	70.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	73.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	76.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	79.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	82.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	85.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	88.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	91.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	94.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	97.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	100.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	103.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	106.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	109.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	112.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	115.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	118.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	121.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	124.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	127.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	130.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	133.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	136.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	139.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	142.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	145.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	148.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	151.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	154.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	157.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	160.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	163.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	166.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	169.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	172.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	175.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	178.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	181.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	184.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	187.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	190.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	193.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	196.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	199.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	202.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	205.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	208.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	211.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	214.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	217.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	220.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	223.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	226.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	229.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	232.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	235.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
	238.4	 0.0	 0.0	20	Plasma SiO2 from 3DMAS.txt	
