	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.7	 0.0	 0.0	142	Plasma IWO with boost	
	 5.7	 0.0	 0.0	142	Plasma IWO with boost	
	 8.7	 0.0	 0.0	142	Plasma IWO with boost	
	11.7	 0.0	 0.0	142	Plasma IWO with boost	
	14.7	 0.0	 0.0	142	Plasma IWO with boost	
	17.7	 0.0	 0.0	142	Plasma IWO with boost	
	20.7	 0.0	 0.0	142	Plasma IWO with boost	
	23.7	 0.0	 0.0	142	Plasma IWO with boost	
	26.7	 0.0	 0.0	142	Plasma IWO with boost	
	29.7	 0.0	 0.0	142	Plasma IWO with boost	
	32.7	 0.0	 0.0	142	Plasma IWO with boost	
	35.7	 0.0	 0.0	142	Plasma IWO with boost	
	38.7	 0.0	 0.0	142	Plasma IWO with boost	
	41.7	 0.0	 0.0	142	Plasma IWO with boost	
	44.7	 0.0	 0.0	142	Plasma IWO with boost	
	47.7	 0.0	 0.0	142	Plasma IWO with boost	
	50.7	 0.0	 0.0	142	Plasma IWO with boost	
	53.7	 0.0	 0.0	142	Plasma IWO with boost	
	56.7	 0.0	 0.0	142	Plasma IWO with boost	
	59.7	 0.0	 0.0	142	Plasma IWO with boost	
	62.7	 0.0	 0.0	142	Plasma IWO with boost	
	65.7	 0.0	 0.0	142	Plasma IWO with boost	
	68.7	 0.0	 0.0	142	Plasma IWO with boost	
	71.7	 0.0	 0.0	142	Plasma IWO with boost	
	74.7	 0.0	 0.0	142	Plasma IWO with boost	
	77.7	 0.0	 0.0	142	Plasma IWO with boost	
	80.7	 0.0	 0.0	142	Plasma IWO with boost	
	83.7	 0.0	 0.0	142	Plasma IWO with boost	
	86.7	 0.0	 0.0	142	Plasma IWO with boost	
	89.7	 0.0	 0.0	142	Plasma IWO with boost	
	92.7	 0.0	 0.0	142	Plasma IWO with boost	
	95.7	 0.0	 0.0	142	Plasma IWO with boost	
	98.7	 0.0	 0.0	142	Plasma IWO with boost	
	101.7	 0.0	 0.0	142	Plasma IWO with boost	
	104.7	 0.0	 0.0	142	Plasma IWO with boost	
	107.7	 0.0	 0.0	142	Plasma IWO with boost	
	110.7	 0.0	 0.0	142	Plasma IWO with boost	
	113.7	 0.0	 0.0	142	Plasma IWO with boost	
	116.7	 0.0	 0.0	142	Plasma IWO with boost	
	119.7	 0.0	 0.0	142	Plasma IWO with boost	
	122.7	 0.0	 0.0	142	Plasma IWO with boost	
	125.7	 0.0	 0.0	142	Plasma IWO with boost	
	128.7	 0.0	 0.0	142	Plasma IWO with boost	
