	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	 3.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	 6.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	 9.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	12.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	15.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	18.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	21.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	24.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	27.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	30.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	33.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	36.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	39.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	42.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	45.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	48.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	51.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	54.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	57.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	60.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	63.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	66.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	69.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	72.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	75.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	78.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	81.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	84.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	87.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	90.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	93.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	96.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	99.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	102.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	105.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	108.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	111.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	114.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	117.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	120.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	123.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	126.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	129.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	132.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	135.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	138.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	141.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	144.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	147.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	150.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	153.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	156.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	159.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	162.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	165.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	168.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	171.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	174.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	177.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	180.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	183.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	186.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	189.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	192.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	195.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	198.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	201.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
	204.5	 0.0	 0.0	250	Plasma TiN_300C.txt	
