	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	 3.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	 6.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	 9.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	12.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	15.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	18.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	21.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	24.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	27.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	30.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	33.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	36.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	39.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	42.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	45.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	48.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	51.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	54.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	57.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	60.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	63.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	66.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	69.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	72.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	75.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	78.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	81.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	84.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	87.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	90.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	93.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	96.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	99.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
	102.4	 0.0	 0.0	250	Plasma TiN_Ti7tenths.txt	
