	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.8	 0.0	 0.0	250	Plasma TiN_Ti.7.txt	
	 4.8	 0.0	 0.0	250	Plasma TiN_Ti.7.txt	
	 7.8	 0.0	 0.0	250	Plasma TiN_Ti.7.txt	
	10.8	 0.0	 0.0	250	Plasma TiN_Ti.7.txt	
	13.8	 0.0	 0.0	250	Plasma TiN_Ti.7.txt	
	16.8	 0.0	 0.0	250	Plasma TiN_Ti.7.txt	
	19.8	 0.0	 0.0	250	Plasma TiN_Ti.7.txt	
	22.8	 0.0	 0.0	250	Plasma TiN_Ti.7.txt	
	25.8	 0.0	 0.0	250	Plasma TiN_Ti.7.txt	
	28.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	31.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	34.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	37.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	40.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	43.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	46.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	49.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	52.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	55.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	58.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	61.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	64.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	67.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	70.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	73.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	76.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	79.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	82.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	85.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	88.8	300.0	 0.0	250	Plasma TiN_Ti.7.txt	
	91.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	94.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	97.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	100.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	103.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	106.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	109.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	112.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	115.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	118.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	121.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	124.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	127.8	300.0	 2.0	250	Plasma TiN_Ti.7.txt	
	130.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
	133.8	300.0	 2.0	250	Plasma TiN_Ti.7.txt	
	136.8	300.0	 1.0	250	Plasma TiN_Ti.7.txt	
