	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.7	 0.0	 0.0	90	TiN	
	 5.7	 0.0	 0.0	90	TiN	
	 8.7	 0.0	 0.0	90	TiN	
	11.7	 0.0	 0.0	90	TiN	
	14.7	 0.0	 0.0	90	TiN	
	17.7	 0.0	 0.0	90	TiN	
	20.7	 0.0	 0.0	90	TiN	
	23.7	 0.0	 0.0	90	TiN	
	26.7	 0.0	 0.0	90	TiN	
	29.7	 0.0	 0.0	90	TiN	
	32.7	 0.0	 0.0	90	TiN	
	35.7	 0.0	 0.0	90	TiN	
	38.7	 0.0	 0.0	90	TiN	
	41.7	 0.0	 0.0	90	TiN	
	44.7	 0.0	 0.0	90	TiN	
	47.7	 0.0	 0.0	90	TiN	
	50.7	 0.0	 0.0	90	TiN	
	53.7	 0.0	 0.0	90	TiN	
	56.7	 0.0	 0.0	90	TiN	
	59.7	 0.0	 0.0	90	TiN	
	62.7	 0.0	 0.0	90	TiN	
	65.7	 0.0	 0.0	90	TiN	
	68.7	 0.0	 0.0	90	TiN	
	71.7	 0.0	 0.0	90	TiN	
	74.7	 0.0	 0.0	90	TiN	
	77.7	 0.0	 0.0	90	TiN	
	80.7	 0.0	 0.0	90	TiN	
	83.7	 0.0	 0.0	90	TiN	
	86.7	 0.0	 0.0	90	TiN	
	89.7	 0.0	 0.0	90	TiN	
	92.7	 0.0	 0.0	90	TiN	
	95.7	 0.0	 0.0	90	TiN	
	98.7	 0.0	 0.0	90	TiN	
	101.7	 0.0	 0.0	90	TiN	
	104.7	 0.0	 0.0	90	TiN	
	107.7	 0.0	 0.0	90	TiN	
	110.7	 0.0	 0.0	90	TiN	
	113.7	 0.0	 0.0	90	TiN	
	116.7	 0.0	 0.0	90	TiN	
	119.7	 0.0	 0.0	90	TiN	
	122.7	 0.0	 0.0	90	TiN	
	125.7	 0.0	 0.0	90	TiN	
	128.7	 0.0	 0.0	90	TiN	
	131.7	 0.0	 0.0	90	TiN	
	134.7	 0.0	 0.0	90	TiN	
	137.7	 0.0	 0.0	90	TiN	
	140.7	 0.0	 0.0	90	TiN	
	143.7	 0.0	 0.0	90	TiN	
	146.7	 0.0	 0.0	90	TiN	
	149.7	 0.0	 0.0	90	TiN	
	152.7	 0.0	 0.0	90	TiN	
	155.7	 0.0	 0.0	90	TiN	
	158.7	 0.0	 0.0	90	TiN	
	161.7	 0.0	 0.0	90	TiN	
