	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.2	 0.0	 0.0	50	Plasma In2O3	
	 4.2	 0.0	 0.0	50	Plasma In2O3	
	 7.2	 0.0	 0.0	50	Plasma In2O3	
	10.2	 0.0	 0.0	50	Plasma In2O3	
	13.2	 0.0	 0.0	50	Plasma In2O3	
	16.2	 0.0	 0.0	50	Plasma In2O3	
	19.2	 0.0	 0.0	50	Plasma In2O3	
	22.2	 0.0	 0.0	50	Plasma In2O3	
	25.2	 0.0	 0.0	50	Plasma In2O3	
	28.2	 0.0	 0.0	50	Plasma In2O3	
	31.2	 0.0	 0.0	50	Plasma In2O3	
	34.2	 0.0	 0.0	50	Plasma In2O3	
	37.2	 0.0	 0.0	50	Plasma In2O3	
	40.2	 0.0	 0.0	50	Plasma In2O3	
	43.2	 0.0	 0.0	50	Plasma In2O3	
	46.2	 0.0	 0.0	50	Plasma In2O3	
	49.2	 0.0	 0.0	50	Plasma In2O3	
	52.2	 0.0	 0.0	50	Plasma In2O3	
	55.2	 0.0	 0.0	50	Plasma In2O3	
	58.2	 0.0	 0.0	50	Plasma In2O3	
	61.2	 0.0	 0.0	50	Plasma In2O3	
	64.2	 0.0	 0.0	50	Plasma In2O3	
	67.2	 0.0	 0.0	50	Plasma In2O3	
	70.2	 0.0	 0.0	50	Plasma In2O3	
	73.2	 0.0	 0.0	50	Plasma In2O3	
	76.2	 0.0	 0.0	50	Plasma In2O3	
	79.2	 0.0	 0.0	50	Plasma In2O3	
	82.2	 0.0	 0.0	50	Plasma In2O3	
	85.2	 0.0	 0.0	50	Plasma In2O3	
	88.2	 0.0	 0.0	50	Plasma In2O3	
	91.2	 0.0	 0.0	50	Plasma In2O3	
	94.2	 0.0	 0.0	50	Plasma In2O3	
	97.2	 0.0	 0.0	50	Plasma In2O3	
	100.2	 0.0	 0.0	50	Plasma In2O3	
	103.2	 0.0	 0.0	50	Plasma In2O3	
	106.2	 0.0	 0.0	50	Plasma In2O3	
	109.2	 0.0	 0.0	50	Plasma In2O3	
	112.2	 0.0	 0.0	50	Plasma In2O3	
	115.2	 0.0	 0.0	50	Plasma In2O3	
	118.2	 0.0	 0.0	50	Plasma In2O3	
	121.2	 0.0	 0.0	50	Plasma In2O3	
	124.2	 0.0	 0.0	50	Plasma In2O3	
	127.2	 0.0	 0.0	50	Plasma In2O3	
	130.2	 0.0	 0.0	50	Plasma In2O3	
	133.2	 0.0	 0.0	50	Plasma In2O3	
	136.2	 0.0	 0.0	50	Plasma In2O3	
	139.2	 0.0	 0.0	50	Plasma In2O3	
	142.2	 0.0	 0.0	50	Plasma In2O3	
	145.2	 0.0	 0.0	50	Plasma In2O3	
	148.2	 0.0	 0.0	50	Plasma In2O3	
	151.2	 0.0	 0.0	50	Plasma In2O3	
	154.2	 0.0	 0.0	50	Plasma In2O3	
	157.2	 0.0	 0.0	50	Plasma In2O3	
	160.2	 0.0	 0.0	50	Plasma In2O3	
	163.2	 0.0	 0.0	50	Plasma In2O3	
	166.2	 0.0	 0.0	50	Plasma In2O3	
	169.2	 0.0	 0.0	50	Plasma In2O3	
	172.2	 0.0	 0.0	50	Plasma In2O3	
	175.2	 0.0	 0.0	50	Plasma In2O3	
	178.2	 0.0	 0.0	50	Plasma In2O3	
	181.2	 0.0	 0.0	50	Plasma In2O3	
	184.2	 0.0	 0.0	50	Plasma In2O3	
	187.2	 0.0	 0.0	50	Plasma In2O3	
	190.2	 0.0	 0.0	50	Plasma In2O3	
	193.2	 0.0	 0.0	50	Plasma In2O3	
	196.2	 0.0	 0.0	50	Plasma In2O3	
	199.2	 0.0	 0.0	50	Plasma In2O3	
	202.2	 0.0	 0.0	50	Plasma In2O3	
	205.2	 0.0	 0.0	50	Plasma In2O3	
	208.2	 0.0	 0.0	50	Plasma In2O3	
	211.2	 0.0	 0.0	50	Plasma In2O3	
	214.2	 0.0	 0.0	50	Plasma In2O3	
	217.2	 0.0	 0.0	50	Plasma In2O3	
	220.2	 0.0	 0.0	50	Plasma In2O3	
	223.2	 0.0	 0.0	50	Plasma In2O3	
	226.2	 0.0	 0.0	50	Plasma In2O3	
	229.2	 0.0	 0.0	50	Plasma In2O3	
	232.2	 0.0	 0.0	50	Plasma In2O3	
	235.2	 0.0	 0.0	50	Plasma In2O3	
	238.2	 0.0	 0.0	50	Plasma In2O3	
	241.2	 0.0	 0.0	50	Plasma In2O3	
	244.2	 0.0	 0.0	50	Plasma In2O3	
	247.2	 0.0	 0.0	50	Plasma In2O3	
	250.2	 0.0	 0.0	50	Plasma In2O3	
	253.2	 0.0	 0.0	50	Plasma In2O3	
	256.2	 0.0	 0.0	50	Plasma In2O3	
	259.2	 0.0	 0.0	50	Plasma In2O3	
	262.2	 0.0	 0.0	50	Plasma In2O3	
	265.2	 0.0	 0.0	50	Plasma In2O3	
	268.2	 0.0	 0.0	50	Plasma In2O3	
	271.2	 0.0	 0.0	50	Plasma In2O3	
	274.2	 0.0	 0.0	50	Plasma In2O3	
	277.2	 0.0	 0.0	50	Plasma In2O3	
	280.2	 0.0	 0.0	50	Plasma In2O3	
	283.2	 0.0	 0.0	50	Plasma In2O3	
	286.2	 0.0	 0.0	50	Plasma In2O3	
	289.2	 0.0	 0.0	50	Plasma In2O3	
	292.2	 0.0	 0.0	50	Plasma In2O3	
	295.2	 0.0	 0.0	50	Plasma In2O3	
	298.2	 0.0	 0.0	50	Plasma In2O3	
	301.2	 0.0	 0.0	50	Plasma In2O3	
	304.2	 0.0	 0.0	50	Plasma In2O3	
	307.2	 0.0	 0.0	50	Plasma In2O3	
	310.2	 0.0	 0.0	50	Plasma In2O3	
	313.2	 0.0	 0.0	50	Plasma In2O3	
	316.2	 0.0	 0.0	50	Plasma In2O3	
	319.2	 0.0	 0.0	50	Plasma In2O3	
	322.2	 0.0	 0.0	50	Plasma In2O3	
	325.2	279.0	50.0	50	Plasma In2O3	
	328.2	253.0	50.0	50	Plasma In2O3	
	331.2	300.0	 3.0	50	Plasma In2O3	
	334.2	300.0	 3.0	50	Plasma In2O3	
	337.2	300.0	 3.0	50	Plasma In2O3	
	340.2	300.0	 3.0	50	Plasma In2O3	
	343.2	300.0	 3.0	50	Plasma In2O3	
	346.2	 0.0	 0.0	50	Plasma In2O3	
	349.2	 0.0	 0.0	50	Plasma In2O3	
	352.2	 0.0	 0.0	50	Plasma In2O3	
	355.2	 0.0	 0.0	49	Plasma In2O3	
	358.2	 0.0	 0.0	49	Plasma In2O3	
	361.2	 0.0	 0.0	49	Plasma In2O3	
	364.2	 0.0	 0.0	49	Plasma In2O3	
	367.2	300.0	23.0	49	Plasma In2O3	
	370.2	300.0	 3.0	49	Plasma In2O3	
	373.2	300.0	 3.0	49	Plasma In2O3	
	376.2	300.0	 3.0	49	Plasma In2O3	
	379.2	300.0	 3.0	49	Plasma In2O3	
	382.2	300.0	 3.0	49	Plasma In2O3	
	385.2	300.0	 3.0	49	Plasma In2O3	
	388.2	 0.0	 0.0	49	Plasma In2O3	
	391.2	 0.0	 0.0	49	Plasma In2O3	
	394.2	 0.0	 0.0	49	Plasma In2O3	
	397.2	 0.0	 0.0	48	Plasma In2O3	
	400.2	 0.0	 0.0	48	Plasma In2O3	
	403.2	 0.0	 0.0	48	Plasma In2O3	
	406.2	 0.0	 0.0	48	Plasma In2O3	
	409.2	300.0	 0.0	48	Plasma In2O3	
