	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	16161.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	 2.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	 5.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	 8.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	11.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	14.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	17.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	20.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	23.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	26.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	29.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	32.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	35.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	38.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	41.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	44.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	47.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	50.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	53.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	56.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	59.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	62.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	65.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	68.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	71.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	74.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	77.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	80.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	83.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	86.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	89.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	92.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	95.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	98.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	101.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	104.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	107.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	110.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	113.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	116.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	119.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	122.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	125.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	128.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	131.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	134.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	137.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	140.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	143.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	146.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	149.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	152.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	155.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	158.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	161.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	164.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	167.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	170.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	173.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	176.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	179.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	182.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	185.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	188.8	 0.0	 0.0	74	Plasma_HfO2_120C	
	191.8	 0.0	 0.0	74	Plasma_HfO2_120C	
