	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	 5.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	 8.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	11.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	14.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	17.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	20.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	23.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	26.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	29.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	32.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	35.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	38.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	41.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	44.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	47.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	50.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	53.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	56.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	59.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	62.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	65.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	68.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	71.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	74.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	77.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	80.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	83.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	86.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	89.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	92.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	95.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	98.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	101.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	104.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	107.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	110.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	113.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	116.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	119.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	122.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	125.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	128.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	131.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	134.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	137.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	140.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	143.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	146.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	149.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	152.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	155.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	158.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	161.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	164.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	167.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	170.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	173.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	176.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	179.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	182.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	185.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	188.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	191.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	194.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	197.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	200.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	203.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	206.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	209.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	212.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	215.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	218.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	221.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	224.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
	227.0	 0.0	 0.0	500	Plasma_Al2O3_HfO2_300C	
