	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.1	 0.0	 0.0	188		
	 5.1	 0.0	 0.0	188		
	 8.1	 0.0	 0.0	188		
	11.1	 0.0	 0.0	188		
	14.1	 0.0	 0.0	188		
	17.1	 0.0	 0.0	188		
	20.1	 0.0	 0.0	188		
	23.1	 0.0	 0.0	188		
	26.1	 0.0	 0.0	188		
	29.1	 0.0	 0.0	188		
	32.1	 0.0	 0.0	188		
	35.1	 0.0	 0.0	188		
	38.1	 0.0	 0.0	188		
	41.1	 0.0	 0.0	188		
	44.1	 0.0	 0.0	188		
	47.1	 0.0	 0.0	188		
	50.1	 0.0	 0.0	188		
	53.1	 0.0	 0.0	188		
	56.1	 0.0	 0.0	188		
	59.1	 0.0	 0.0	188		
	62.1	 0.0	 0.0	188		
	65.1	 0.0	 0.0	188		
	68.1	 0.0	 0.0	188		
	71.1	 0.0	 0.0	188		
	74.1	 0.0	 0.0	188		
	77.1	 0.0	 0.0	188		
	80.1	 0.0	 0.0	188		
	83.1	 0.0	 0.0	188		
	86.1	 0.0	 0.0	188		
	89.1	 0.0	 0.0	188		
	92.1	 0.0	 0.0	188		
	95.1	 0.0	 0.0	188		
	98.1	 0.0	 0.0	188		
	101.1	 0.0	 0.0	188		
	104.1	 0.0	 0.0	188		
	107.1	 0.0	 0.0	188		
	110.1	 0.0	 0.0	188		
	113.1	 0.0	 0.0	188		
	116.1	 0.0	 0.0	188		
	119.1	 0.0	 0.0	188		
	122.1	 0.0	 0.0	188		
	125.1	 0.0	 0.0	188		
	128.1	 0.0	 0.0	188		
	131.1	 0.0	 0.0	188		
	134.1	 0.0	 0.0	188		
	137.1	 0.0	 0.0	188		
	140.1	 0.0	 0.0	188		
	143.1	 0.0	 0.0	188		
	146.1	 0.0	 0.0	188		
	149.1	 0.0	 0.0	188		
	152.1	 0.0	 0.0	188		
	155.1	 0.0	 0.0	188		
	158.1	 0.0	 0.0	188		
	161.1	 0.0	 0.0	188		
	164.1	 0.0	 0.0	188		
	167.1	 0.0	 0.0	188		
	170.1	 0.0	 0.0	188		
	173.1	 0.0	 0.0	188		
	176.1	 0.0	 0.0	188		
	179.1	 0.0	 0.0	188		
	182.1	 0.0	 0.0	188		
	185.1	 0.0	 0.0	188		
	188.1	 0.0	 0.0	188		
	191.1	 0.0	 0.0	188		
	194.1	 0.0	 0.0	188		
	197.1	 0.0	 0.0	188		
	200.1	 0.0	 0.0	188		
	203.1	 0.0	 0.0	188		
	206.1	 0.0	 0.0	188		
	209.1	 0.0	 0.0	188		
	212.1	 0.0	 0.0	188		
	215.1	 0.0	 0.0	188		
	218.1	 0.0	 0.0	188		
	221.1	 0.0	 0.0	188		
	224.1	 0.0	 0.0	188		
	227.1	 0.0	 0.0	188		
	230.1	 0.0	 0.0	188		
	233.1	 0.0	 0.0	188		
	236.1	 0.0	 0.0	188		
	239.1	 0.0	 0.0	188		
	242.1	 0.0	 0.0	188		
	245.1	 0.0	 0.0	188		
	248.1	 0.0	 0.0	188		
	251.1	 0.0	 0.0	188		
	254.1	 0.0	 0.0	188		
	257.1	 0.0	 0.0	188		
	260.1	 0.0	 0.0	188		
	263.1	 0.0	 0.0	188		
	266.1	 0.0	 0.0	188		
	269.1	 0.0	 0.0	188		
	272.1	 0.0	 0.0	188		
	275.1	 0.0	 0.0	188		
	278.1	 0.0	 0.0	188		
	281.1	 0.0	 0.0	188		
	284.1	 0.0	 0.0	188		
	287.1	 0.0	 0.0	188		
	290.1	 0.0	 0.0	188		
	293.1	 0.0	 0.0	188		
	296.1	 0.0	 0.0	188		
	299.1	 0.0	 0.0	188		
	302.1	 0.0	 0.0	188		
	305.1	 0.0	 0.0	188		
	308.1	 0.0	 0.0	188		
	311.1	 0.0	 0.0	188		
	314.1	 0.0	 0.0	188		
	317.1	 0.0	 0.0	188		
	320.1	 0.0	 0.0	188		
	323.1	 0.0	 0.0	188		
	326.1	 0.0	 0.0	188		
	329.1	 0.0	 0.0	188		
	332.1	 0.0	 0.0	188		
	335.1	 0.0	 0.0	188		
	338.1	 0.0	 0.0	188		
	341.1	 0.0	 0.0	188		
	344.1	119.0	50.0	188		
	347.1	300.0	 0.0	188		
	350.1	300.0	 0.0	188		
	353.1	300.0	 0.0	188		
	356.1	300.0	 0.0	188		
	359.1	300.0	 0.0	188		
	362.1	300.0	33.0	188		
	365.1	 0.0	 0.0	188		
	368.1	 0.0	 0.0	188		
	371.1	 0.0	 0.0	188		
	374.1	 0.0	 0.0	188		
	377.1	 0.0	 0.0	188		
	380.1	 0.0	 0.0	188		
	383.1	 0.0	 0.0	188		
	386.1	 0.0	 0.0	3		
	389.1	 0.0	 0.0	3		
	392.1	 0.0	 0.0	3		
	395.1	 0.0	 0.0	3		
	398.1	 0.0	 0.0	3		
	401.1	 0.0	 0.0	3		
	404.1	 0.0	 0.0	3		
	407.1	300.0	28.0	3		
	410.1	300.0	 3.0	3		
	413.1	300.0	 3.0	3		
	416.1	300.0	 3.0	3		
	419.1	300.0	 3.0	3		
	422.1	300.0	 3.0	3		
	425.1	300.0	 3.0	3		
	428.1	 0.0	 0.0	3		
	431.1	 0.0	 0.0	3		
	434.1	 0.0	 0.0	3		
	437.1	 0.0	 0.0	3		
	440.1	 0.0	 0.0	3		
	443.1	 0.0	 0.0	3		
	446.1	 0.0	 0.0	2		
	449.1	 0.0	 0.0	2		
	452.1	 0.0	 0.0	2		
	455.1	 0.0	 0.0	2		
	458.1	 0.0	 0.0	2		
	461.1	 0.0	 0.0	2		
	464.1	 0.0	 0.0	2		
	467.1	 0.0	 0.0	2		
	470.1	300.0	 3.0	2		
	473.1	300.0	 3.0	2		
	476.1	300.0	 3.0	2		
	479.1	300.0	 3.0	2		
	482.1	300.0	 3.0	2		
	485.1	300.0	 3.0	2		
	488.1	 0.0	 0.0	2		
	491.1	 0.0	 0.0	2		
	494.1	 0.0	 0.0	2		
	497.1	 0.0	 0.0	2		
	500.1	 0.0	 0.0	2		
	503.1	 0.0	 0.0	2		
	506.1	 0.0	 0.0	2		
	509.1	 0.0	 0.0	1		
	512.1	 0.0	 0.0	1		
	515.1	 0.0	 0.0	1		
	518.1	 0.0	 0.0	1		
	521.1	 0.0	 0.0	1		
	524.1	 0.0	 0.0	1		
	527.1	 0.0	 0.0	1		
	530.1	216.0	16.0	1		
	533.1	300.0	 0.0	1		
	536.1	300.0	 0.0	1		
	539.1	300.0	 0.0	1		
	542.1	300.0	 0.0	1		
	545.1	300.0	 0.0	1		
	548.1	300.0	 0.0	1		
	551.1	 0.0	 0.0	1		
	554.1	 0.0	 0.0	1		
	557.1	 0.0	 0.0	1		
	560.1	 0.0	 0.0	1		
	563.1	 0.0	 0.0	1		
	566.1	 0.0	 0.0	1		
	569.1	 0.0	 0.0	0		
	572.1	 0.0	 0.0	0		
	575.1	 0.0	 0.0	0		
	578.1	 0.0	 0.0	0		
	581.1	 0.0	 0.0	0		
	584.1	 0.0	 0.0	0		
	587.1	 0.0	 0.0	0		
	590.1	 0.0	 0.0	0		
	593.1	 0.0	 0.0	0		
	596.1	300.0	 5.0	0		
	599.1	300.0	 3.0	0		
	602.1	300.0	 3.0	0		
	605.1	 0.0	 0.0	0		
	608.1	 0.0	 0.0	0		
	611.1	 0.0	 0.0	0		
	614.1	 0.0	 0.0	0		
	617.1	 0.0	 0.0	0		
	620.1	 0.0	 0.0	0		
	623.1	 0.0	 0.0	0		
	626.1	 0.0	 0.0	0		
	629.1	 0.0	 0.0	0		
	632.1	 0.0	 0.0	0		
	635.1	 0.0	 0.0	0		
	638.1	 0.0	 0.0	0		
	641.1	 0.0	 0.0	0		
	644.1	 0.0	 0.0	0		
	647.1	320.0	16.0	0		
	650.1	300.0	 3.0	0		
	653.1	300.0	 3.0	0		
	656.1	300.0	 3.0	0		
	659.1	300.0	 3.0	0		
	662.1	300.0	 3.0	0		
	665.1	300.0	 3.0	0		
	668.1	 0.0	 0.0	0		
	671.1	 0.0	 0.0	0		
	674.1	 0.0	 0.0	0		
	677.1	 0.0	 0.0	0		
	680.1	 0.0	 0.0	0		
	683.1	 0.0	 0.0	0		
	686.1	 0.0	 0.0	7		
	689.1	 0.0	 0.0	7		
	692.1	 0.0	 0.0	7		
	695.1	 0.0	 0.0	7		
	698.1	 0.0	 0.0	7		
	701.1	 0.0	 0.0	7		
	704.1	 0.0	 0.0	7		
	707.1	 0.0	 0.0	7		
	710.1	300.0	 0.0	7		
	713.1	300.0	 0.0	7		
	716.1	300.0	 0.0	7		
	719.1	300.0	 0.0	7		
	722.1	300.0	 0.0	7		
	725.1	300.0	 0.0	7		
	728.1	 0.0	 0.0	7		
	731.1	 0.0	 0.0	7		
	734.1	 0.0	 0.0	7		
	737.1	 0.0	 0.0	7		
	740.1	 0.0	 0.0	7		
	743.1	 0.0	 0.0	7		
	746.1	 0.0	 0.0	7		
	749.1	 0.0	 0.0	6		
	752.1	 0.0	 0.0	6		
	755.1	 0.0	 0.0	6		
	758.1	 0.0	 0.0	6		
	761.1	 0.0	 0.0	6		
	764.1	 0.0	 0.0	6		
	767.1	 0.0	 0.0	6		
	770.1	300.0	 1.0	6		
	773.1	300.0	 0.0	6		
	776.1	300.0	 0.0	6		
	779.1	300.0	 0.0	6		
	782.1	300.0	 0.0	6		
	785.1	300.0	 0.0	6		
	788.1	300.0	 0.0	6		
	791.1	 0.0	 0.0	6		
	794.1	 0.0	 0.0	6		
	797.1	 0.0	 0.0	6		
	800.1	 0.0	 0.0	6		
	803.1	 0.0	 0.0	6		
	806.1	 0.0	 0.0	6		
	809.1	 0.0	 0.0	5		
	812.1	 0.0	 0.0	5		
	815.1	 0.0	 0.0	5		
	818.1	 0.0	 0.0	5		
	821.1	 0.0	 0.0	5		
	824.1	 0.0	 0.0	5		
	827.1	 0.0	 0.0	5		
	830.1	 0.0	 0.0	5		
	833.1	300.0	 0.0	5		
	836.1	300.0	 0.0	5		
	839.1	300.0	 0.0	5		
	842.1	300.0	 0.0	5		
	845.1	300.0	 0.0	5		
	848.1	300.0	 0.0	5		
	851.1	 0.0	 0.0	5		
	854.1	 0.0	 0.0	5		
	857.1	 0.0	 0.0	5		
	860.1	 0.0	 0.0	5		
	863.1	 0.0	 0.0	5		
	866.1	 0.0	 0.0	5		
	869.1	 0.0	 0.0	5		
	872.1	 0.0	 0.0	4		
	875.1	 0.0	 0.0	4		
	878.1	 0.0	 0.0	4		
	881.1	 0.0	 0.0	4		
	884.1	 0.0	 0.0	4		
	887.1	 0.0	 0.0	4		
	890.1	 0.0	 0.0	4		
	893.1	223.0	16.0	4		
	896.1	300.0	 0.0	4		
	899.1	300.0	 0.0	4		
	902.1	300.0	 0.0	4		
	905.1	300.0	 0.0	4		
	908.1	300.0	 0.0	4		
	911.1	300.0	 0.0	4		
	914.1	 0.0	 0.0	4		
	917.1	 0.0	 0.0	4		
	920.1	 0.0	 0.0	4		
	923.1	 0.0	 0.0	4		
	926.1	 0.0	 0.0	4		
	929.1	 0.0	 0.0	4		
	932.1	 0.0	 0.0	4		
	935.1	 0.0	 0.0	3		
	938.1	 0.0	 0.0	3		
	941.1	 0.0	 0.0	3		
	944.1	 0.0	 0.0	3		
	947.1	 0.0	 0.0	3		
	950.1	 0.0	 0.0	3		
	953.1	 0.0	 0.0	3		
	956.1	300.0	 1.0	3		
	959.1	300.0	 0.0	3		
	962.1	300.0	 0.0	3		
	965.1	300.0	 0.0	3		
	968.1	300.0	 0.0	3		
	971.1	300.0	 0.0	3		
	974.1	300.0	 0.0	3		
	977.1	 0.0	 0.0	3		
	980.1	 0.0	 0.0	3		
	983.1	 0.0	 0.0	3		
	986.1	 0.0	 0.0	3		
	989.1	 0.0	 0.0	3		
	992.1	 0.0	 0.0	3		
	995.1	 0.0	 0.0	2		
	998.1	 0.0	 0.0	2		
	1001.1	 0.0	 0.0	2		
	1004.1	 0.0	 0.0	2		
	1007.1	 0.0	 0.0	2		
	1010.1	 0.0	 0.0	2		
	1013.1	 0.0	 0.0	2		
	1016.1	153.0	50.0	2		
	1019.1	300.0	 3.0	2		
	1022.1	300.0	 3.0	2		
	1025.1	300.0	 3.0	2		
	1028.1	300.0	 3.0	2		
	1031.1	300.0	 3.0	2		
	1034.1	300.0	 3.0	2		
	1037.1	 0.0	 0.0	2		
	1040.1	 0.0	 0.0	2		
	1043.1	 0.0	 0.0	2		
	1046.1	 0.0	 0.0	2		
	1049.1	 0.0	 0.0	2		
	1052.1	 0.0	 0.0	2		
	1055.1	 0.0	 0.0	2		
	1058.1	 0.0	 0.0	1		
	1061.1	 0.0	 0.0	1		
	1064.1	 0.0	 0.0	1		
	1067.1	 0.0	 0.0	1		
	1070.1	 0.0	 0.0	1		
	1073.1	 0.0	 0.0	1		
	1076.1	 0.0	 0.0	1		
	1079.1	318.0	11.0	1		
	1082.1	300.0	 2.0	1		
	1085.1	300.0	 3.0	1		
	1088.1	300.0	 3.0	1		
	1091.1	300.0	 3.0	1		
	1094.1	300.0	 3.0	1		
	1097.1	300.0	 3.0	1		
	1100.1	 0.0	 0.0	1		
	1103.1	 0.0	 0.0	1		
	1106.1	 0.0	 0.0	1		
	1109.1	 0.0	 0.0	1		
	1112.1	 0.0	 0.0	1		
	1115.1	 0.0	 0.0	1		
	1118.1	 0.0	 0.0	19		
	1121.1	 0.0	 0.0	19		
	1124.1	 0.0	 0.0	19		
	1127.1	 0.0	 0.0	19		
	1130.1	 0.0	 0.0	19		
	1133.1	 0.0	 0.0	19		
	1136.1	 0.0	 0.0	19		
	1139.1	 0.0	 0.0	19		
	1142.1	 0.0	 0.0	19		
	1145.1	300.0	 3.0	19		
	1148.1	300.0	 3.0	19		
	1151.1	300.0	 3.0	19		
	1154.1	 0.0	 0.0	19		
	1157.1	 0.0	 0.0	19		
	1160.1	 0.0	 0.0	19		
	1163.1	 0.0	 0.0	19		
	1166.1	 0.0	 0.0	19		
	1169.1	 0.0	 0.0	19		
	1172.1	 0.0	 0.0	19		
	1175.1	 0.0	 0.0	19		
	1178.1	 0.0	 0.0	19		
	1181.1	 0.0	 0.0	19		
	1184.1	 0.0	 0.0	19		
	1187.1	 0.0	 0.0	19		
	1190.1	 0.0	 0.0	19		
	1193.1	 0.0	 0.0	19		
	1196.1	300.0	 4.0	19		
	1199.1	300.0	 2.0	19		
	1202.1	300.0	 3.0	19		
	1205.1	300.0	 3.0	19		
	1208.1	300.0	 3.0	19		
	1211.1	300.0	 3.0	19		
	1214.1	300.0	 3.0	19		
	1217.1	 0.0	 0.0	19		
	1220.1	 0.0	 0.0	19		
	1223.1	 0.0	 0.0	19		
