	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	 3.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	 6.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	 9.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	12.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	15.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	18.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	21.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	24.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	27.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	30.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	33.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	36.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	39.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	42.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	45.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	48.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	51.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	54.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	57.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	60.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	63.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	66.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	69.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	72.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	75.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	78.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	81.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	84.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	87.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	90.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	93.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	96.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	99.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	102.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	105.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	108.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	111.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	114.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	117.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	120.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	123.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	126.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	129.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	132.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	135.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	138.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	141.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	144.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	147.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	150.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	153.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	156.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	159.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	162.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	165.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	168.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	171.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	174.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	177.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	180.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	183.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	186.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	189.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	192.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	195.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	198.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	201.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	204.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	207.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	210.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	213.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	216.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	219.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	222.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	225.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	228.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	231.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	234.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	237.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
	240.4	 0.0	 0.0	450	Plasma_Al2O3_300C	
