	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	 3.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	 6.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	 9.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	12.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	15.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	18.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	21.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	24.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	27.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	30.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	33.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	36.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	39.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	42.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	45.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	48.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	51.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	54.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	57.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	60.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	63.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	66.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	69.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	72.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	75.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	78.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	81.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	84.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	87.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	90.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	93.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	96.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	99.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	102.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	105.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	108.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	111.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	114.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	117.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	120.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	123.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	126.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	129.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	132.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	135.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	138.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	141.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	144.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	147.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	150.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	153.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	156.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	159.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	162.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	165.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	168.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	171.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	174.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	177.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	180.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	183.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	186.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	189.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	192.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	195.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	198.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	201.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	204.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	207.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	210.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	213.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	216.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	219.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	222.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	225.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	228.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	231.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
	234.3	 0.0	 0.0	53	Plasma IWO with boost_revised	
