	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 1.3	 0.0	 0.0	50	Plasma TiN ZL	
	 4.3	 0.0	 0.0	50	Plasma TiN ZL	
	 7.3	 0.0	 0.0	50	Plasma TiN ZL	
	10.3	 0.0	 0.0	50	Plasma TiN ZL	
	13.3	 0.0	 0.0	50	Plasma TiN ZL	
	16.3	 0.0	 0.0	50	Plasma TiN ZL	
	19.3	 0.0	 0.0	50	Plasma TiN ZL	
	22.3	 0.0	 0.0	50	Plasma TiN ZL	
	25.3	 0.0	 0.0	50	Plasma TiN ZL	
	28.3	 0.0	 0.0	50	Plasma TiN ZL	
	31.3	 0.0	 0.0	50	Plasma TiN ZL	
	34.3	 0.0	 0.0	50	Plasma TiN ZL	
	37.3	 0.0	 0.0	50	Plasma TiN ZL	
	40.3	 0.0	 0.0	50	Plasma TiN ZL	
	43.3	 0.0	 0.0	50	Plasma TiN ZL	
	46.3	 0.0	 0.0	50	Plasma TiN ZL	
	49.3	 0.0	 0.0	50	Plasma TiN ZL	
	52.3	 0.0	 0.0	50	Plasma TiN ZL	
	55.3	 0.0	 0.0	50	Plasma TiN ZL	
	58.3	 0.0	 0.0	50	Plasma TiN ZL	
	61.3	 0.0	 0.0	50	Plasma TiN ZL	
	64.3	 0.0	 0.0	50	Plasma TiN ZL	
	67.3	 0.0	 0.0	50	Plasma TiN ZL	
	70.3	 0.0	 0.0	50	Plasma TiN ZL	
	73.3	 0.0	 0.0	50	Plasma TiN ZL	
	76.3	 0.0	 0.0	50	Plasma TiN ZL	
	79.3	 0.0	 0.0	50	Plasma TiN ZL	
	82.3	 0.0	 0.0	50	Plasma TiN ZL	
	85.3	 0.0	 0.0	50	Plasma TiN ZL	
	88.3	 0.0	 0.0	50	Plasma TiN ZL	
	91.3	 0.0	 0.0	50	Plasma TiN ZL	
	94.3	 0.0	 0.0	50	Plasma TiN ZL	
	97.3	 0.0	 0.0	50	Plasma TiN ZL	
	100.3	 0.0	 0.0	50	Plasma TiN ZL	
	103.3	 0.0	 0.0	50	Plasma TiN ZL	
	106.3	 0.0	 0.0	50	Plasma TiN ZL	
	109.3	 0.0	 0.0	50	Plasma TiN ZL	
	112.3	 0.0	 0.0	50	Plasma TiN ZL	
	115.3	 0.0	 0.0	50	Plasma TiN ZL	
	118.3	 0.0	 0.0	50	Plasma TiN ZL	
	121.3	 0.0	 0.0	50	Plasma TiN ZL	
	124.3	 0.0	 0.0	50	Plasma TiN ZL	
	127.3	 0.0	 0.0	50	Plasma TiN ZL	
	130.3	 0.0	 0.0	50	Plasma TiN ZL	
	133.3	 0.0	 0.0	50	Plasma TiN ZL	
	136.3	 0.0	 0.0	50	Plasma TiN ZL	
	139.3	 0.0	 0.0	50	Plasma TiN ZL	
	142.3	 0.0	 0.0	50	Plasma TiN ZL	
	145.3	 0.0	 0.0	50	Plasma TiN ZL	
	148.3	 0.0	 0.0	50	Plasma TiN ZL	
	151.3	 0.0	 0.0	50	Plasma TiN ZL	
	154.3	 0.0	 0.0	50	Plasma TiN ZL	
	157.3	 0.0	 0.0	50	Plasma TiN ZL	
	160.3	 0.0	 0.0	50	Plasma TiN ZL	
	163.3	 0.0	 0.0	50	Plasma TiN ZL	
	166.3	 0.0	 0.0	50	Plasma TiN ZL	
	169.3	 0.0	 0.0	50	Plasma TiN ZL	
	172.3	 0.0	 0.0	50	Plasma TiN ZL	
	175.3	 0.0	 0.0	50	Plasma TiN ZL	
	178.3	 0.0	 0.0	50	Plasma TiN ZL	
	181.3	 0.0	 0.0	50	Plasma TiN ZL	
	184.3	 0.0	 0.0	50	Plasma TiN ZL	
	187.3	 0.0	 0.0	50	Plasma TiN ZL	
	190.3	 0.0	 0.0	50	Plasma TiN ZL	
	193.3	 0.0	 0.0	50	Plasma TiN ZL	
	196.3	 0.0	 0.0	50	Plasma TiN ZL	
	199.3	 0.0	 0.0	50	Plasma TiN ZL	
	202.3	 0.0	 0.0	50	Plasma TiN ZL	
	205.3	 0.0	 0.0	50	Plasma TiN ZL	
	208.3	 0.0	 0.0	50	Plasma TiN ZL	
	211.3	 0.0	 0.0	50	Plasma TiN ZL	
	214.3	 0.0	 0.0	50	Plasma TiN ZL	
	217.3	 0.0	 0.0	50	Plasma TiN ZL	
	220.3	 0.0	 0.0	50	Plasma TiN ZL	
	223.3	 0.0	 0.0	50	Plasma TiN ZL	
	226.3	 0.0	 0.0	50	Plasma TiN ZL	
	229.3	 0.0	 0.0	50	Plasma TiN ZL	
	232.3	 0.0	 0.0	50	Plasma TiN ZL	
	235.3	 0.0	 0.0	50	Plasma TiN ZL	
	238.3	 0.0	 0.0	50	Plasma TiN ZL	
	241.3	 0.0	 0.0	50	Plasma TiN ZL	
	244.3	 0.0	 0.0	50	Plasma TiN ZL	
	247.3	 0.0	 0.0	50	Plasma TiN ZL	
	250.3	 0.0	 0.0	50	Plasma TiN ZL	
	253.3	 0.0	 0.0	50	Plasma TiN ZL	
	256.3	 0.0	 0.0	50	Plasma TiN ZL	
	259.3	 0.0	 0.0	50	Plasma TiN ZL	
	262.3	 0.0	 0.0	50	Plasma TiN ZL	
	265.3	 0.0	 0.0	50	Plasma TiN ZL	
	268.3	 0.0	 0.0	50	Plasma TiN ZL	
	271.3	 0.0	 0.0	50	Plasma TiN ZL	
	274.3	 0.0	 0.0	50	Plasma TiN ZL	
	277.3	 0.0	 0.0	50	Plasma TiN ZL	
	280.3	 0.0	 0.0	50	Plasma TiN ZL	
	283.3	 0.0	 0.0	50	Plasma TiN ZL	
	286.3	 0.0	 0.0	50	Plasma TiN ZL	
	289.3	 0.0	 0.0	50	Plasma TiN ZL	
	292.3	 0.0	 0.0	50	Plasma TiN ZL	
	295.3	 0.0	 0.0	50	Plasma TiN ZL	
	298.3	 0.0	 0.0	50	Plasma TiN ZL	
	301.3	 0.0	 0.0	50	Plasma TiN ZL	
	304.3	 0.0	 0.0	50	Plasma TiN ZL	
	307.3	 0.0	 0.0	50	Plasma TiN ZL	
	310.3	 0.0	 0.0	50	Plasma TiN ZL	
	313.3	 0.0	 0.0	50	Plasma TiN ZL	
	316.3	 0.0	 0.0	50	Plasma TiN ZL	
	319.3	 0.0	 0.0	50	Plasma TiN ZL	
	322.3	300.0	 0.0	50	Plasma TiN ZL	
	325.3	300.0	 0.0	50	Plasma TiN ZL	
	328.3	300.0	 8.0	50	Plasma TiN ZL	
	331.3	300.0	 2.0	50	Plasma TiN ZL	
	334.3	300.0	 2.0	50	Plasma TiN ZL	
	337.3	300.0	 2.0	50	Plasma TiN ZL	
	340.3	 0.0	 0.0	50	Plasma TiN ZL	
	343.3	 0.0	 0.0	50	Plasma TiN ZL	
	346.3	 0.0	 0.0	49	Plasma TiN ZL	
	349.3	 0.0	 0.0	49	Plasma TiN ZL	
	352.3	300.0	 2.0	49	Plasma TiN ZL	
	355.3	300.0	 2.0	49	Plasma TiN ZL	
	358.3	300.0	 2.0	49	Plasma TiN ZL	
	361.3	300.0	 2.0	49	Plasma TiN ZL	
	364.3	300.0	 2.0	49	Plasma TiN ZL	
	367.3	300.0	 2.0	49	Plasma TiN ZL	
	370.3	300.0	 2.0	49	Plasma TiN ZL	
	373.3	 0.0	 0.0	49	Plasma TiN ZL	
	376.3	 0.0	 0.0	48	Plasma TiN ZL	
	379.3	 0.0	 0.0	48	Plasma TiN ZL	
	382.3	 0.0	 0.0	48	Plasma TiN ZL	
	385.3	300.0	 2.0	48	Plasma TiN ZL	
	388.3	300.0	 2.0	48	Plasma TiN ZL	
	391.3	300.0	 2.0	48	Plasma TiN ZL	
	394.3	300.0	 2.0	48	Plasma TiN ZL	
	397.3	300.0	 2.0	48	Plasma TiN ZL	
	400.3	300.0	 2.0	48	Plasma TiN ZL	
	403.3	 0.0	 0.0	48	Plasma TiN ZL	
	406.3	 0.0	 0.0	48	Plasma TiN ZL	
	409.3	 0.0	 0.0	47	Plasma TiN ZL	
	412.3	 0.0	 0.0	47	Plasma TiN ZL	
	415.3	300.0	 2.0	47	Plasma TiN ZL	
	418.3	300.0	 1.0	47	Plasma TiN ZL	
	421.3	300.0	 1.0	47	Plasma TiN ZL	
	424.3	300.0	 1.0	47	Plasma TiN ZL	
	427.3	300.0	 1.0	47	Plasma TiN ZL	
	430.3	300.0	 1.0	47	Plasma TiN ZL	
	433.3	300.0	 2.0	47	Plasma TiN ZL	
	436.3	 0.0	 0.0	47	Plasma TiN ZL	
	439.3	 0.0	 0.0	47	Plasma TiN ZL	
	442.3	 0.0	 0.0	46	Plasma TiN ZL	
	445.3	 0.0	 0.0	46	Plasma TiN ZL	
	448.3	300.0	 1.0	46	Plasma TiN ZL	
	451.3	300.0	 1.0	46	Plasma TiN ZL	
	454.3	300.0	 1.0	46	Plasma TiN ZL	
	457.3	300.0	 1.0	46	Plasma TiN ZL	
	460.3	300.0	 2.0	46	Plasma TiN ZL	
	463.3	300.0	 2.0	46	Plasma TiN ZL	
	466.3	300.0	 2.0	46	Plasma TiN ZL	
	469.3	 0.0	 0.0	46	Plasma TiN ZL	
	472.3	 0.0	 0.0	45	Plasma TiN ZL	
	475.3	 0.0	 0.0	45	Plasma TiN ZL	
	478.3	172.0	50.0	45	Plasma TiN ZL	
	481.3	300.0	 1.0	45	Plasma TiN ZL	
	484.3	300.0	 1.0	45	Plasma TiN ZL	
	487.3	300.0	 1.0	45	Plasma TiN ZL	
	490.3	300.0	 1.0	45	Plasma TiN ZL	
	493.3	300.0	 1.0	45	Plasma TiN ZL	
	496.3	300.0	 1.0	45	Plasma TiN ZL	
	499.3	 0.0	 0.0	45	Plasma TiN ZL	
	502.3	 0.0	 0.0	45	Plasma TiN ZL	
	505.3	 0.0	 0.0	44	Plasma TiN ZL	
	508.3	 0.0	 0.0	44	Plasma TiN ZL	
	511.3	300.0	 2.0	44	Plasma TiN ZL	
	514.3	300.0	 1.0	44	Plasma TiN ZL	
	517.3	300.0	 1.0	44	Plasma TiN ZL	
	520.3	300.0	 1.0	44	Plasma TiN ZL	
	523.3	300.0	 2.0	44	Plasma TiN ZL	
	526.3	300.0	 1.0	44	Plasma TiN ZL	
	529.3	300.0	 2.0	44	Plasma TiN ZL	
	532.3	 0.0	 0.0	44	Plasma TiN ZL	
	535.3	 0.0	 0.0	43	Plasma TiN ZL	
	538.3	 0.0	 0.0	43	Plasma TiN ZL	
	541.3	 0.0	 0.0	43	Plasma TiN ZL	
	544.3	300.0	 0.0	43	Plasma TiN ZL	
	547.3	300.0	 0.0	43	Plasma TiN ZL	
	550.3	300.0	 0.0	43	Plasma TiN ZL	
	553.3	300.0	 0.0	43	Plasma TiN ZL	
	556.3	300.0	 0.0	43	Plasma TiN ZL	
	559.3	300.0	 0.0	43	Plasma TiN ZL	
	562.3	 0.0	 0.0	43	Plasma TiN ZL	
	565.3	 0.0	 0.0	43	Plasma TiN ZL	
	568.3	 0.0	 0.0	42	Plasma TiN ZL	
	571.3	 0.0	 0.0	42	Plasma TiN ZL	
	574.3	300.0	 2.0	42	Plasma TiN ZL	
	577.3	300.0	 2.0	42	Plasma TiN ZL	
	580.3	300.0	 2.0	42	Plasma TiN ZL	
	583.3	300.0	 2.0	42	Plasma TiN ZL	
	586.3	300.0	 2.0	42	Plasma TiN ZL	
	589.3	300.0	 3.0	42	Plasma TiN ZL	
	592.3	300.0	 3.0	42	Plasma TiN ZL	
	595.3	 0.0	 0.0	42	Plasma TiN ZL	
	598.3	 0.0	 0.0	42	Plasma TiN ZL	goto;01650
	601.3	 0.0	 0.0	41	Plasma TiN ZL	
	604.3	 0.0	 0.0	41	Plasma TiN ZL	
	607.3	300.0	 2.0	41	Plasma TiN ZL	
	610.3	300.0	 2.0	41	Plasma TiN ZL	
	613.3	300.0	 2.0	41	Plasma TiN ZL	
	616.3	300.0	 2.0	41	Plasma TiN ZL	
	619.3	300.0	 2.0	41	Plasma TiN ZL	
	622.3	300.0	 2.0	41	Plasma TiN ZL	
	625.3	300.0	 2.0	41	Plasma TiN ZL	
	628.3	 0.0	 0.0	41	Plasma TiN ZL	
	631.3	 0.0	 0.0	40	Plasma TiN ZL	
	634.3	 0.0	 0.0	40	Plasma TiN ZL	
	637.3	313.0	 4.0	40	Plasma TiN ZL	
	640.3	300.0	 1.0	40	Plasma TiN ZL	
