	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.5	 0.0	 0.0	500	Plasma Ru ZL	
	 3.5	 0.0	 0.0	500	Plasma Ru ZL	
	 6.5	 0.0	 0.0	500	Plasma Ru ZL	
	 9.5	 0.0	 0.0	500	Plasma Ru ZL	
	12.5	 0.0	 0.0	500	Plasma Ru ZL	
	15.5	 0.0	 0.0	500	Plasma Ru ZL	
	18.5	 0.0	 0.0	500	Plasma Ru ZL	
	21.5	 0.0	 0.0	500	Plasma Ru ZL	
	24.5	 0.0	 0.0	500	Plasma Ru ZL	
	27.5	 0.0	 0.0	500	Plasma Ru ZL	
	30.5	 0.0	 0.0	500	Plasma Ru ZL	
	33.5	 0.0	 0.0	500	Plasma Ru ZL	
	36.5	 0.0	 0.0	500	Plasma Ru ZL	
	39.5	 0.0	 0.0	500	Plasma Ru ZL	
	42.5	 0.0	 0.0	500	Plasma Ru ZL	
	45.5	 0.0	 0.0	500	Plasma Ru ZL	
	48.5	 0.0	 0.0	500	Plasma Ru ZL	
	51.5	 0.0	 0.0	500	Plasma Ru ZL	
	54.5	 0.0	 0.0	500	Plasma Ru ZL	
	57.5	 0.0	 0.0	500	Plasma Ru ZL	
	60.5	 0.0	 0.0	500	Plasma Ru ZL	
	63.5	 0.0	 0.0	500	Plasma Ru ZL	
	66.5	 0.0	 0.0	500	Plasma Ru ZL	
	69.5	 0.0	 0.0	500	Plasma Ru ZL	
	72.5	 0.0	 0.0	500	Plasma Ru ZL	
	75.5	 0.0	 0.0	500	Plasma Ru ZL	
	78.5	 0.0	 0.0	500	Plasma Ru ZL	
	81.5	 0.0	 0.0	500	Plasma Ru ZL	
	84.5	 0.0	 0.0	500	Plasma Ru ZL	
	87.5	 0.0	 0.0	500	Plasma Ru ZL	
	90.5	 0.0	 0.0	500	Plasma Ru ZL	
	93.5	 0.0	 0.0	500	Plasma Ru ZL	
	96.5	 0.0	 0.0	500	Plasma Ru ZL	
	99.5	 0.0	 0.0	500	Plasma Ru ZL	
	102.5	 0.0	 0.0	500	Plasma Ru ZL	
	105.5	 0.0	 0.0	500	Plasma Ru ZL	
	108.5	 0.0	 0.0	500	Plasma Ru ZL	
	111.5	 0.0	 0.0	500	Plasma Ru ZL	
	114.5	 0.0	 0.0	500	Plasma Ru ZL	
	117.5	 0.0	 0.0	500	Plasma Ru ZL	
	120.5	 0.0	 0.0	500	Plasma Ru ZL	
	123.5	 0.0	 0.0	500	Plasma Ru ZL	
	126.5	 0.0	 0.0	500	Plasma Ru ZL	
	129.5	 0.0	 0.0	500	Plasma Ru ZL	
	132.5	 0.0	 0.0	500	Plasma Ru ZL	
	135.5	 0.0	 0.0	500	Plasma Ru ZL	
	138.5	 0.0	 0.0	500	Plasma Ru ZL	
	141.5	 0.0	 0.0	500	Plasma Ru ZL	
	144.5	 0.0	 0.0	500	Plasma Ru ZL	
	147.5	 0.0	 0.0	500	Plasma Ru ZL	
	150.5	 0.0	 0.0	500	Plasma Ru ZL	
	153.5	 0.0	 0.0	500	Plasma Ru ZL	
	156.5	 0.0	 0.0	500	Plasma Ru ZL	
	159.5	 0.0	 0.0	500	Plasma Ru ZL	
	162.5	 0.0	 0.0	500	Plasma Ru ZL	
	165.5	 0.0	 0.0	500	Plasma Ru ZL	
	168.5	 0.0	 0.0	500	Plasma Ru ZL	
	171.5	 0.0	 0.0	500	Plasma Ru ZL	
	174.5	 0.0	 0.0	500	Plasma Ru ZL	
	177.5	 0.0	 0.0	500	Plasma Ru ZL	
	180.5	 0.0	 0.0	500	Plasma Ru ZL	
	183.5	 0.0	 0.0	500	Plasma Ru ZL	
	186.5	 0.0	 0.0	500	Plasma Ru ZL	
	189.5	 0.0	 0.0	500	Plasma Ru ZL	
	192.5	 0.0	 0.0	500	Plasma Ru ZL	
	195.5	 0.0	 0.0	500	Plasma Ru ZL	
	198.5	 0.0	 0.0	500	Plasma Ru ZL	
	201.5	 0.0	 0.0	500	Plasma Ru ZL	
	204.5	 0.0	 0.0	500	Plasma Ru ZL	
	207.5	 0.0	 0.0	500	Plasma Ru ZL	
	210.5	 0.0	 0.0	500	Plasma Ru ZL	
	213.5	 0.0	 0.0	500	Plasma Ru ZL	
	216.5	 0.0	 0.0	500	Plasma Ru ZL	
	219.5	 0.0	 0.0	500	Plasma Ru ZL	
	222.5	 0.0	 0.0	500	Plasma Ru ZL	
	225.5	 0.0	 0.0	500	Plasma Ru ZL	
	228.5	 0.0	 0.0	500	Plasma Ru ZL	
	231.5	 0.0	 0.0	500	Plasma Ru ZL	
	234.5	 0.0	 0.0	500	Plasma Ru ZL	
	237.5	 0.0	 0.0	500	Plasma Ru ZL	
	240.5	 0.0	 0.0	500	Plasma Ru ZL	
	243.5	 0.0	 0.0	500	Plasma Ru ZL	
	246.5	 0.0	 0.0	500	Plasma Ru ZL	
	249.5	 0.0	 0.0	500	Plasma Ru ZL	
	252.5	 0.0	 0.0	500	Plasma Ru ZL	
	255.5	 0.0	 0.0	500	Plasma Ru ZL	
	258.5	 0.0	 0.0	500	Plasma Ru ZL	
