	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 0.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	 3.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	 6.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	 9.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	12.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	15.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	18.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	21.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	24.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	27.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	30.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	33.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	36.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	39.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	42.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	45.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	48.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	51.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	54.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	57.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	60.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	63.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	66.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	69.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	72.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	75.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
	78.8	 0.0	 0.0	100	GZ_Thermal_HfO2.txt	
